log_dir= logs/duke2market-ECN
Namespace(arch='resnet50', batch_size=128, data_dir='/home/ssreekri/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.3, logs_dir='logs/duke2market-ECN', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='duke', target='market', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   702 |    16522
  target train    | 'Unknown' |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
Epoch: [0][1/129], Time 6.526 (6.526), Data 2.776 (2.776), Loss 7.434 (7.434), Prec 0.00% (0.00%), s_pid_loss: 6.5621, t_un_loss: 9.4678
Epoch: [0][2/129], Time 0.430 (3.478), Data 0.064 (1.420), Loss 7.352 (7.393), Prec 6.25% (3.12%), s_pid_loss: 6.4349, t_un_loss: 9.4905
Epoch: [0][3/129], Time 0.500 (2.485), Data 0.135 (0.991), Loss 7.424 (7.403), Prec 3.12% (3.12%), s_pid_loss: 6.5286, t_un_loss: 9.5132
Epoch: [0][4/129], Time 0.507 (1.991), Data 0.146 (0.780), Loss 7.448 (7.414), Prec 1.56% (2.73%), s_pid_loss: 6.5546, t_un_loss: 9.5342
Epoch: [0][5/129], Time 0.492 (1.691), Data 0.135 (0.651), Loss 7.506 (7.433), Prec 2.34% (2.66%), s_pid_loss: 6.6304, t_un_loss: 9.5496
Epoch: [0][6/129], Time 0.483 (1.490), Data 0.136 (0.565), Loss 7.519 (7.447), Prec 3.12% (2.73%), s_pid_loss: 6.6380, t_un_loss: 9.5744
Epoch: [0][7/129], Time 0.482 (1.346), Data 0.135 (0.504), Loss 7.598 (7.469), Prec 3.91% (2.90%), s_pid_loss: 6.7424, t_un_loss: 9.5940
Epoch: [0][8/129], Time 0.489 (1.239), Data 0.135 (0.458), Loss 7.207 (7.436), Prec 10.16% (3.81%), s_pid_loss: 6.1803, t_un_loss: 9.6022
Epoch: [0][9/129], Time 0.490 (1.155), Data 0.135 (0.422), Loss 7.377 (7.429), Prec 7.03% (4.17%), s_pid_loss: 6.4128, t_un_loss: 9.6256
Epoch: [0][10/129], Time 0.485 (1.088), Data 0.135 (0.393), Loss 7.350 (7.421), Prec 5.47% (4.30%), s_pid_loss: 6.3727, t_un_loss: 9.6297
Epoch: [0][11/129], Time 0.480 (1.033), Data 0.135 (0.370), Loss 7.331 (7.413), Prec 7.81% (4.62%), s_pid_loss: 6.3398, t_un_loss: 9.6422
Epoch: [0][12/129], Time 0.507 (0.989), Data 0.135 (0.350), Loss 7.424 (7.414), Prec 7.81% (4.88%), s_pid_loss: 6.4662, t_un_loss: 9.6601
Epoch: [0][13/129], Time 0.505 (0.952), Data 0.135 (0.334), Loss 7.260 (7.402), Prec 7.81% (5.11%), s_pid_loss: 6.2257, t_un_loss: 9.6735
Epoch: [0][14/129], Time 0.491 (0.919), Data 0.135 (0.319), Loss 7.272 (7.393), Prec 7.81% (5.30%), s_pid_loss: 6.2486, t_un_loss: 9.6599
Epoch: [0][15/129], Time 0.490 (0.890), Data 0.136 (0.307), Loss 7.124 (7.375), Prec 10.16% (5.63%), s_pid_loss: 6.0219, t_un_loss: 9.6961
Epoch: [0][16/129], Time 0.490 (0.865), Data 0.135 (0.296), Loss 7.251 (7.367), Prec 8.59% (5.81%), s_pid_loss: 6.2035, t_un_loss: 9.6963
Epoch: [0][17/129], Time 0.513 (0.845), Data 0.136 (0.287), Loss 7.001 (7.346), Prec 12.50% (6.20%), s_pid_loss: 5.8363, t_un_loss: 9.7198
Epoch: [0][18/129], Time 0.485 (0.825), Data 0.135 (0.279), Loss 7.351 (7.346), Prec 10.16% (6.42%), s_pid_loss: 6.3229, t_un_loss: 9.7500
Epoch: [0][19/129], Time 0.492 (0.807), Data 0.135 (0.271), Loss 7.061 (7.331), Prec 13.28% (6.78%), s_pid_loss: 5.9108, t_un_loss: 9.7449
Epoch: [0][20/129], Time 0.505 (0.792), Data 0.136 (0.264), Loss 7.014 (7.315), Prec 10.16% (6.95%), s_pid_loss: 5.8324, t_un_loss: 9.7696
Epoch: [0][21/129], Time 0.506 (0.778), Data 0.135 (0.258), Loss 7.357 (7.317), Prec 6.25% (6.92%), s_pid_loss: 6.3135, t_un_loss: 9.7902
Epoch: [0][22/129], Time 0.493 (0.765), Data 0.136 (0.253), Loss 7.198 (7.312), Prec 7.03% (6.92%), s_pid_loss: 6.0793, t_un_loss: 9.8072
Epoch: [0][23/129], Time 0.486 (0.753), Data 0.136 (0.247), Loss 6.936 (7.295), Prec 14.84% (7.27%), s_pid_loss: 5.7100, t_un_loss: 9.7967
Epoch: [0][24/129], Time 0.497 (0.743), Data 0.135 (0.243), Loss 6.655 (7.269), Prec 14.06% (7.55%), s_pid_loss: 5.2987, t_un_loss: 9.8183
Epoch: [0][25/129], Time 0.491 (0.733), Data 0.136 (0.238), Loss 6.999 (7.258), Prec 12.50% (7.75%), s_pid_loss: 5.7759, t_un_loss: 9.8528
Epoch: [0][26/129], Time 0.480 (0.723), Data 0.135 (0.235), Loss 6.508 (7.229), Prec 18.75% (8.17%), s_pid_loss: 5.0662, t_un_loss: 9.8721
Epoch: [0][27/129], Time 0.484 (0.714), Data 0.136 (0.231), Loss 6.785 (7.213), Prec 12.50% (8.33%), s_pid_loss: 5.4571, t_un_loss: 9.8825
Epoch: [0][28/129], Time 0.481 (0.706), Data 0.136 (0.227), Loss 6.371 (7.183), Prec 18.75% (8.71%), s_pid_loss: 4.8599, t_un_loss: 9.8958
Epoch: [0][29/129], Time 0.493 (0.698), Data 0.135 (0.224), Loss 6.604 (7.163), Prec 18.75% (9.05%), s_pid_loss: 5.1798, t_un_loss: 9.9284
Epoch: [0][30/129], Time 0.491 (0.691), Data 0.142 (0.222), Loss 6.163 (7.129), Prec 23.44% (9.53%), s_pid_loss: 4.5519, t_un_loss: 9.9236
Epoch: [0][31/129], Time 0.509 (0.686), Data 0.136 (0.219), Loss 6.480 (7.108), Prec 20.31% (9.88%), s_pid_loss: 4.9891, t_un_loss: 9.9575
Epoch: [0][32/129], Time 0.486 (0.679), Data 0.136 (0.216), Loss 6.449 (7.088), Prec 22.66% (10.28%), s_pid_loss: 4.9344, t_un_loss: 9.9825
Epoch: [0][33/129], Time 0.484 (0.673), Data 0.136 (0.214), Loss 6.178 (7.060), Prec 27.34% (10.80%), s_pid_loss: 4.5365, t_un_loss: 10.0079
Epoch: [0][34/129], Time 0.493 (0.668), Data 0.135 (0.211), Loss 6.341 (7.039), Prec 21.09% (11.10%), s_pid_loss: 4.7560, t_un_loss: 10.0385
Epoch: [0][35/129], Time 0.494 (0.663), Data 0.136 (0.209), Loss 5.938 (7.008), Prec 25.00% (11.50%), s_pid_loss: 4.1763, t_un_loss: 10.0495
Epoch: [0][36/129], Time 0.482 (0.658), Data 0.135 (0.207), Loss 5.939 (6.978), Prec 30.47% (12.02%), s_pid_loss: 4.1716, t_un_loss: 10.0639
Epoch: [0][37/129], Time 0.487 (0.653), Data 0.139 (0.205), Loss 6.292 (6.959), Prec 25.78% (12.39%), s_pid_loss: 4.6769, t_un_loss: 10.0615
Epoch: [0][38/129], Time 0.498 (0.649), Data 0.135 (0.204), Loss 6.034 (6.935), Prec 30.47% (12.87%), s_pid_loss: 4.3036, t_un_loss: 10.0722
Epoch: [0][39/129], Time 0.494 (0.645), Data 0.136 (0.202), Loss 6.117 (6.914), Prec 29.69% (13.30%), s_pid_loss: 4.4154, t_un_loss: 10.0868
Epoch: [0][40/129], Time 0.503 (0.642), Data 0.136 (0.200), Loss 5.656 (6.883), Prec 37.50% (13.91%), s_pid_loss: 3.7392, t_un_loss: 10.1290
Epoch: [0][41/129], Time 0.496 (0.638), Data 0.136 (0.199), Loss 5.804 (6.856), Prec 31.25% (14.33%), s_pid_loss: 3.9417, t_un_loss: 10.1483
Epoch: [0][42/129], Time 0.485 (0.635), Data 0.136 (0.197), Loss 6.130 (6.839), Prec 28.91% (14.68%), s_pid_loss: 4.4183, t_un_loss: 10.1240
Epoch: [0][43/129], Time 0.498 (0.631), Data 0.136 (0.196), Loss 6.203 (6.824), Prec 25.78% (14.93%), s_pid_loss: 4.5132, t_un_loss: 10.1444
Epoch: [0][44/129], Time 0.511 (0.629), Data 0.136 (0.194), Loss 5.833 (6.802), Prec 28.91% (15.25%), s_pid_loss: 4.0041, t_un_loss: 10.1012
Epoch: [0][45/129], Time 0.511 (0.626), Data 0.136 (0.193), Loss 5.796 (6.779), Prec 33.59% (15.66%), s_pid_loss: 3.9367, t_un_loss: 10.1351
Epoch: [0][46/129], Time 0.492 (0.623), Data 0.135 (0.192), Loss 5.973 (6.762), Prec 28.91% (15.95%), s_pid_loss: 4.1765, t_un_loss: 10.1645
