log_dir= /home/ssreekri/ECN/logs
Namespace(arch='resnet50', batch_size=128, data_dir='/home/ssreekri/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=1, include_mmd=0, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.0, lmd_ext=0.33, logs_dir='/home/ssreekri/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='duke', target='market', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   702 |    16522
  target train    | 'Unknown' |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
lmd: 0.0 lmd_ext: 0.33 include_mmd: 0 include_coral: 1
Epoch: [0][1/129], Time 6.291 (6.291), Data 2.577 (2.577), Loss 6.555 (6.555), Prec 0.00% (0.00%), s_pid_loss: 6.5552, t_un_loss: 9.4678
Epoch: [0][2/129], Time 0.388 (3.339), Data 0.030 (1.303), Loss 6.365 (6.460), Prec 1.56% (0.78%), s_pid_loss: 6.3648, t_un_loss: 9.4897
Epoch: [0][3/129], Time 0.476 (2.385), Data 0.131 (0.913), Loss 10.036 (7.652), Prec 1.56% (1.04%), s_pid_loss: 10.0358, t_un_loss: 9.5179
Epoch: [0][4/129], Time 0.486 (1.910), Data 0.131 (0.717), Loss 7.466 (7.605), Prec 0.00% (0.78%), s_pid_loss: 7.4659, t_un_loss: 9.5368
Epoch: [0][5/129], Time 0.490 (1.626), Data 0.131 (0.600), Loss 11.656 (8.416), Prec 3.91% (1.41%), s_pid_loss: 11.6558, t_un_loss: 9.5501
Epoch: [0][6/129], Time 0.483 (1.436), Data 0.131 (0.522), Loss 12.993 (9.178), Prec 5.47% (2.08%), s_pid_loss: 12.9930, t_un_loss: 9.5711
Epoch: [0][7/129], Time 0.488 (1.300), Data 0.131 (0.466), Loss 12.998 (9.724), Prec 2.34% (2.12%), s_pid_loss: 12.9985, t_un_loss: 9.5982
Epoch: [0][8/129], Time 0.487 (1.199), Data 0.131 (0.424), Loss 8.987 (9.632), Prec 2.34% (2.15%), s_pid_loss: 8.9867, t_un_loss: 9.6391
Epoch: [0][9/129], Time 0.487 (1.120), Data 0.131 (0.391), Loss 10.973 (9.781), Prec 0.78% (2.00%), s_pid_loss: 10.9734, t_un_loss: 9.6871
Epoch: [0][10/129], Time 0.490 (1.057), Data 0.131 (0.365), Loss 9.659 (9.769), Prec 3.12% (2.11%), s_pid_loss: 9.6592, t_un_loss: 9.9659
Epoch: [0][11/129], Time 0.490 (1.005), Data 0.131 (0.344), Loss 10.684 (9.852), Prec 3.91% (2.27%), s_pid_loss: 10.6841, t_un_loss: 10.7093
Epoch: [0][12/129], Time 0.486 (0.962), Data 0.131 (0.326), Loss 10.270 (9.887), Prec 0.78% (2.15%), s_pid_loss: 10.2703, t_un_loss: 11.5915
Epoch: [0][13/129], Time 0.490 (0.926), Data 0.132 (0.311), Loss 12.096 (10.057), Prec 4.69% (2.34%), s_pid_loss: 12.0961, t_un_loss: 12.6454
Epoch: [0][14/129], Time 0.496 (0.895), Data 0.137 (0.299), Loss 13.204 (10.282), Prec 0.00% (2.18%), s_pid_loss: 13.2040, t_un_loss: 13.3804
Epoch: [0][15/129], Time 0.482 (0.867), Data 0.131 (0.288), Loss 14.363 (10.554), Prec 2.34% (2.19%), s_pid_loss: 14.3626, t_un_loss: 14.0828
Epoch: [0][16/129], Time 0.496 (0.844), Data 0.137 (0.278), Loss 17.025 (10.958), Prec 3.12% (2.25%), s_pid_loss: 17.0254, t_un_loss: 14.4386
Epoch: [0][17/129], Time 0.490 (0.823), Data 0.132 (0.270), Loss 23.414 (11.691), Prec 0.78% (2.16%), s_pid_loss: 23.4142, t_un_loss: 14.3307
Epoch: [0][18/129], Time 0.487 (0.805), Data 0.132 (0.262), Loss 23.820 (12.365), Prec 3.91% (2.26%), s_pid_loss: 23.8200, t_un_loss: 15.0828
Epoch: [0][19/129], Time 0.494 (0.788), Data 0.131 (0.255), Loss 22.607 (12.904), Prec 0.78% (2.18%), s_pid_loss: 22.6074, t_un_loss: 15.0241
Epoch: [0][20/129], Time 0.483 (0.773), Data 0.128 (0.249), Loss 19.664 (13.242), Prec 3.12% (2.23%), s_pid_loss: 19.6643, t_un_loss: 16.4695
