log_dir= /home/ssreekri/ECN/logs
Namespace(arch='resnet50', batch_size=128, data_dir='/home/ssreekri/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=1, include_mmd=0, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.3, lmd_ext=0.66, logs_dir='/home/ssreekri/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='duke', target='market', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   702 |    16522
  target train    | 'Unknown' |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
lmd: 0.3 lmd_ext: 0.66 include_mmd: 0 include_coral: 1
Epoch: [0][1/129], Time 5.985 (5.985), Data 2.521 (2.521), Loss 7.432 (7.432), Prec 0.00% (0.00%), s_pid_loss: 6.5594, t_un_loss: 9.4678
Epoch: [0][2/129], Time 0.431 (3.208), Data 0.073 (1.297), Loss 7.438 (7.435), Prec 0.00% (0.00%), s_pid_loss: 6.5579, t_un_loss: 9.4930
Epoch: [0][3/129], Time 0.481 (2.299), Data 0.123 (0.906), Loss 7.511 (7.460), Prec 1.56% (0.52%), s_pid_loss: 6.6528, t_un_loss: 9.5121
Epoch: [0][4/129], Time 0.489 (1.847), Data 0.132 (0.712), Loss 7.596 (7.494), Prec 0.78% (0.59%), s_pid_loss: 6.7661, t_un_loss: 9.5334
Epoch: [0][5/129], Time 0.492 (1.576), Data 0.132 (0.596), Loss 7.431 (7.482), Prec 3.91% (1.25%), s_pid_loss: 6.5202, t_un_loss: 9.5550
Epoch: [0][6/129], Time 0.489 (1.395), Data 0.132 (0.519), Loss 7.430 (7.473), Prec 2.34% (1.43%), s_pid_loss: 6.5115, t_un_loss: 9.5747
Epoch: [0][7/129], Time 0.485 (1.265), Data 0.127 (0.463), Loss 7.438 (7.468), Prec 7.03% (2.23%), s_pid_loss: 6.5152, t_un_loss: 9.5914
Epoch: [0][8/129], Time 0.489 (1.168), Data 0.132 (0.421), Loss 7.181 (7.432), Prec 7.81% (2.93%), s_pid_loss: 6.1402, t_un_loss: 9.6082
Epoch: [0][9/129], Time 0.491 (1.092), Data 0.132 (0.389), Loss 7.171 (7.403), Prec 6.25% (3.30%), s_pid_loss: 6.1227, t_un_loss: 9.6171
Epoch: [0][10/129], Time 0.496 (1.033), Data 0.132 (0.364), Loss 7.308 (7.394), Prec 7.81% (3.75%), s_pid_loss: 6.3133, t_un_loss: 9.6303
Epoch: [0][11/129], Time 0.489 (0.983), Data 0.128 (0.342), Loss 7.303 (7.385), Prec 7.81% (4.12%), s_pid_loss: 6.2971, t_un_loss: 9.6501
Epoch: [0][12/129], Time 0.495 (0.943), Data 0.132 (0.325), Loss 7.566 (7.400), Prec 4.69% (4.17%), s_pid_loss: 6.6709, t_un_loss: 9.6538
Epoch: [0][13/129], Time 0.492 (0.908), Data 0.127 (0.309), Loss 7.082 (7.376), Prec 10.94% (4.69%), s_pid_loss: 5.9724, t_un_loss: 9.6702
Epoch: [0][14/129], Time 0.492 (0.878), Data 0.132 (0.297), Loss 7.316 (7.372), Prec 9.38% (5.02%), s_pid_loss: 6.3092, t_un_loss: 9.6663
Epoch: [0][15/129], Time 0.492 (0.853), Data 0.133 (0.286), Loss 7.239 (7.363), Prec 8.59% (5.26%), s_pid_loss: 6.1914, t_un_loss: 9.6838
Epoch: [0][16/129], Time 0.493 (0.830), Data 0.138 (0.277), Loss 7.071 (7.345), Prec 9.38% (5.52%), s_pid_loss: 5.9423, t_un_loss: 9.7032
Epoch: [0][17/129], Time 0.495 (0.810), Data 0.133 (0.268), Loss 7.403 (7.348), Prec 8.59% (5.70%), s_pid_loss: 6.4194, t_un_loss: 9.6996
Epoch: [0][18/129], Time 0.490 (0.793), Data 0.133 (0.261), Loss 7.014 (7.329), Prec 12.50% (6.08%), s_pid_loss: 5.8584, t_un_loss: 9.7099
Epoch: [0][19/129], Time 0.486 (0.776), Data 0.133 (0.254), Loss 7.119 (7.318), Prec 13.28% (6.46%), s_pid_loss: 6.0007, t_un_loss: 9.7294
Epoch: [0][20/129], Time 0.486 (0.762), Data 0.132 (0.248), Loss 6.921 (7.299), Prec 13.28% (6.80%), s_pid_loss: 5.7114, t_un_loss: 9.7425
Epoch: [0][21/129], Time 0.490 (0.749), Data 0.127 (0.242), Loss 6.949 (7.282), Prec 15.62% (7.22%), s_pid_loss: 5.7512, t_un_loss: 9.7441
Epoch: [0][22/129], Time 0.494 (0.737), Data 0.133 (0.237), Loss 6.984 (7.268), Prec 13.28% (7.49%), s_pid_loss: 5.7902, t_un_loss: 9.7697
Epoch: [0][23/129], Time 0.486 (0.726), Data 0.127 (0.232), Loss 6.739 (7.245), Prec 15.62% (7.85%), s_pid_loss: 5.4398, t_un_loss: 9.7691
Epoch: [0][24/129], Time 0.491 (0.717), Data 0.132 (0.228), Loss 6.648 (7.220), Prec 14.84% (8.14%), s_pid_loss: 5.2935, t_un_loss: 9.8087
Epoch: [0][25/129], Time 0.488 (0.708), Data 0.132 (0.224), Loss 6.606 (7.196), Prec 17.19% (8.50%), s_pid_loss: 5.2291, t_un_loss: 9.8193
Epoch: [0][26/129], Time 0.491 (0.699), Data 0.132 (0.221), Loss 6.486 (7.169), Prec 25.78% (9.16%), s_pid_loss: 5.0484, t_un_loss: 9.8405
Epoch: [0][27/129], Time 0.493 (0.692), Data 0.133 (0.218), Loss 6.665 (7.150), Prec 14.84% (9.38%), s_pid_loss: 5.2926, t_un_loss: 9.8679
Epoch: [0][28/129], Time 0.489 (0.684), Data 0.132 (0.214), Loss 6.590 (7.130), Prec 16.41% (9.63%), s_pid_loss: 5.1774, t_un_loss: 9.8851
Epoch: [0][29/129], Time 0.488 (0.678), Data 0.133 (0.212), Loss 6.539 (7.110), Prec 17.97% (9.91%), s_pid_loss: 5.0878, t_un_loss: 9.9247
Epoch: [0][30/129], Time 0.496 (0.672), Data 0.132 (0.209), Loss 6.417 (7.086), Prec 20.31% (10.26%), s_pid_loss: 4.9086, t_un_loss: 9.9356
Epoch: [0][31/129], Time 0.493 (0.666), Data 0.133 (0.207), Loss 5.989 (7.051), Prec 30.47% (10.91%), s_pid_loss: 4.2980, t_un_loss: 9.9350
Epoch: [0][32/129], Time 0.507 (0.661), Data 0.133 (0.204), Loss 6.183 (7.024), Prec 24.22% (11.33%), s_pid_loss: 4.5605, t_un_loss: 9.9682
Epoch: [0][33/129], Time 0.492 (0.656), Data 0.124 (0.202), Loss 5.797 (6.987), Prec 32.03% (11.96%), s_pid_loss: 3.9944, t_un_loss: 10.0034
Epoch: [0][34/129], Time 0.503 (0.651), Data 0.133 (0.200), Loss 6.387 (6.969), Prec 28.12% (12.43%), s_pid_loss: 4.8261, t_un_loss: 10.0290
Epoch: [0][35/129], Time 0.495 (0.647), Data 0.133 (0.198), Loss 6.342 (6.951), Prec 18.75% (12.61%), s_pid_loss: 4.7706, t_un_loss: 10.0101
Epoch: [0][36/129], Time 0.493 (0.643), Data 0.132 (0.196), Loss 6.088 (6.927), Prec 30.47% (13.11%), s_pid_loss: 4.3946, t_un_loss: 10.0390
Epoch: [0][37/129], Time 0.496 (0.639), Data 0.132 (0.194), Loss 6.375 (6.912), Prec 26.56% (13.47%), s_pid_loss: 4.7991, t_un_loss: 10.0518
Epoch: [0][38/129], Time 0.481 (0.634), Data 0.133 (0.193), Loss 6.223 (6.894), Prec 21.88% (13.69%), s_pid_loss: 4.5785, t_un_loss: 10.0590
Epoch: [0][39/129], Time 0.492 (0.631), Data 0.133 (0.191), Loss 6.288 (6.879), Prec 28.91% (14.08%), s_pid_loss: 4.6587, t_un_loss: 10.0885
Epoch: [0][40/129], Time 0.494 (0.627), Data 0.132 (0.190), Loss 5.807 (6.852), Prec 32.81% (14.55%), s_pid_loss: 3.9729, t_un_loss: 10.0856
Epoch: [0][41/129], Time 0.490 (0.624), Data 0.132 (0.188), Loss 6.226 (6.837), Prec 26.56% (14.84%), s_pid_loss: 4.5683, t_un_loss: 10.0939
Epoch: [0][42/129], Time 0.493 (0.621), Data 0.132 (0.187), Loss 5.708 (6.810), Prec 32.81% (15.27%), s_pid_loss: 3.8304, t_un_loss: 10.0894
Epoch: [0][43/129], Time 0.493 (0.618), Data 0.133 (0.186), Loss 6.117 (6.794), Prec 29.69% (15.61%), s_pid_loss: 4.4105, t_un_loss: 10.0983
Epoch: [0][44/129], Time 0.491 (0.615), Data 0.132 (0.185), Loss 5.870 (6.773), Prec 25.00% (15.82%), s_pid_loss: 4.0408, t_un_loss: 10.1395
Epoch: [0][45/129], Time 0.490 (0.612), Data 0.132 (0.183), Loss 6.025 (6.756), Prec 26.56% (16.06%), s_pid_loss: 4.2533, t_un_loss: 10.1574
Epoch: [0][46/129], Time 0.489 (0.610), Data 0.132 (0.182), Loss 5.615 (6.731), Prec 31.25% (16.39%), s_pid_loss: 3.6530, t_un_loss: 10.1945
Epoch: [0][47/129], Time 0.503 (0.607), Data 0.132 (0.181), Loss 5.914 (6.714), Prec 30.47% (16.69%), s_pid_loss: 4.0736, t_un_loss: 10.2074
Epoch: [0][48/129], Time 0.491 (0.605), Data 0.132 (0.180), Loss 5.479 (6.688), Prec 32.81% (17.02%), s_pid_loss: 3.4445, t_un_loss: 10.2246
Epoch: [0][49/129], Time 0.497 (0.603), Data 0.133 (0.179), Loss 5.568 (6.665), Prec 33.59% (17.36%), s_pid_loss: 3.5787, t_un_loss: 10.2081
Epoch: [0][50/129], Time 0.512 (0.601), Data 0.134 (0.178), Loss 5.570 (6.643), Prec 35.16% (17.72%), s_pid_loss: 3.5761, t_un_loss: 10.2213
Epoch: [0][51/129], Time 0.495 (0.599), Data 0.132 (0.177), Loss 5.588 (6.623), Prec 38.28% (18.12%), s_pid_loss: 3.5990, t_un_loss: 10.2283
Epoch: [0][52/129], Time 0.501 (0.597), Data 0.133 (0.177), Loss 5.568 (6.602), Prec 37.50% (18.49%), s_pid_loss: 3.5572, t_un_loss: 10.2584
Epoch: [0][53/129], Time 0.509 (0.595), Data 0.133 (0.176), Loss 5.618 (6.584), Prec 35.94% (18.82%), s_pid_loss: 3.6350, t_un_loss: 10.2434
Epoch: [0][54/129], Time 0.498 (0.593), Data 0.133 (0.175), Loss 5.679 (6.567), Prec 34.38% (19.11%), s_pid_loss: 3.7057, t_un_loss: 10.2829
