log_dir= /home/sbvenkat/ECN/logs
Namespace(arch='resnet50', batch_size=128, camstyle_type='cyclegan', data_dir='/home/sbvenkat/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=0, include_mmd=1, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.0, lmd_ext=0.0, logs_dir='/home/sbvenkat/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='duke', target='market', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   702 |    16522
  target train    | 'Unknown' |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
lmd: 0.0 lmd_ext: 0.0 include_mmd: 1 include_coral: 0
Epoch: [0][1/129], Time 6.551 (6.551), Data 2.894 (2.894), Loss 6.558 (6.558), Prec 0.00% (0.00%), s_pid_loss: 6.5580, t_un_loss: 9.4678
Epoch: [0][2/129], Time 0.464 (3.508), Data 0.065 (1.480), Loss 6.696 (6.627), Prec 1.56% (0.78%), s_pid_loss: 6.6960, t_un_loss: 9.4896
Epoch: [0][3/129], Time 0.568 (2.528), Data 0.134 (1.031), Loss 6.877 (6.710), Prec 4.69% (2.08%), s_pid_loss: 6.8773, t_un_loss: 9.5127
Epoch: [0][4/129], Time 0.550 (2.033), Data 0.146 (0.810), Loss 6.810 (6.735), Prec 2.34% (2.15%), s_pid_loss: 6.8095, t_un_loss: 9.5362
Epoch: [0][5/129], Time 0.551 (1.737), Data 0.134 (0.675), Loss 7.050 (6.798), Prec 1.56% (2.03%), s_pid_loss: 7.0503, t_un_loss: 9.5545
Epoch: [0][6/129], Time 0.542 (1.538), Data 0.134 (0.585), Loss 6.822 (6.802), Prec 3.91% (2.34%), s_pid_loss: 6.8217, t_un_loss: 9.5764
Epoch: [0][7/129], Time 0.564 (1.399), Data 0.134 (0.520), Loss 6.829 (6.806), Prec 5.47% (2.79%), s_pid_loss: 6.8293, t_un_loss: 9.6014
Epoch: [0][8/129], Time 0.559 (1.294), Data 0.135 (0.472), Loss 6.664 (6.788), Prec 3.12% (2.83%), s_pid_loss: 6.6637, t_un_loss: 9.6103
Epoch: [0][9/129], Time 0.556 (1.212), Data 0.134 (0.435), Loss 6.742 (6.783), Prec 5.47% (3.12%), s_pid_loss: 6.7423, t_un_loss: 9.6313
Epoch: [0][10/129], Time 0.551 (1.146), Data 0.138 (0.405), Loss 6.817 (6.786), Prec 3.91% (3.20%), s_pid_loss: 6.8167, t_un_loss: 9.6537
Epoch: [0][11/129], Time 0.535 (1.090), Data 0.134 (0.380), Loss 6.806 (6.788), Prec 5.47% (3.41%), s_pid_loss: 6.8064, t_un_loss: 9.6705
Epoch: [0][12/129], Time 0.568 (1.047), Data 0.135 (0.360), Loss 6.278 (6.746), Prec 11.72% (4.10%), s_pid_loss: 6.2781, t_un_loss: 9.6813
Epoch: [0][13/129], Time 0.546 (1.008), Data 0.134 (0.343), Loss 6.391 (6.718), Prec 7.81% (4.39%), s_pid_loss: 6.3911, t_un_loss: 9.6931
Epoch: [0][14/129], Time 0.559 (0.976), Data 0.131 (0.327), Loss 6.200 (6.681), Prec 12.50% (4.97%), s_pid_loss: 6.1996, t_un_loss: 9.7127
Epoch: [0][15/129], Time 0.548 (0.948), Data 0.134 (0.315), Loss 6.454 (6.666), Prec 6.25% (5.05%), s_pid_loss: 6.4537, t_un_loss: 9.7529
Epoch: [0][16/129], Time 0.559 (0.923), Data 0.135 (0.303), Loss 6.836 (6.677), Prec 9.38% (5.32%), s_pid_loss: 6.8365, t_un_loss: 9.7633
Epoch: [0][17/129], Time 0.540 (0.901), Data 0.135 (0.293), Loss 6.040 (6.639), Prec 10.94% (5.65%), s_pid_loss: 6.0398, t_un_loss: 9.7635
Epoch: [0][18/129], Time 0.553 (0.881), Data 0.135 (0.285), Loss 5.804 (6.593), Prec 14.84% (6.16%), s_pid_loss: 5.8040, t_un_loss: 9.7654
Epoch: [0][19/129], Time 0.547 (0.864), Data 0.135 (0.277), Loss 5.705 (6.546), Prec 18.75% (6.83%), s_pid_loss: 5.7047, t_un_loss: 9.8001
Epoch: [0][20/129], Time 0.541 (0.848), Data 0.134 (0.270), Loss 5.905 (6.514), Prec 17.19% (7.34%), s_pid_loss: 5.9047, t_un_loss: 9.8210
Epoch: [0][21/129], Time 0.565 (0.834), Data 0.134 (0.263), Loss 6.086 (6.494), Prec 14.06% (7.66%), s_pid_loss: 6.0855, t_un_loss: 9.8532
Epoch: [0][22/129], Time 0.542 (0.821), Data 0.135 (0.257), Loss 5.485 (6.448), Prec 14.06% (7.95%), s_pid_loss: 5.4848, t_un_loss: 9.8785
Epoch: [0][23/129], Time 0.561 (0.810), Data 0.135 (0.252), Loss 5.706 (6.416), Prec 14.84% (8.25%), s_pid_loss: 5.7062, t_un_loss: 9.8984
Epoch: [0][24/129], Time 0.572 (0.800), Data 0.135 (0.247), Loss 5.734 (6.387), Prec 15.62% (8.56%), s_pid_loss: 5.7336, t_un_loss: 9.9191
Epoch: [0][25/129], Time 0.570 (0.790), Data 0.146 (0.243), Loss 5.148 (6.338), Prec 21.88% (9.09%), s_pid_loss: 5.1479, t_un_loss: 9.9303
Epoch: [0][26/129], Time 0.542 (0.781), Data 0.135 (0.239), Loss 5.886 (6.320), Prec 27.34% (9.80%), s_pid_loss: 5.8863, t_un_loss: 9.9659
Epoch: [0][27/129], Time 0.561 (0.773), Data 0.135 (0.235), Loss 5.712 (6.298), Prec 23.44% (10.30%), s_pid_loss: 5.7116, t_un_loss: 10.0287
Epoch: [0][28/129], Time 0.561 (0.765), Data 0.135 (0.232), Loss 5.585 (6.272), Prec 17.97% (10.57%), s_pid_loss: 5.5853, t_un_loss: 10.0754
Epoch: [0][29/129], Time 0.559 (0.758), Data 0.135 (0.228), Loss 4.697 (6.218), Prec 22.66% (10.99%), s_pid_loss: 4.6975, t_un_loss: 10.1136
Epoch: [0][30/129], Time 0.576 (0.752), Data 0.149 (0.226), Loss 5.220 (6.185), Prec 24.22% (11.43%), s_pid_loss: 5.2195, t_un_loss: 10.1348
Epoch: [0][31/129], Time 0.541 (0.745), Data 0.135 (0.223), Loss 5.367 (6.158), Prec 21.88% (11.77%), s_pid_loss: 5.3673, t_un_loss: 10.1793
Epoch: [0][32/129], Time 0.574 (0.740), Data 0.136 (0.220), Loss 5.821 (6.148), Prec 17.19% (11.94%), s_pid_loss: 5.8206, t_un_loss: 10.2321
Epoch: [0][33/129], Time 0.558 (0.734), Data 0.141 (0.218), Loss 4.831 (6.108), Prec 29.69% (12.48%), s_pid_loss: 4.8309, t_un_loss: 10.2679
Epoch: [0][34/129], Time 0.577 (0.730), Data 0.135 (0.215), Loss 4.724 (6.067), Prec 23.44% (12.80%), s_pid_loss: 4.7237, t_un_loss: 10.3109
Epoch: [0][35/129], Time 0.544 (0.724), Data 0.135 (0.213), Loss 4.822 (6.032), Prec 29.69% (13.28%), s_pid_loss: 4.8224, t_un_loss: 10.3188
Epoch: [0][36/129], Time 0.546 (0.720), Data 0.136 (0.211), Loss 5.190 (6.008), Prec 25.78% (13.63%), s_pid_loss: 5.1901, t_un_loss: 10.3678
Epoch: [0][37/129], Time 0.543 (0.715), Data 0.135 (0.209), Loss 5.455 (5.993), Prec 22.66% (13.87%), s_pid_loss: 5.4547, t_un_loss: 10.4867
Epoch: [0][38/129], Time 0.562 (0.711), Data 0.135 (0.207), Loss 4.459 (5.953), Prec 28.91% (14.27%), s_pid_loss: 4.4592, t_un_loss: 10.5252
Epoch: [0][39/129], Time 0.555 (0.707), Data 0.134 (0.205), Loss 5.007 (5.929), Prec 33.59% (14.76%), s_pid_loss: 5.0071, t_un_loss: 10.5771
Epoch: [0][40/129], Time 0.553 (0.703), Data 0.135 (0.203), Loss 4.682 (5.898), Prec 25.78% (15.04%), s_pid_loss: 4.6825, t_un_loss: 10.6340
Epoch: [0][41/129], Time 0.544 (0.699), Data 0.135 (0.201), Loss 4.613 (5.866), Prec 24.22% (15.26%), s_pid_loss: 4.6127, t_un_loss: 10.6848
Epoch: [0][42/129], Time 0.557 (0.696), Data 0.135 (0.200), Loss 4.634 (5.837), Prec 25.78% (15.51%), s_pid_loss: 4.6343, t_un_loss: 10.7556
Epoch: [0][43/129], Time 0.567 (0.693), Data 0.135 (0.198), Loss 4.642 (5.809), Prec 28.91% (15.82%), s_pid_loss: 4.6418, t_un_loss: 10.7923
Epoch: [0][44/129], Time 0.556 (0.690), Data 0.135 (0.197), Loss 4.096 (5.770), Prec 35.16% (16.26%), s_pid_loss: 4.0956, t_un_loss: 10.7958
Epoch: [0][45/129], Time 0.561 (0.687), Data 0.135 (0.195), Loss 3.891 (5.728), Prec 34.38% (16.67%), s_pid_loss: 3.8909, t_un_loss: 10.9354
Epoch: [0][46/129], Time 0.565 (0.684), Data 0.136 (0.194), Loss 4.167 (5.694), Prec 29.69% (16.95%), s_pid_loss: 4.1671, t_un_loss: 11.0533
Epoch: [0][47/129], Time 0.546 (0.681), Data 0.136 (0.193), Loss 4.189 (5.662), Prec 29.69% (17.22%), s_pid_loss: 4.1891, t_un_loss: 11.0898
Epoch: [0][48/129], Time 0.563 (0.679), Data 0.135 (0.192), Loss 5.538 (5.660), Prec 35.94% (17.61%), s_pid_loss: 5.5382, t_un_loss: 11.0421
Epoch: [0][49/129], Time 0.573 (0.677), Data 0.133 (0.191), Loss 4.529 (5.637), Prec 25.78% (17.78%), s_pid_loss: 4.5295, t_un_loss: 11.1752
