log_dir= /home/sbvenkat/ECN/logs
Namespace(arch='resnet50', batch_size=128, camstyle_type='stargan', data_dir='/home/sbvenkat/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=0, include_mmd=1, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.3, lmd_ext=0.33, logs_dir='/home/sbvenkat/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='duke', target='market', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   702 |    16522
  target train    | 'Unknown' |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
lmd: 0.3 lmd_ext: 0.33 include_mmd: 1 include_coral: 0
Epoch: [0][1/129], Time 5.868 (5.868), Data 2.491 (2.491), Loss 7.445 (7.445), Prec 0.00% (0.00%), s_pid_loss: 6.5601, t_un_loss: 9.4678
Epoch: [0][2/129], Time 0.468 (3.168), Data 0.066 (1.278), Loss 7.441 (7.443), Prec 3.12% (1.56%), s_pid_loss: 6.5454, t_un_loss: 9.4888
Epoch: [0][3/129], Time 0.553 (2.296), Data 0.136 (0.898), Loss 7.527 (7.471), Prec 5.47% (2.86%), s_pid_loss: 6.6588, t_un_loss: 9.5105
Epoch: [0][4/129], Time 0.540 (1.857), Data 0.136 (0.707), Loss 7.822 (7.559), Prec 1.56% (2.54%), s_pid_loss: 7.0714, t_un_loss: 9.5294
Epoch: [0][5/129], Time 0.546 (1.595), Data 0.136 (0.593), Loss 7.958 (7.639), Prec 3.91% (2.81%), s_pid_loss: 7.2553, t_un_loss: 9.5540
Epoch: [0][6/129], Time 0.557 (1.422), Data 0.137 (0.517), Loss 7.590 (7.631), Prec 1.56% (2.60%), s_pid_loss: 6.7223, t_un_loss: 9.5725
Epoch: [0][7/129], Time 0.556 (1.298), Data 0.137 (0.463), Loss 7.670 (7.636), Prec 1.56% (2.46%), s_pid_loss: 6.8280, t_un_loss: 9.5922
Epoch: [0][8/129], Time 0.553 (1.205), Data 0.136 (0.422), Loss 7.777 (7.654), Prec 7.81% (3.12%), s_pid_loss: 6.9744, t_un_loss: 9.6084
Epoch: [0][9/129], Time 0.539 (1.131), Data 0.136 (0.390), Loss 7.693 (7.658), Prec 2.34% (3.04%), s_pid_loss: 6.8518, t_un_loss: 9.6146
Epoch: [0][10/129], Time 0.552 (1.073), Data 0.137 (0.365), Loss 7.201 (7.613), Prec 6.25% (3.36%), s_pid_loss: 6.1412, t_un_loss: 9.6313
Epoch: [0][11/129], Time 0.540 (1.025), Data 0.138 (0.344), Loss 7.226 (7.577), Prec 7.81% (3.76%), s_pid_loss: 6.1729, t_un_loss: 9.6388
Epoch: [0][12/129], Time 0.536 (0.984), Data 0.136 (0.327), Loss 7.338 (7.557), Prec 6.25% (3.97%), s_pid_loss: 6.3258, t_un_loss: 9.6568
Epoch: [0][13/129], Time 0.530 (0.949), Data 0.136 (0.312), Loss 7.274 (7.536), Prec 8.59% (4.33%), s_pid_loss: 6.2239, t_un_loss: 9.6802
Epoch: [0][14/129], Time 0.530 (0.919), Data 0.136 (0.300), Loss 7.352 (7.523), Prec 3.91% (4.30%), s_pid_loss: 6.3302, t_un_loss: 9.6941
Epoch: [0][15/129], Time 0.540 (0.894), Data 0.136 (0.289), Loss 7.364 (7.512), Prec 5.47% (4.38%), s_pid_loss: 6.3452, t_un_loss: 9.6971
Epoch: [0][16/129], Time 0.540 (0.872), Data 0.136 (0.279), Loss 6.784 (7.466), Prec 17.97% (5.22%), s_pid_loss: 5.4949, t_un_loss: 9.7481
Epoch: [0][17/129], Time 0.545 (0.853), Data 0.136 (0.271), Loss 7.373 (7.461), Prec 7.81% (5.38%), s_pid_loss: 6.3372, t_un_loss: 9.7474
Epoch: [0][18/129], Time 0.566 (0.837), Data 0.137 (0.263), Loss 6.918 (7.431), Prec 14.06% (5.86%), s_pid_loss: 5.6855, t_un_loss: 9.7500
Epoch: [0][19/129], Time 0.541 (0.821), Data 0.134 (0.256), Loss 7.139 (7.415), Prec 10.16% (6.09%), s_pid_loss: 5.9819, t_un_loss: 9.7943
Epoch: [0][20/129], Time 0.553 (0.808), Data 0.137 (0.250), Loss 6.903 (7.390), Prec 17.97% (6.68%), s_pid_loss: 5.6385, t_un_loss: 9.8100
Epoch: [0][21/129], Time 0.540 (0.795), Data 0.137 (0.245), Loss 6.814 (7.362), Prec 17.97% (7.22%), s_pid_loss: 5.5149, t_un_loss: 9.8011
Epoch: [0][22/129], Time 0.552 (0.784), Data 0.137 (0.240), Loss 7.128 (7.352), Prec 14.06% (7.53%), s_pid_loss: 5.9615, t_un_loss: 9.8074
Epoch: [0][23/129], Time 0.556 (0.774), Data 0.137 (0.236), Loss 6.733 (7.325), Prec 19.53% (8.05%), s_pid_loss: 5.3870, t_un_loss: 9.8299
Epoch: [0][24/129], Time 0.561 (0.765), Data 0.144 (0.232), Loss 7.020 (7.312), Prec 14.84% (8.33%), s_pid_loss: 5.7899, t_un_loss: 9.8484
Epoch: [0][25/129], Time 0.541 (0.756), Data 0.137 (0.228), Loss 6.661 (7.286), Prec 17.97% (8.72%), s_pid_loss: 5.2716, t_un_loss: 9.8583
Epoch: [0][26/129], Time 0.545 (0.748), Data 0.137 (0.224), Loss 6.236 (7.246), Prec 25.00% (9.34%), s_pid_loss: 4.6571, t_un_loss: 9.8762
Epoch: [0][27/129], Time 0.574 (0.742), Data 0.136 (0.221), Loss 6.430 (7.215), Prec 14.84% (9.55%), s_pid_loss: 4.9325, t_un_loss: 9.8792
Epoch: [0][28/129], Time 0.544 (0.735), Data 0.136 (0.218), Loss 7.026 (7.209), Prec 10.16% (9.57%), s_pid_loss: 5.7639, t_un_loss: 9.9272
Epoch: [0][29/129], Time 0.544 (0.728), Data 0.138 (0.215), Loss 6.374 (7.180), Prec 19.53% (9.91%), s_pid_loss: 4.8197, t_un_loss: 9.9571
Epoch: [0][30/129], Time 0.535 (0.722), Data 0.137 (0.213), Loss 6.624 (7.161), Prec 18.75% (10.21%), s_pid_loss: 5.1682, t_un_loss: 9.9765
Epoch: [0][31/129], Time 0.538 (0.716), Data 0.137 (0.210), Loss 6.492 (7.140), Prec 17.19% (10.43%), s_pid_loss: 4.9753, t_un_loss: 9.9883
Epoch: [0][32/129], Time 0.577 (0.711), Data 0.137 (0.208), Loss 6.242 (7.112), Prec 28.12% (10.99%), s_pid_loss: 4.6109, t_un_loss: 10.0051
Epoch: [0][33/129], Time 0.545 (0.706), Data 0.137 (0.206), Loss 5.990 (7.078), Prec 23.44% (11.36%), s_pid_loss: 4.2526, t_un_loss: 10.0005
Epoch: [0][34/129], Time 0.545 (0.701), Data 0.138 (0.204), Loss 6.409 (7.058), Prec 22.66% (11.70%), s_pid_loss: 4.8359, t_un_loss: 10.0346
Epoch: [0][35/129], Time 0.568 (0.698), Data 0.137 (0.202), Loss 6.018 (7.028), Prec 31.25% (12.25%), s_pid_loss: 4.2767, t_un_loss: 10.0382
Epoch: [0][36/129], Time 0.556 (0.694), Data 0.137 (0.200), Loss 6.287 (7.008), Prec 26.56% (12.65%), s_pid_loss: 4.6585, t_un_loss: 10.0426
Epoch: [0][37/129], Time 0.561 (0.690), Data 0.138 (0.198), Loss 6.255 (6.987), Prec 23.44% (12.94%), s_pid_loss: 4.5938, t_un_loss: 10.0875
Epoch: [0][38/129], Time 0.557 (0.687), Data 0.138 (0.197), Loss 5.894 (6.959), Prec 31.25% (13.43%), s_pid_loss: 4.0799, t_un_loss: 10.0840
Epoch: [0][39/129], Time 0.539 (0.683), Data 0.137 (0.195), Loss 6.410 (6.945), Prec 24.22% (13.70%), s_pid_loss: 4.8264, t_un_loss: 10.0637
Epoch: [0][40/129], Time 0.572 (0.680), Data 0.137 (0.194), Loss 6.173 (6.925), Prec 29.69% (14.10%), s_pid_loss: 4.4699, t_un_loss: 10.1052
Epoch: [0][41/129], Time 0.554 (0.677), Data 0.138 (0.193), Loss 5.810 (6.898), Prec 30.47% (14.50%), s_pid_loss: 3.9456, t_un_loss: 10.1153
Epoch: [0][42/129], Time 0.555 (0.674), Data 0.137 (0.191), Loss 5.887 (6.874), Prec 26.56% (14.79%), s_pid_loss: 4.0364, t_un_loss: 10.1605
Epoch: [0][43/129], Time 0.550 (0.671), Data 0.137 (0.190), Loss 6.094 (6.856), Prec 34.38% (15.24%), s_pid_loss: 4.3456, t_un_loss: 10.1288
Epoch: [0][44/129], Time 0.555 (0.669), Data 0.137 (0.189), Loss 5.441 (6.824), Prec 36.72% (15.73%), s_pid_loss: 3.3938, t_un_loss: 10.1726
Epoch: [0][45/129], Time 0.569 (0.666), Data 0.137 (0.188), Loss 5.750 (6.800), Prec 32.03% (16.09%), s_pid_loss: 3.8479, t_un_loss: 10.1462
Epoch: [0][46/129], Time 0.546 (0.664), Data 0.137 (0.187), Loss 5.506 (6.772), Prec 35.94% (16.53%), s_pid_loss: 3.4789, t_un_loss: 10.1937
Epoch: [0][47/129], Time 0.522 (0.661), Data 0.137 (0.185), Loss 5.867 (6.752), Prec 28.91% (16.79%), s_pid_loss: 3.9919, t_un_loss: 10.1981
Epoch: [0][48/129], Time 0.541 (0.658), Data 0.137 (0.184), Loss 5.542 (6.727), Prec 39.06% (17.25%), s_pid_loss: 3.5239, t_un_loss: 10.2078
Epoch: [0][49/129], Time 0.568 (0.656), Data 0.138 (0.183), Loss 5.989 (6.712), Prec 28.12% (17.47%), s_pid_loss: 4.1635, t_un_loss: 10.2063
Epoch: [0][50/129], Time 0.555 (0.654), Data 0.137 (0.183), Loss 5.468 (6.687), Prec 39.84% (17.92%), s_pid_loss: 3.4087, t_un_loss: 10.2310
Epoch: [0][51/129], Time 0.568 (0.653), Data 0.136 (0.182), Loss 5.645 (6.667), Prec 39.84% (18.35%), s_pid_loss: 3.6385, t_un_loss: 10.2825
Epoch: [0][52/129], Time 0.557 (0.651), Data 0.137 (0.181), Loss 5.521 (6.645), Prec 38.28% (18.73%), s_pid_loss: 3.4761, t_un_loss: 10.2503
Epoch: [0][53/129], Time 0.554 (0.649), Data 0.138 (0.180), Loss 5.740 (6.628), Prec 32.81% (19.00%), s_pid_loss: 3.7998, t_un_loss: 10.2237
Epoch: [0][54/129], Time 0.538 (0.647), Data 0.137 (0.179), Loss 5.579 (6.608), Prec 37.50% (19.34%), s_pid_loss: 3.5500, t_un_loss: 10.2703
Epoch: [0][55/129], Time 0.553 (0.645), Data 0.138 (0.178), Loss 5.561 (6.589), Prec 35.16% (19.63%), s_pid_loss: 3.5183, t_un_loss: 10.2831
Epoch: [0][56/129], Time 0.579 (0.644), Data 0.144 (0.178), Loss 5.745 (6.574), Prec 36.72% (19.94%), s_pid_loss: 3.7803, t_un_loss: 10.2848
Epoch: [0][57/129], Time 0.540 (0.642), Data 0.137 (0.177), Loss 5.241 (6.551), Prec 43.75% (20.35%), s_pid_loss: 3.0506, t_un_loss: 10.3087
