log_dir= /home/sbvenkat/ECN/logs
Namespace(arch='resnet50', batch_size=128, camstyle_type='cyclegan', data_dir='/home/sbvenkat/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=0, include_mmd=1, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.0, lmd_ext=0.0, logs_dir='/home/sbvenkat/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='market', target='duke', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   751 |    12936
  target train    | 'Unknown' |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
lmd: 0.0 lmd_ext: 0.0 include_mmd: 1 include_coral: 0
Epoch: [0][1/101], Time 5.601 (5.601), Data 2.578 (2.578), Loss 6.632 (6.632), Prec 0.78% (0.78%), s_pid_loss: 6.6319, t_un_loss: 9.7125
Epoch: [0][2/101], Time 0.315 (2.958), Data 0.043 (1.311), Loss 6.784 (6.708), Prec 0.78% (0.78%), s_pid_loss: 6.7842, t_un_loss: 9.7302
Epoch: [0][3/101], Time 0.422 (2.113), Data 0.115 (0.912), Loss 6.755 (6.724), Prec 0.00% (0.52%), s_pid_loss: 6.7554, t_un_loss: 9.7465
Epoch: [0][4/101], Time 0.393 (1.683), Data 0.115 (0.713), Loss 6.986 (6.789), Prec 0.00% (0.39%), s_pid_loss: 6.9861, t_un_loss: 9.7637
Epoch: [0][5/101], Time 0.475 (1.441), Data 0.115 (0.593), Loss 6.908 (6.813), Prec 1.56% (0.63%), s_pid_loss: 6.9082, t_un_loss: 9.7763
Epoch: [0][6/101], Time 0.374 (1.263), Data 0.093 (0.510), Loss 6.701 (6.794), Prec 1.56% (0.78%), s_pid_loss: 6.7010, t_un_loss: 9.7902
Epoch: [0][7/101], Time 0.421 (1.143), Data 0.115 (0.454), Loss 6.783 (6.793), Prec 3.91% (1.23%), s_pid_loss: 6.7827, t_un_loss: 9.8081
Epoch: [0][8/101], Time 0.428 (1.054), Data 0.112 (0.411), Loss 6.920 (6.809), Prec 2.34% (1.37%), s_pid_loss: 6.9198, t_un_loss: 9.8160
Epoch: [0][9/101], Time 0.415 (0.983), Data 0.116 (0.378), Loss 6.818 (6.810), Prec 3.12% (1.56%), s_pid_loss: 6.8180, t_un_loss: 9.8512
Epoch: [0][10/101], Time 0.409 (0.925), Data 0.116 (0.352), Loss 6.877 (6.816), Prec 2.34% (1.64%), s_pid_loss: 6.8772, t_un_loss: 9.8396
Epoch: [0][11/101], Time 0.431 (0.880), Data 0.116 (0.330), Loss 6.658 (6.802), Prec 5.47% (1.99%), s_pid_loss: 6.6582, t_un_loss: 9.8655
Epoch: [0][12/101], Time 0.403 (0.840), Data 0.116 (0.313), Loss 6.544 (6.781), Prec 3.91% (2.15%), s_pid_loss: 6.5435, t_un_loss: 9.8804
Epoch: [0][13/101], Time 0.406 (0.807), Data 0.116 (0.297), Loss 6.387 (6.750), Prec 4.69% (2.34%), s_pid_loss: 6.3871, t_un_loss: 9.8807
Epoch: [0][14/101], Time 0.460 (0.782), Data 0.106 (0.284), Loss 7.001 (6.768), Prec 5.47% (2.57%), s_pid_loss: 7.0010, t_un_loss: 9.8925
Epoch: [0][15/101], Time 0.390 (0.756), Data 0.112 (0.272), Loss 6.419 (6.745), Prec 7.03% (2.86%), s_pid_loss: 6.4187, t_un_loss: 9.9284
Epoch: [0][16/101], Time 0.393 (0.733), Data 0.116 (0.262), Loss 6.293 (6.717), Prec 7.03% (3.12%), s_pid_loss: 6.2933, t_un_loss: 9.9182
Epoch: [0][17/101], Time 0.394 (0.713), Data 0.116 (0.254), Loss 5.797 (6.663), Prec 15.62% (3.86%), s_pid_loss: 5.7970, t_un_loss: 9.9464
Epoch: [0][18/101], Time 0.428 (0.698), Data 0.116 (0.246), Loss 6.599 (6.659), Prec 8.59% (4.12%), s_pid_loss: 6.5985, t_un_loss: 9.9611
Epoch: [0][19/101], Time 0.407 (0.682), Data 0.104 (0.239), Loss 5.927 (6.620), Prec 9.38% (4.40%), s_pid_loss: 5.9270, t_un_loss: 10.0008
Epoch: [0][20/101], Time 0.415 (0.669), Data 0.116 (0.233), Loss 6.454 (6.612), Prec 10.16% (4.69%), s_pid_loss: 6.4541, t_un_loss: 10.0131
Epoch: [0][21/101], Time 0.394 (0.656), Data 0.116 (0.227), Loss 5.990 (6.582), Prec 9.38% (4.91%), s_pid_loss: 5.9897, t_un_loss: 10.0344
Epoch: [0][22/101], Time 0.441 (0.646), Data 0.116 (0.222), Loss 5.932 (6.553), Prec 14.06% (5.33%), s_pid_loss: 5.9324, t_un_loss: 10.0443
Epoch: [0][23/101], Time 0.394 (0.635), Data 0.116 (0.217), Loss 5.811 (6.521), Prec 17.19% (5.84%), s_pid_loss: 5.8105, t_un_loss: 10.0869
Epoch: [0][24/101], Time 0.440 (0.627), Data 0.116 (0.213), Loss 5.209 (6.466), Prec 14.84% (6.22%), s_pid_loss: 5.2092, t_un_loss: 10.1299
Epoch: [0][25/101], Time 0.411 (0.618), Data 0.116 (0.209), Loss 5.427 (6.424), Prec 13.28% (6.50%), s_pid_loss: 5.4269, t_un_loss: 10.1439
Epoch: [0][26/101], Time 0.439 (0.611), Data 0.117 (0.206), Loss 5.312 (6.382), Prec 19.53% (7.00%), s_pid_loss: 5.3121, t_un_loss: 10.1968
Epoch: [0][27/101], Time 0.394 (0.603), Data 0.116 (0.202), Loss 5.781 (6.359), Prec 14.84% (7.29%), s_pid_loss: 5.7814, t_un_loss: 10.1892
Epoch: [0][28/101], Time 0.444 (0.598), Data 0.116 (0.199), Loss 5.037 (6.312), Prec 18.75% (7.70%), s_pid_loss: 5.0373, t_un_loss: 10.2444
Epoch: [0][29/101], Time 0.406 (0.591), Data 0.116 (0.196), Loss 5.181 (6.273), Prec 18.75% (8.08%), s_pid_loss: 5.1814, t_un_loss: 10.2473
Epoch: [0][30/101], Time 0.395 (0.584), Data 0.117 (0.194), Loss 5.123 (6.235), Prec 21.88% (8.54%), s_pid_loss: 5.1234, t_un_loss: 10.2562
