log_dir= /home/sbvenkat/ECN/logs
Namespace(arch='resnet50', batch_size=128, camstyle_type='cyclegan', data_dir='/home/sbvenkat/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=0, include_mmd=1, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.3, lmd_ext=0.0, logs_dir='/home/sbvenkat/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='market', target='duke', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   751 |    12936
  target train    | 'Unknown' |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
lmd: 0.3 lmd_ext: 0.0 include_mmd: 1 include_coral: 0
Epoch: [0][1/101], Time 5.173 (5.173), Data 2.181 (2.181), Loss 7.551 (7.551), Prec 0.00% (0.00%), s_pid_loss: 6.6247, t_un_loss: 9.7125
Epoch: [0][2/101], Time 0.337 (2.755), Data 0.045 (1.113), Loss 7.557 (7.554), Prec 0.78% (0.39%), s_pid_loss: 6.6252, t_un_loss: 9.7295
Epoch: [0][3/101], Time 0.437 (1.982), Data 0.122 (0.783), Loss 7.707 (7.605), Prec 0.00% (0.26%), s_pid_loss: 6.8327, t_un_loss: 9.7481
Epoch: [0][4/101], Time 0.396 (1.586), Data 0.122 (0.618), Loss 7.510 (7.581), Prec 0.78% (0.39%), s_pid_loss: 6.5458, t_un_loss: 9.7607
Epoch: [0][5/101], Time 0.419 (1.353), Data 0.122 (0.519), Loss 7.575 (7.580), Prec 0.00% (0.31%), s_pid_loss: 6.6298, t_un_loss: 9.7789
Epoch: [0][6/101], Time 0.414 (1.196), Data 0.123 (0.453), Loss 7.512 (7.569), Prec 3.12% (0.78%), s_pid_loss: 6.5303, t_un_loss: 9.8028
Epoch: [0][7/101], Time 0.407 (1.083), Data 0.123 (0.405), Loss 7.523 (7.562), Prec 1.56% (0.89%), s_pid_loss: 6.5417, t_un_loss: 9.8122
Epoch: [0][8/101], Time 0.430 (1.002), Data 0.123 (0.370), Loss 7.688 (7.578), Prec 1.56% (0.98%), s_pid_loss: 6.7672, t_un_loss: 9.8350
Epoch: [0][9/101], Time 0.471 (0.943), Data 0.118 (0.342), Loss 7.598 (7.580), Prec 2.34% (1.13%), s_pid_loss: 6.6376, t_un_loss: 9.8377
Epoch: [0][10/101], Time 0.426 (0.891), Data 0.123 (0.320), Loss 7.528 (7.575), Prec 3.91% (1.41%), s_pid_loss: 6.5366, t_un_loss: 9.8397
Epoch: [0][11/101], Time 0.429 (0.849), Data 0.123 (0.302), Loss 7.713 (7.587), Prec 4.69% (1.70%), s_pid_loss: 6.7936, t_un_loss: 9.8598
