log_dir= /home/sbvenkat/ECN/logs
Namespace(arch='resnet50', batch_size=128, camstyle_type='stargan', data_dir='/home/sbvenkat/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=0, include_mmd=1, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.3, lmd_ext=0.33, logs_dir='/home/sbvenkat/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='market', target='duke', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   751 |    12936
  target train    | 'Unknown' |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
lmd: 0.3 lmd_ext: 0.33 include_mmd: 1 include_coral: 0
Epoch: [0][1/101], Time 5.798 (5.798), Data 2.400 (2.400), Loss 7.560 (7.560), Prec 0.00% (0.00%), s_pid_loss: 6.6195, t_un_loss: 9.7125
Epoch: [0][2/101], Time 0.472 (3.135), Data 0.065 (1.233), Loss 7.529 (7.545), Prec 0.00% (0.00%), s_pid_loss: 6.5682, t_un_loss: 9.7293
Epoch: [0][3/101], Time 0.561 (2.277), Data 0.137 (0.868), Loss 7.564 (7.551), Prec 1.56% (0.52%), s_pid_loss: 6.6089, t_un_loss: 9.7485
Epoch: [0][4/101], Time 0.557 (1.847), Data 0.136 (0.685), Loss 7.585 (7.560), Prec 2.34% (0.98%), s_pid_loss: 6.6335, t_un_loss: 9.7631
Epoch: [0][5/101], Time 0.545 (1.587), Data 0.137 (0.575), Loss 7.603 (7.568), Prec 3.12% (1.41%), s_pid_loss: 6.6524, t_un_loss: 9.7791
Epoch: [0][6/101], Time 0.565 (1.416), Data 0.137 (0.502), Loss 7.443 (7.548), Prec 3.91% (1.82%), s_pid_loss: 6.4142, t_un_loss: 9.8021
Epoch: [0][7/101], Time 0.563 (1.294), Data 0.137 (0.450), Loss 7.645 (7.562), Prec 3.91% (2.12%), s_pid_loss: 6.7016, t_un_loss: 9.8045
Epoch: [0][8/101], Time 0.544 (1.201), Data 0.136 (0.411), Loss 7.740 (7.584), Prec 2.34% (2.15%), s_pid_loss: 6.8290, t_un_loss: 9.8219
Epoch: [0][9/101], Time 0.555 (1.129), Data 0.137 (0.380), Loss 7.547 (7.580), Prec 2.34% (2.17%), s_pid_loss: 6.5474, t_un_loss: 9.8356
Epoch: [0][10/101], Time 0.579 (1.074), Data 0.137 (0.356), Loss 7.453 (7.567), Prec 5.47% (2.50%), s_pid_loss: 6.4094, t_un_loss: 9.8447
Epoch: [0][11/101], Time 0.552 (1.027), Data 0.137 (0.336), Loss 7.425 (7.554), Prec 5.47% (2.77%), s_pid_loss: 6.3621, t_un_loss: 9.8605
Epoch: [0][12/101], Time 0.551 (0.987), Data 0.137 (0.320), Loss 7.483 (7.548), Prec 2.34% (2.73%), s_pid_loss: 6.4495, t_un_loss: 9.8503
Epoch: [0][13/101], Time 0.569 (0.955), Data 0.138 (0.306), Loss 7.253 (7.525), Prec 5.47% (2.94%), s_pid_loss: 6.1105, t_un_loss: 9.8758
Epoch: [0][14/101], Time 0.562 (0.927), Data 0.137 (0.294), Loss 7.315 (7.510), Prec 7.03% (3.24%), s_pid_loss: 6.1946, t_un_loss: 9.8863
Epoch: [0][15/101], Time 0.574 (0.903), Data 0.138 (0.283), Loss 7.294 (7.496), Prec 7.03% (3.49%), s_pid_loss: 6.1568, t_un_loss: 9.9054
Epoch: [0][16/101], Time 0.554 (0.881), Data 0.137 (0.274), Loss 7.297 (7.484), Prec 10.16% (3.91%), s_pid_loss: 6.1622, t_un_loss: 9.9037
Epoch: [0][17/101], Time 0.551 (0.862), Data 0.137 (0.266), Loss 6.950 (7.452), Prec 13.28% (4.46%), s_pid_loss: 5.6607, t_un_loss: 9.9157
Epoch: [0][18/101], Time 0.553 (0.845), Data 0.138 (0.259), Loss 6.801 (7.416), Prec 11.72% (4.86%), s_pid_loss: 5.4402, t_un_loss: 9.9343
Epoch: [0][19/101], Time 0.549 (0.829), Data 0.137 (0.253), Loss 7.088 (7.399), Prec 10.16% (5.14%), s_pid_loss: 5.8421, t_un_loss: 9.9524
Epoch: [0][20/101], Time 0.564 (0.816), Data 0.137 (0.247), Loss 7.162 (7.387), Prec 11.72% (5.47%), s_pid_loss: 5.9497, t_un_loss: 9.9490
Epoch: [0][21/101], Time 0.562 (0.804), Data 0.137 (0.242), Loss 7.191 (7.378), Prec 9.38% (5.65%), s_pid_loss: 5.9791, t_un_loss: 9.9749
Epoch: [0][22/101], Time 0.567 (0.793), Data 0.137 (0.237), Loss 7.021 (7.361), Prec 10.94% (5.89%), s_pid_loss: 5.7351, t_un_loss: 9.9796
Epoch: [0][23/101], Time 0.554 (0.783), Data 0.138 (0.232), Loss 6.768 (7.336), Prec 14.84% (6.28%), s_pid_loss: 5.3672, t_un_loss: 9.9931
Epoch: [0][24/101], Time 0.567 (0.774), Data 0.138 (0.228), Loss 7.072 (7.325), Prec 14.06% (6.61%), s_pid_loss: 5.7902, t_un_loss: 10.0191
Epoch: [0][25/101], Time 0.549 (0.765), Data 0.137 (0.225), Loss 6.847 (7.306), Prec 15.62% (6.97%), s_pid_loss: 5.4573, t_un_loss: 10.0455
Epoch: [0][26/101], Time 0.566 (0.757), Data 0.138 (0.221), Loss 6.817 (7.287), Prec 14.06% (7.24%), s_pid_loss: 5.4189, t_un_loss: 10.0358
Epoch: [0][27/101], Time 0.561 (0.750), Data 0.137 (0.218), Loss 6.492 (7.257), Prec 17.97% (7.64%), s_pid_loss: 4.9389, t_un_loss: 10.0716
Epoch: [0][28/101], Time 0.551 (0.743), Data 0.137 (0.215), Loss 6.375 (7.226), Prec 21.09% (8.12%), s_pid_loss: 4.7609, t_un_loss: 10.0978
Epoch: [0][29/101], Time 0.549 (0.736), Data 0.138 (0.213), Loss 6.071 (7.186), Prec 25.00% (8.70%), s_pid_loss: 4.3185, t_un_loss: 10.1165
Epoch: [0][30/101], Time 0.549 (0.730), Data 0.137 (0.210), Loss 6.451 (7.161), Prec 18.75% (9.04%), s_pid_loss: 4.8502, t_un_loss: 10.1436
Epoch: [0][31/101], Time 0.564 (0.724), Data 0.137 (0.208), Loss 6.672 (7.146), Prec 17.19% (9.30%), s_pid_loss: 5.1779, t_un_loss: 10.1149
Epoch: [0][32/101], Time 0.558 (0.719), Data 0.137 (0.206), Loss 6.313 (7.120), Prec 17.97% (9.57%), s_pid_loss: 4.6572, t_un_loss: 10.1338
Epoch: [0][33/101], Time 0.588 (0.715), Data 0.151 (0.204), Loss 6.250 (7.093), Prec 25.78% (10.06%), s_pid_loss: 4.5563, t_un_loss: 10.1597
Epoch: [0][34/101], Time 0.573 (0.711), Data 0.138 (0.202), Loss 6.077 (7.063), Prec 22.66% (10.43%), s_pid_loss: 4.3097, t_un_loss: 10.1586
Epoch: [0][35/101], Time 0.557 (0.707), Data 0.145 (0.200), Loss 6.092 (7.036), Prec 24.22% (10.83%), s_pid_loss: 4.3216, t_un_loss: 10.1794
Epoch: [0][36/101], Time 0.579 (0.703), Data 0.138 (0.199), Loss 5.889 (7.004), Prec 28.91% (11.33%), s_pid_loss: 4.0212, t_un_loss: 10.2046
Epoch: [0][37/101], Time 0.559 (0.699), Data 0.138 (0.197), Loss 6.062 (6.978), Prec 26.56% (11.74%), s_pid_loss: 4.2564, t_un_loss: 10.2311
Epoch: [0][38/101], Time 0.555 (0.695), Data 0.138 (0.196), Loss 6.138 (6.956), Prec 21.88% (12.01%), s_pid_loss: 4.3634, t_un_loss: 10.2359
Epoch: [0][39/101], Time 0.555 (0.692), Data 0.138 (0.194), Loss 6.039 (6.933), Prec 28.12% (12.42%), s_pid_loss: 4.2295, t_un_loss: 10.2177
Epoch: [0][40/101], Time 0.551 (0.688), Data 0.132 (0.192), Loss 5.759 (6.903), Prec 26.56% (12.77%), s_pid_loss: 3.8119, t_un_loss: 10.2564
Epoch: [0][41/101], Time 0.586 (0.686), Data 0.138 (0.191), Loss 5.596 (6.872), Prec 30.47% (13.21%), s_pid_loss: 3.5595, t_un_loss: 10.3035
Epoch: [0][42/101], Time 0.564 (0.683), Data 0.137 (0.190), Loss 6.032 (6.852), Prec 24.22% (13.47%), s_pid_loss: 4.1844, t_un_loss: 10.2989
Epoch: [0][43/101], Time 0.548 (0.680), Data 0.137 (0.189), Loss 5.729 (6.825), Prec 28.91% (13.83%), s_pid_loss: 3.7530, t_un_loss: 10.2972
Epoch: [0][44/101], Time 0.548 (0.677), Data 0.137 (0.187), Loss 5.866 (6.804), Prec 31.25% (14.22%), s_pid_loss: 3.9413, t_un_loss: 10.3141
Epoch: [0][45/101], Time 0.579 (0.675), Data 0.138 (0.186), Loss 5.748 (6.780), Prec 27.34% (14.51%), s_pid_loss: 3.7749, t_un_loss: 10.3074
Epoch: [0][46/101], Time 0.549 (0.672), Data 0.137 (0.185), Loss 5.790 (6.759), Prec 32.81% (14.91%), s_pid_loss: 3.8151, t_un_loss: 10.3551
Epoch: [0][47/101], Time 0.560 (0.669), Data 0.138 (0.184), Loss 5.596 (6.734), Prec 32.81% (15.29%), s_pid_loss: 3.5262, t_un_loss: 10.3824
Epoch: [0][48/101], Time 0.559 (0.667), Data 0.137 (0.183), Loss 5.684 (6.712), Prec 33.59% (15.67%), s_pid_loss: 3.6667, t_un_loss: 10.3472
Epoch: [0][49/101], Time 0.544 (0.665), Data 0.137 (0.182), Loss 5.918 (6.696), Prec 27.34% (15.91%), s_pid_loss: 3.9829, t_un_loss: 10.3884
Epoch: [0][50/101], Time 0.549 (0.662), Data 0.138 (0.181), Loss 5.862 (6.679), Prec 34.38% (16.28%), s_pid_loss: 3.9134, t_un_loss: 10.3646
Epoch: [0][51/101], Time 0.561 (0.660), Data 0.138 (0.181), Loss 5.651 (6.659), Prec 33.59% (16.62%), s_pid_loss: 3.6012, t_un_loss: 10.3889
Epoch: [0][52/101], Time 0.561 (0.658), Data 0.137 (0.180), Loss 5.601 (6.639), Prec 30.47% (16.89%), s_pid_loss: 3.5158, t_un_loss: 10.4209
Epoch: [0][53/101], Time 0.586 (0.657), Data 0.138 (0.179), Loss 5.569 (6.618), Prec 31.25% (17.16%), s_pid_loss: 3.4653, t_un_loss: 10.4354
Epoch: [0][54/101], Time 0.550 (0.655), Data 0.134 (0.178), Loss 5.698 (6.601), Prec 34.38% (17.48%), s_pid_loss: 3.6564, t_un_loss: 10.4189
Epoch: [0][55/101], Time 0.559 (0.653), Data 0.137 (0.177), Loss 5.619 (6.584), Prec 33.59% (17.77%), s_pid_loss: 3.5407, t_un_loss: 10.4233
Epoch: [0][56/101], Time 0.550 (0.651), Data 0.137 (0.177), Loss 5.500 (6.564), Prec 37.50% (18.12%), s_pid_loss: 3.3508, t_un_loss: 10.4693
Epoch: [0][57/101], Time 0.552 (0.650), Data 0.138 (0.176), Loss 5.288 (6.542), Prec 39.84% (18.50%), s_pid_loss: 3.0606, t_un_loss: 10.4423
Epoch: [0][58/101], Time 0.563 (0.648), Data 0.137 (0.175), Loss 5.406 (6.522), Prec 41.41% (18.90%), s_pid_loss: 3.2226, t_un_loss: 10.4574
Epoch: [0][59/101], Time 0.573 (0.647), Data 0.137 (0.175), Loss 5.791 (6.510), Prec 36.72% (19.20%), s_pid_loss: 3.7636, t_un_loss: 10.4773
Epoch: [0][60/101], Time 0.565 (0.646), Data 0.138 (0.174), Loss 5.771 (6.497), Prec 28.12% (19.35%), s_pid_loss: 3.7514, t_un_loss: 10.4398
Epoch: [0][61/101], Time 0.547 (0.644), Data 0.138 (0.173), Loss 5.372 (6.479), Prec 44.53% (19.76%), s_pid_loss: 3.1799, t_un_loss: 10.4437
Epoch: [0][62/101], Time 0.579 (0.643), Data 0.137 (0.173), Loss 5.289 (6.460), Prec 41.41% (20.11%), s_pid_loss: 3.0434, t_un_loss: 10.4867
Epoch: [0][63/101], Time 0.552 (0.641), Data 0.138 (0.172), Loss 5.046 (6.437), Prec 42.97% (20.47%), s_pid_loss: 2.6979, t_un_loss: 10.4794
Epoch: [0][64/101], Time 0.581 (0.641), Data 0.138 (0.172), Loss 5.294 (6.420), Prec 41.41% (20.80%), s_pid_loss: 3.0359, t_un_loss: 10.5199
Epoch: [0][65/101], Time 0.587 (0.640), Data 0.138 (0.171), Loss 5.317 (6.403), Prec 37.50% (21.06%), s_pid_loss: 3.0616, t_un_loss: 10.5339
Epoch: [0][66/101], Time 0.551 (0.638), Data 0.138 (0.171), Loss 4.802 (6.378), Prec 48.44% (21.47%), s_pid_loss: 2.3496, t_un_loss: 10.4799
Epoch: [0][67/101], Time 0.559 (0.637), Data 0.138 (0.170), Loss 5.099 (6.359), Prec 48.44% (21.88%), s_pid_loss: 2.7437, t_un_loss: 10.5512
Epoch: [0][68/101], Time 0.558 (0.636), Data 0.132 (0.170), Loss 5.659 (6.349), Prec 38.28% (22.12%), s_pid_loss: 3.5608, t_un_loss: 10.5126
Epoch: [0][69/101], Time 0.540 (0.635), Data 0.138 (0.169), Loss 5.124 (6.331), Prec 46.09% (22.46%), s_pid_loss: 2.7860, t_un_loss: 10.5358
Epoch: [0][70/101], Time 0.552 (0.633), Data 0.138 (0.169), Loss 5.155 (6.314), Prec 46.09% (22.80%), s_pid_loss: 2.8101, t_un_loss: 10.5814
Epoch: [0][71/101], Time 0.549 (0.632), Data 0.138 (0.168), Loss 5.156 (6.298), Prec 45.31% (23.12%), s_pid_loss: 2.8028, t_un_loss: 10.6040
Epoch: [0][72/101], Time 0.582 (0.632), Data 0.138 (0.168), Loss 4.904 (6.279), Prec 48.44% (23.47%), s_pid_loss: 2.4569, t_un_loss: 10.5696
Epoch: [0][73/101], Time 0.548 (0.630), Data 0.138 (0.168), Loss 4.888 (6.260), Prec 46.88% (23.79%), s_pid_loss: 2.3997, t_un_loss: 10.6520
Epoch: [0][74/101], Time 0.578 (0.630), Data 0.138 (0.167), Loss 5.185 (6.245), Prec 42.97% (24.05%), s_pid_loss: 2.8495, t_un_loss: 10.5916
Epoch: [0][75/101], Time 0.556 (0.629), Data 0.137 (0.167), Loss 4.929 (6.228), Prec 54.69% (24.46%), s_pid_loss: 2.4643, t_un_loss: 10.6347
Epoch: [0][76/101], Time 0.549 (0.628), Data 0.138 (0.166), Loss 4.634 (6.207), Prec 52.34% (24.83%), s_pid_loss: 2.0606, t_un_loss: 10.5962
Epoch: [0][77/101], Time 0.547 (0.627), Data 0.138 (0.166), Loss 5.402 (6.196), Prec 43.75% (25.07%), s_pid_loss: 3.1349, t_un_loss: 10.6496
Epoch: [0][78/101], Time 0.551 (0.626), Data 0.137 (0.166), Loss 4.761 (6.178), Prec 51.56% (25.41%), s_pid_loss: 2.2342, t_un_loss: 10.6146
Epoch: [0][79/101], Time 0.548 (0.625), Data 0.138 (0.165), Loss 5.051 (6.164), Prec 46.88% (25.68%), s_pid_loss: 2.6357, t_un_loss: 10.6445
Epoch: [0][80/101], Time 0.570 (0.624), Data 0.138 (0.165), Loss 4.925 (6.148), Prec 53.12% (26.03%), s_pid_loss: 2.4443, t_un_loss: 10.6688
Epoch: [0][81/101], Time 0.570 (0.623), Data 0.138 (0.165), Loss 4.783 (6.131), Prec 53.12% (26.36%), s_pid_loss: 2.2432, t_un_loss: 10.6633
Epoch: [0][82/101], Time 0.541 (0.622), Data 0.137 (0.164), Loss 5.202 (6.120), Prec 46.88% (26.61%), s_pid_loss: 2.8577, t_un_loss: 10.6268
Epoch: [0][83/101], Time 0.555 (0.621), Data 0.138 (0.164), Loss 4.790 (6.104), Prec 47.66% (26.86%), s_pid_loss: 2.2681, t_un_loss: 10.6311
Epoch: [0][84/101], Time 0.582 (0.621), Data 0.138 (0.164), Loss 4.556 (6.085), Prec 60.94% (27.27%), s_pid_loss: 1.9248, t_un_loss: 10.6504
Epoch: [0][85/101], Time 0.549 (0.620), Data 0.126 (0.163), Loss 5.017 (6.073), Prec 40.62% (27.43%), s_pid_loss: 2.5743, t_un_loss: 10.6743
Epoch: [0][86/101], Time 0.565 (0.620), Data 0.139 (0.163), Loss 4.404 (6.053), Prec 64.84% (27.86%), s_pid_loss: 1.7204, t_un_loss: 10.6231
Epoch: [0][87/101], Time 0.553 (0.619), Data 0.138 (0.163), Loss 4.946 (6.041), Prec 46.88% (28.08%), s_pid_loss: 2.4663, t_un_loss: 10.6887
Epoch: [0][88/101], Time 0.557 (0.618), Data 0.137 (0.162), Loss 4.830 (6.027), Prec 50.00% (28.33%), s_pid_loss: 2.3097, t_un_loss: 10.6654
Epoch: [0][89/101], Time 0.561 (0.617), Data 0.138 (0.162), Loss 4.605 (6.011), Prec 57.81% (28.66%), s_pid_loss: 1.9880, t_un_loss: 10.6691
Epoch: [0][90/101], Time 0.559 (0.617), Data 0.138 (0.162), Loss 4.669 (5.996), Prec 55.47% (28.96%), s_pid_loss: 2.0542, t_un_loss: 10.7276
Epoch: [0][91/101], Time 0.549 (0.616), Data 0.138 (0.162), Loss 4.777 (5.983), Prec 55.47% (29.25%), s_pid_loss: 2.2171, t_un_loss: 10.7066
Epoch: [0][92/101], Time 0.551 (0.615), Data 0.137 (0.161), Loss 5.014 (5.972), Prec 52.34% (29.50%), s_pid_loss: 2.5566, t_un_loss: 10.7045
Epoch: [0][93/101], Time 0.547 (0.615), Data 0.138 (0.161), Loss 4.452 (5.956), Prec 55.47% (29.78%), s_pid_loss: 1.7494, t_un_loss: 10.7140
Epoch: [0][94/101], Time 0.547 (0.614), Data 0.137 (0.161), Loss 4.875 (5.944), Prec 53.12% (30.03%), s_pid_loss: 2.3639, t_un_loss: 10.6907
Epoch: [0][95/101], Time 0.545 (0.613), Data 0.138 (0.160), Loss 4.761 (5.932), Prec 51.56% (30.25%), s_pid_loss: 2.1843, t_un_loss: 10.7307
Epoch: [0][96/101], Time 0.564 (0.613), Data 0.138 (0.160), Loss 4.868 (5.921), Prec 46.88% (30.43%), s_pid_loss: 2.3437, t_un_loss: 10.7134
Epoch: [0][97/101], Time 0.564 (0.612), Data 0.138 (0.160), Loss 4.737 (5.909), Prec 51.56% (30.65%), s_pid_loss: 2.1579, t_un_loss: 10.7105
Epoch: [0][98/101], Time 0.555 (0.612), Data 0.138 (0.160), Loss 4.848 (5.898), Prec 48.44% (30.83%), s_pid_loss: 2.3139, t_un_loss: 10.7165
