log_dir= /home/ssreekri/ECN/logs
Namespace(arch='resnet50', batch_size=128, data_dir='/home/ssreekri/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=1, include_mmd=0, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.0, lmd_ext=1.0, logs_dir='/home/ssreekri/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='duke', target='market', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   702 |    16522
  target train    | 'Unknown' |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
lmd: 0.0 lmd_ext: 1.0 include_mmd: 0 include_coral: 1
Epoch: [0][1/129], Time 5.688 (5.688), Data 1.755 (1.755), Loss 6.551 (6.551), Prec 0.00% (0.00%), s_pid_loss: 6.5505, t_un_loss: 9.4678
Epoch: [0][2/129], Time 0.437 (3.062), Data 0.070 (0.912), Loss 6.433 (6.492), Prec 3.91% (1.95%), s_pid_loss: 6.4326, t_un_loss: 9.4905
Epoch: [0][3/129], Time 0.485 (2.203), Data 0.132 (0.652), Loss 7.576 (6.853), Prec 0.00% (1.30%), s_pid_loss: 7.5762, t_un_loss: 9.5168
Epoch: [0][4/129], Time 0.499 (1.777), Data 0.131 (0.522), Loss 7.388 (6.987), Prec 0.78% (1.17%), s_pid_loss: 7.3877, t_un_loss: 9.5488
Epoch: [0][5/129], Time 0.489 (1.520), Data 0.132 (0.444), Loss 8.891 (7.368), Prec 1.56% (1.25%), s_pid_loss: 8.8914, t_un_loss: 9.5591
Epoch: [0][6/129], Time 0.498 (1.349), Data 0.132 (0.392), Loss 9.054 (7.649), Prec 4.69% (1.82%), s_pid_loss: 9.0539, t_un_loss: 9.5883
Epoch: [0][7/129], Time 0.491 (1.227), Data 0.132 (0.355), Loss 8.197 (7.727), Prec 3.12% (2.01%), s_pid_loss: 8.1967, t_un_loss: 9.6094
Epoch: [0][8/129], Time 0.504 (1.136), Data 0.132 (0.327), Loss 10.199 (8.036), Prec 2.34% (2.05%), s_pid_loss: 10.1991, t_un_loss: 9.6557
Epoch: [0][9/129], Time 0.494 (1.065), Data 0.132 (0.305), Loss 7.982 (8.030), Prec 4.69% (2.34%), s_pid_loss: 7.9820, t_un_loss: 9.6641
Epoch: [0][10/129], Time 0.492 (1.008), Data 0.132 (0.288), Loss 7.172 (7.944), Prec 5.47% (2.66%), s_pid_loss: 7.1720, t_un_loss: 9.7968
Epoch: [0][11/129], Time 0.504 (0.962), Data 0.132 (0.274), Loss 8.232 (7.970), Prec 1.56% (2.56%), s_pid_loss: 8.2316, t_un_loss: 10.0548
Epoch: [0][12/129], Time 0.493 (0.923), Data 0.132 (0.262), Loss 7.650 (7.944), Prec 3.12% (2.60%), s_pid_loss: 7.6500, t_un_loss: 10.2040
Epoch: [0][13/129], Time 0.491 (0.890), Data 0.132 (0.252), Loss 7.975 (7.946), Prec 3.91% (2.70%), s_pid_loss: 7.9749, t_un_loss: 10.3943
Epoch: [0][14/129], Time 0.501 (0.862), Data 0.132 (0.243), Loss 8.191 (7.964), Prec 5.47% (2.90%), s_pid_loss: 8.1912, t_un_loss: 10.5223
Epoch: [0][15/129], Time 0.493 (0.837), Data 0.132 (0.236), Loss 7.342 (7.922), Prec 6.25% (3.12%), s_pid_loss: 7.3418, t_un_loss: 10.6681
Epoch: [0][16/129], Time 0.499 (0.816), Data 0.132 (0.230), Loss 10.442 (8.080), Prec 9.38% (3.52%), s_pid_loss: 10.4421, t_un_loss: 10.6267
Epoch: [0][17/129], Time 0.479 (0.796), Data 0.132 (0.224), Loss 7.540 (8.048), Prec 10.94% (3.95%), s_pid_loss: 7.5402, t_un_loss: 10.9413
Epoch: [0][18/129], Time 0.489 (0.779), Data 0.132 (0.219), Loss 8.180 (8.055), Prec 7.81% (4.17%), s_pid_loss: 8.1795, t_un_loss: 10.8805
Epoch: [0][19/129], Time 0.488 (0.764), Data 0.133 (0.214), Loss 9.553 (8.134), Prec 7.81% (4.36%), s_pid_loss: 9.5531, t_un_loss: 11.0305
Epoch: [0][20/129], Time 0.491 (0.750), Data 0.132 (0.210), Loss 9.177 (8.186), Prec 5.47% (4.41%), s_pid_loss: 9.1771, t_un_loss: 11.2037
Epoch: [0][21/129], Time 0.497 (0.738), Data 0.132 (0.206), Loss 8.047 (8.180), Prec 7.81% (4.58%), s_pid_loss: 8.0475, t_un_loss: 11.0847
Epoch: [0][22/129], Time 0.491 (0.727), Data 0.132 (0.203), Loss 8.392 (8.189), Prec 10.16% (4.83%), s_pid_loss: 8.3922, t_un_loss: 11.3063
Epoch: [0][23/129], Time 0.486 (0.716), Data 0.132 (0.200), Loss 8.099 (8.185), Prec 7.81% (4.96%), s_pid_loss: 8.0990, t_un_loss: 11.1455
Epoch: [0][24/129], Time 0.492 (0.707), Data 0.132 (0.197), Loss 7.956 (8.176), Prec 7.03% (5.05%), s_pid_loss: 7.9563, t_un_loss: 11.2549
Epoch: [0][25/129], Time 0.492 (0.699), Data 0.132 (0.194), Loss 8.541 (8.190), Prec 4.69% (5.03%), s_pid_loss: 8.5411, t_un_loss: 11.1849
Epoch: [0][26/129], Time 0.495 (0.691), Data 0.132 (0.192), Loss 7.549 (8.166), Prec 10.94% (5.26%), s_pid_loss: 7.5493, t_un_loss: 11.2887
Epoch: [0][27/129], Time 0.497 (0.684), Data 0.126 (0.190), Loss 8.856 (8.191), Prec 12.50% (5.53%), s_pid_loss: 8.8555, t_un_loss: 11.4686
Epoch: [0][28/129], Time 0.487 (0.677), Data 0.132 (0.188), Loss 7.940 (8.182), Prec 8.59% (5.64%), s_pid_loss: 7.9401, t_un_loss: 11.6700
Epoch: [0][29/129], Time 0.495 (0.670), Data 0.132 (0.186), Loss 9.516 (8.228), Prec 6.25% (5.66%), s_pid_loss: 9.5162, t_un_loss: 11.7732
Epoch: [0][30/129], Time 0.485 (0.664), Data 0.127 (0.184), Loss 7.294 (8.197), Prec 14.06% (5.94%), s_pid_loss: 7.2937, t_un_loss: 12.0640
Epoch: [0][31/129], Time 0.486 (0.658), Data 0.133 (0.182), Loss 7.017 (8.159), Prec 11.72% (6.12%), s_pid_loss: 7.0167, t_un_loss: 12.1897
Epoch: [0][32/129], Time 0.490 (0.653), Data 0.132 (0.181), Loss 7.999 (8.154), Prec 12.50% (6.32%), s_pid_loss: 7.9988, t_un_loss: 11.9561
Epoch: [0][33/129], Time 0.486 (0.648), Data 0.132 (0.179), Loss 7.700 (8.140), Prec 16.41% (6.63%), s_pid_loss: 7.7002, t_un_loss: 12.2438
Epoch: [0][34/129], Time 0.488 (0.643), Data 0.132 (0.178), Loss 7.696 (8.127), Prec 10.94% (6.76%), s_pid_loss: 7.6962, t_un_loss: 12.7274
Epoch: [0][35/129], Time 0.486 (0.639), Data 0.128 (0.176), Loss 6.419 (8.078), Prec 10.16% (6.85%), s_pid_loss: 6.4190, t_un_loss: 12.0266
Epoch: [0][36/129], Time 0.488 (0.635), Data 0.132 (0.175), Loss 7.239 (8.055), Prec 6.25% (6.84%), s_pid_loss: 7.2386, t_un_loss: 12.5043
Epoch: [0][37/129], Time 0.497 (0.631), Data 0.132 (0.174), Loss 7.269 (8.034), Prec 7.03% (6.84%), s_pid_loss: 7.2689, t_un_loss: 12.8894
Epoch: [0][38/129], Time 0.480 (0.627), Data 0.124 (0.173), Loss 6.937 (8.005), Prec 8.59% (6.89%), s_pid_loss: 6.9373, t_un_loss: 12.8948
Epoch: [0][39/129], Time 0.488 (0.623), Data 0.133 (0.172), Loss 7.221 (7.985), Prec 13.28% (7.05%), s_pid_loss: 7.2212, t_un_loss: 13.0501
