log_dir= /home/ssreekri/ECN/logs
Namespace(arch='resnet50', batch_size=128, data_dir='/home/ssreekri/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=1, include_mmd=0, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.3, lmd_ext=1.0, logs_dir='/home/ssreekri/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='duke', target='market', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   702 |    16522
  target train    | 'Unknown' |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
lmd: 0.3 lmd_ext: 1.0 include_mmd: 0 include_coral: 1
Epoch: [0][1/129], Time 5.986 (5.986), Data 2.028 (2.028), Loss 7.432 (7.432), Prec 0.00% (0.00%), s_pid_loss: 6.5599, t_un_loss: 9.4678
Epoch: [0][2/129], Time 0.417 (3.202), Data 0.064 (1.046), Loss 7.468 (7.450), Prec 1.56% (0.78%), s_pid_loss: 6.6008, t_un_loss: 9.4905
Epoch: [0][3/129], Time 0.495 (2.300), Data 0.132 (0.741), Loss 7.339 (7.413), Prec 3.12% (1.56%), s_pid_loss: 6.4058, t_un_loss: 9.5154
Epoch: [0][4/129], Time 0.478 (1.844), Data 0.124 (0.587), Loss 8.342 (7.645), Prec 2.34% (1.76%), s_pid_loss: 7.8257, t_un_loss: 9.5472
Epoch: [0][5/129], Time 0.485 (1.572), Data 0.132 (0.496), Loss 8.607 (7.838), Prec 3.12% (2.03%), s_pid_loss: 8.1988, t_un_loss: 9.5595
Epoch: [0][6/129], Time 0.488 (1.392), Data 0.132 (0.435), Loss 7.668 (7.809), Prec 3.91% (2.34%), s_pid_loss: 6.8455, t_un_loss: 9.5865
Epoch: [0][7/129], Time 0.494 (1.264), Data 0.132 (0.392), Loss 9.103 (7.994), Prec 6.25% (2.90%), s_pid_loss: 8.8903, t_un_loss: 9.5998
Epoch: [0][8/129], Time 0.478 (1.165), Data 0.125 (0.359), Loss 9.006 (8.121), Prec 0.78% (2.64%), s_pid_loss: 8.7485, t_un_loss: 9.6069
Epoch: [0][9/129], Time 0.490 (1.090), Data 0.132 (0.333), Loss 9.419 (8.265), Prec 6.25% (3.04%), s_pid_loss: 9.3328, t_un_loss: 9.6192
Epoch: [0][10/129], Time 0.485 (1.030), Data 0.131 (0.313), Loss 9.855 (8.424), Prec 6.25% (3.36%), s_pid_loss: 9.9393, t_un_loss: 9.6579
Epoch: [0][11/129], Time 0.491 (0.981), Data 0.132 (0.297), Loss 8.207 (8.404), Prec 9.38% (3.91%), s_pid_loss: 7.5937, t_un_loss: 9.6394
Epoch: [0][12/129], Time 0.486 (0.940), Data 0.132 (0.283), Loss 8.061 (8.376), Prec 5.47% (4.04%), s_pid_loss: 7.3729, t_un_loss: 9.6650
Epoch: [0][13/129], Time 0.486 (0.905), Data 0.132 (0.271), Loss 8.016 (8.348), Prec 9.38% (4.45%), s_pid_loss: 7.2794, t_un_loss: 9.7342
Epoch: [0][14/129], Time 0.499 (0.876), Data 0.131 (0.261), Loss 7.765 (8.306), Prec 6.25% (4.58%), s_pid_loss: 6.8322, t_un_loss: 9.9404
Epoch: [0][15/129], Time 0.497 (0.850), Data 0.132 (0.253), Loss 7.773 (8.271), Prec 11.72% (5.05%), s_pid_loss: 6.7135, t_un_loss: 10.2455
Epoch: [0][16/129], Time 0.482 (0.827), Data 0.124 (0.245), Loss 8.556 (8.288), Prec 4.69% (5.03%), s_pid_loss: 7.7294, t_un_loss: 10.4840
Epoch: [0][17/129], Time 0.495 (0.808), Data 0.132 (0.238), Loss 8.295 (8.289), Prec 3.91% (4.96%), s_pid_loss: 7.2839, t_un_loss: 10.6556
Epoch: [0][18/129], Time 0.482 (0.790), Data 0.127 (0.232), Loss 8.130 (8.280), Prec 3.91% (4.90%), s_pid_loss: 7.1229, t_un_loss: 10.4805
Epoch: [0][19/129], Time 0.491 (0.774), Data 0.132 (0.227), Loss 7.875 (8.259), Prec 14.06% (5.39%), s_pid_loss: 6.7366, t_un_loss: 10.5306
Epoch: [0][20/129], Time 0.496 (0.760), Data 0.132 (0.222), Loss 8.558 (8.274), Prec 9.38% (5.59%), s_pid_loss: 7.8062, t_un_loss: 10.3125
Epoch: [0][21/129], Time 0.483 (0.747), Data 0.126 (0.217), Loss 8.241 (8.272), Prec 9.38% (5.77%), s_pid_loss: 7.3986, t_un_loss: 10.2072
Epoch: [0][22/129], Time 0.491 (0.735), Data 0.132 (0.213), Loss 8.142 (8.266), Prec 7.03% (5.82%), s_pid_loss: 7.2684, t_un_loss: 10.1804
Epoch: [0][23/129], Time 0.502 (0.725), Data 0.132 (0.210), Loss 7.766 (8.245), Prec 10.94% (6.05%), s_pid_loss: 6.6667, t_un_loss: 10.3323
Epoch: [0][24/129], Time 0.486 (0.715), Data 0.132 (0.207), Loss 7.540 (8.215), Prec 7.81% (6.12%), s_pid_loss: 6.3563, t_un_loss: 10.3008
Epoch: [0][25/129], Time 0.493 (0.706), Data 0.132 (0.204), Loss 7.841 (8.200), Prec 15.62% (6.50%), s_pid_loss: 6.7771, t_un_loss: 10.3248
Epoch: [0][26/129], Time 0.496 (0.698), Data 0.131 (0.201), Loss 7.982 (8.192), Prec 14.06% (6.79%), s_pid_loss: 6.9310, t_un_loss: 10.4341
Epoch: [0][27/129], Time 0.491 (0.691), Data 0.132 (0.198), Loss 7.946 (8.183), Prec 12.50% (7.00%), s_pid_loss: 6.9156, t_un_loss: 10.3496
Epoch: [0][28/129], Time 0.492 (0.683), Data 0.132 (0.196), Loss 7.395 (8.155), Prec 9.38% (7.09%), s_pid_loss: 6.1026, t_un_loss: 10.4122
Epoch: [0][29/129], Time 0.481 (0.676), Data 0.133 (0.194), Loss 7.815 (8.143), Prec 14.84% (7.35%), s_pid_loss: 6.7402, t_un_loss: 10.3231
Epoch: [0][30/129], Time 0.486 (0.670), Data 0.132 (0.192), Loss 7.886 (8.134), Prec 16.41% (7.66%), s_pid_loss: 6.7738, t_un_loss: 10.4822
Epoch: [0][31/129], Time 0.491 (0.664), Data 0.132 (0.190), Loss 7.567 (8.116), Prec 12.50% (7.81%), s_pid_loss: 6.3503, t_un_loss: 10.4057
Epoch: [0][32/129], Time 0.487 (0.659), Data 0.133 (0.188), Loss 7.881 (8.109), Prec 10.16% (7.89%), s_pid_loss: 6.7712, t_un_loss: 10.4697
Epoch: [0][33/129], Time 0.490 (0.654), Data 0.133 (0.186), Loss 7.333 (8.085), Prec 15.62% (8.12%), s_pid_loss: 6.0014, t_un_loss: 10.4388
Epoch: [0][34/129], Time 0.491 (0.649), Data 0.132 (0.185), Loss 7.608 (8.071), Prec 14.84% (8.32%), s_pid_loss: 6.3903, t_un_loss: 10.4485
Epoch: [0][35/129], Time 0.491 (0.644), Data 0.132 (0.183), Loss 7.605 (8.058), Prec 10.94% (8.39%), s_pid_loss: 6.3439, t_un_loss: 10.5484
Epoch: [0][36/129], Time 0.491 (0.640), Data 0.133 (0.182), Loss 7.256 (8.036), Prec 19.53% (8.70%), s_pid_loss: 5.8775, t_un_loss: 10.4734
Epoch: [0][37/129], Time 0.490 (0.636), Data 0.132 (0.181), Loss 6.463 (7.993), Prec 25.00% (9.14%), s_pid_loss: 4.7195, t_un_loss: 10.5321
Epoch: [0][38/129], Time 0.492 (0.632), Data 0.133 (0.179), Loss 6.852 (7.963), Prec 19.53% (9.42%), s_pid_loss: 5.3216, t_un_loss: 10.4242
Epoch: [0][39/129], Time 0.478 (0.628), Data 0.132 (0.178), Loss 6.689 (7.930), Prec 21.09% (9.72%), s_pid_loss: 5.0829, t_un_loss: 10.4359
Epoch: [0][40/129], Time 0.491 (0.625), Data 0.132 (0.177), Loss 6.374 (7.891), Prec 25.78% (10.12%), s_pid_loss: 4.6265, t_un_loss: 10.4514
Epoch: [0][41/129], Time 0.492 (0.622), Data 0.133 (0.176), Loss 6.650 (7.861), Prec 23.44% (10.44%), s_pid_loss: 5.0542, t_un_loss: 10.3729
Epoch: [0][42/129], Time 0.499 (0.619), Data 0.136 (0.175), Loss 6.745 (7.835), Prec 23.44% (10.75%), s_pid_loss: 5.1640, t_un_loss: 10.4337
Epoch: [0][43/129], Time 0.495 (0.616), Data 0.133 (0.174), Loss 6.333 (7.800), Prec 26.56% (11.12%), s_pid_loss: 4.5986, t_un_loss: 10.3785
Epoch: [0][44/129], Time 0.487 (0.613), Data 0.132 (0.173), Loss 6.465 (7.769), Prec 20.31% (11.33%), s_pid_loss: 4.7901, t_un_loss: 10.3724
Epoch: [0][45/129], Time 0.491 (0.610), Data 0.133 (0.172), Loss 6.430 (7.740), Prec 23.44% (11.60%), s_pid_loss: 4.7258, t_un_loss: 10.4071
Epoch: [0][46/129], Time 0.488 (0.608), Data 0.132 (0.171), Loss 6.300 (7.708), Prec 28.91% (11.97%), s_pid_loss: 4.5440, t_un_loss: 10.3958
Epoch: [0][47/129], Time 0.492 (0.605), Data 0.132 (0.170), Loss 7.969 (7.714), Prec 25.78% (12.27%), s_pid_loss: 6.9278, t_un_loss: 10.3985
Epoch: [0][48/129], Time 0.490 (0.603), Data 0.133 (0.170), Loss 6.640 (7.691), Prec 26.56% (12.57%), s_pid_loss: 4.9800, t_un_loss: 10.5145
Epoch: [0][49/129], Time 0.494 (0.600), Data 0.133 (0.169), Loss 6.330 (7.664), Prec 29.69% (12.91%), s_pid_loss: 4.5372, t_un_loss: 10.5131
Epoch: [0][50/129], Time 0.488 (0.598), Data 0.130 (0.168), Loss 6.620 (7.643), Prec 29.69% (13.25%), s_pid_loss: 4.9115, t_un_loss: 10.6050
Epoch: [0][51/129], Time 0.488 (0.596), Data 0.132 (0.167), Loss 6.852 (7.627), Prec 23.44% (13.45%), s_pid_loss: 5.2218, t_un_loss: 10.6541
Epoch: [0][52/129], Time 0.492 (0.594), Data 0.132 (0.167), Loss 5.888 (7.594), Prec 36.72% (13.90%), s_pid_loss: 3.8113, t_un_loss: 10.7352
Epoch: [0][53/129], Time 0.506 (0.592), Data 0.133 (0.166), Loss 6.262 (7.569), Prec 29.69% (14.20%), s_pid_loss: 4.3578, t_un_loss: 10.7047
Epoch: [0][54/129], Time 0.475 (0.590), Data 0.119 (0.165), Loss 6.342 (7.546), Prec 21.88% (14.34%), s_pid_loss: 4.4341, t_un_loss: 10.7936
Epoch: [0][55/129], Time 0.492 (0.588), Data 0.133 (0.165), Loss 6.178 (7.521), Prec 31.25% (14.64%), s_pid_loss: 4.2117, t_un_loss: 10.7673
Epoch: [0][56/129], Time 0.489 (0.587), Data 0.133 (0.164), Loss 6.329 (7.500), Prec 28.91% (14.90%), s_pid_loss: 4.4400, t_un_loss: 10.7371
Epoch: [0][57/129], Time 0.493 (0.585), Data 0.132 (0.164), Loss 6.289 (7.479), Prec 30.47% (15.17%), s_pid_loss: 4.4067, t_un_loss: 10.6825
Epoch: [0][58/129], Time 0.491 (0.583), Data 0.133 (0.163), Loss 6.555 (7.463), Prec 27.34% (15.38%), s_pid_loss: 4.7823, t_un_loss: 10.6904
Epoch: [0][59/129], Time 0.487 (0.582), Data 0.132 (0.162), Loss 6.453 (7.446), Prec 24.22% (15.53%), s_pid_loss: 4.6177, t_un_loss: 10.7355
Epoch: [0][60/129], Time 0.491 (0.580), Data 0.132 (0.162), Loss 6.184 (7.425), Prec 32.81% (15.82%), s_pid_loss: 4.2175, t_un_loss: 10.7724
Epoch: [0][61/129], Time 0.491 (0.579), Data 0.132 (0.161), Loss 5.940 (7.400), Prec 42.19% (16.25%), s_pid_loss: 3.8532, t_un_loss: 10.8108
Epoch: [0][62/129], Time 0.486 (0.577), Data 0.132 (0.161), Loss 5.883 (7.376), Prec 33.59% (16.53%), s_pid_loss: 3.7722, t_un_loss: 10.8091
Epoch: [0][63/129], Time 0.494 (0.576), Data 0.132 (0.161), Loss 5.808 (7.351), Prec 36.72% (16.85%), s_pid_loss: 3.6590, t_un_loss: 10.8237
Epoch: [0][64/129], Time 0.490 (0.575), Data 0.132 (0.160), Loss 5.745 (7.326), Prec 32.03% (17.09%), s_pid_loss: 3.5552, t_un_loss: 10.8562
Epoch: [0][65/129], Time 0.486 (0.573), Data 0.133 (0.160), Loss 6.002 (7.305), Prec 36.72% (17.39%), s_pid_loss: 3.9190, t_un_loss: 10.8616
Epoch: [0][66/129], Time 0.492 (0.572), Data 0.133 (0.159), Loss 5.938 (7.285), Prec 32.81% (17.63%), s_pid_loss: 3.8312, t_un_loss: 10.8538
Epoch: [0][67/129], Time 0.491 (0.571), Data 0.133 (0.159), Loss 6.292 (7.270), Prec 29.69% (17.81%), s_pid_loss: 4.3402, t_un_loss: 10.8464
Epoch: [0][68/129], Time 0.489 (0.570), Data 0.133 (0.158), Loss 5.738 (7.247), Prec 35.94% (18.07%), s_pid_loss: 3.5802, t_un_loss: 10.7735
Epoch: [0][69/129], Time 0.492 (0.568), Data 0.133 (0.158), Loss 6.433 (7.236), Prec 32.03% (18.27%), s_pid_loss: 4.5644, t_un_loss: 10.7922
Epoch: [0][70/129], Time 0.490 (0.567), Data 0.132 (0.158), Loss 5.980 (7.218), Prec 32.03% (18.47%), s_pid_loss: 3.8609, t_un_loss: 10.9253
Epoch: [0][71/129], Time 0.488 (0.566), Data 0.132 (0.157), Loss 5.861 (7.198), Prec 35.94% (18.72%), s_pid_loss: 3.6980, t_un_loss: 10.9066
Epoch: [0][72/129], Time 0.491 (0.565), Data 0.132 (0.157), Loss 6.108 (7.183), Prec 30.47% (18.88%), s_pid_loss: 4.0579, t_un_loss: 10.8914
Epoch: [0][73/129], Time 0.489 (0.564), Data 0.132 (0.157), Loss 5.966 (7.167), Prec 34.38% (19.09%), s_pid_loss: 3.8126, t_un_loss: 10.9907
Epoch: [0][74/129], Time 0.489 (0.563), Data 0.132 (0.156), Loss 5.761 (7.148), Prec 34.38% (19.30%), s_pid_loss: 3.5245, t_un_loss: 10.9808
Epoch: [0][75/129], Time 0.499 (0.562), Data 0.132 (0.156), Loss 6.025 (7.133), Prec 41.41% (19.59%), s_pid_loss: 3.8733, t_un_loss: 11.0470
Epoch: [0][76/129], Time 0.483 (0.561), Data 0.125 (0.156), Loss 5.940 (7.117), Prec 35.16% (19.80%), s_pid_loss: 3.8128, t_un_loss: 10.9037
Epoch: [0][77/129], Time 0.487 (0.560), Data 0.132 (0.155), Loss 5.693 (7.099), Prec 37.50% (20.03%), s_pid_loss: 3.4274, t_un_loss: 10.9808
Epoch: [0][78/129], Time 0.490 (0.559), Data 0.133 (0.155), Loss 5.635 (7.080), Prec 42.19% (20.31%), s_pid_loss: 3.3712, t_un_loss: 10.9178
Epoch: [0][79/129], Time 0.493 (0.559), Data 0.133 (0.155), Loss 5.442 (7.059), Prec 45.31% (20.63%), s_pid_loss: 3.1157, t_un_loss: 10.8689
Epoch: [0][80/129], Time 0.491 (0.558), Data 0.133 (0.154), Loss 5.934 (7.045), Prec 35.16% (20.81%), s_pid_loss: 3.8126, t_un_loss: 10.8845
Epoch: [0][81/129], Time 0.502 (0.557), Data 0.133 (0.154), Loss 6.004 (7.032), Prec 40.62% (21.06%), s_pid_loss: 3.9417, t_un_loss: 10.8161
Epoch: [0][82/129], Time 0.488 (0.556), Data 0.133 (0.154), Loss 5.272 (7.011), Prec 42.97% (21.32%), s_pid_loss: 2.8824, t_un_loss: 10.8469
Epoch: [0][83/129], Time 0.494 (0.555), Data 0.133 (0.154), Loss 5.587 (6.993), Prec 35.94% (21.50%), s_pid_loss: 3.3335, t_un_loss: 10.8466
Epoch: [0][84/129], Time 0.491 (0.555), Data 0.133 (0.153), Loss 5.534 (6.976), Prec 36.72% (21.68%), s_pid_loss: 3.2281, t_un_loss: 10.9133
Epoch: [0][85/129], Time 0.479 (0.554), Data 0.132 (0.153), Loss 5.150 (6.955), Prec 50.78% (22.02%), s_pid_loss: 2.6852, t_un_loss: 10.9023
Epoch: [0][86/129], Time 0.487 (0.553), Data 0.132 (0.153), Loss 5.213 (6.934), Prec 49.22% (22.34%), s_pid_loss: 2.7643, t_un_loss: 10.9283
Epoch: [0][87/129], Time 0.486 (0.552), Data 0.132 (0.153), Loss 5.842 (6.922), Prec 36.72% (22.50%), s_pid_loss: 3.6711, t_un_loss: 10.9066
Epoch: [0][88/129], Time 0.489 (0.551), Data 0.132 (0.153), Loss 5.642 (6.907), Prec 39.84% (22.70%), s_pid_loss: 3.3963, t_un_loss: 10.8810
Epoch: [0][89/129], Time 0.493 (0.551), Data 0.133 (0.152), Loss 5.456 (6.891), Prec 45.31% (22.95%), s_pid_loss: 3.1178, t_un_loss: 10.9116
