log_dir= /home/sbvenkat/ECN/logs
Namespace(arch='resnet50', batch_size=128, camstyle_type='cyclegan', data_dir='/home/sbvenkat/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=1, include_mmd=0, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.0, lmd_ext=0.66, logs_dir='/home/sbvenkat/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='market', target='duke', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   751 |    12936
  target train    | 'Unknown' |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
lmd: 0.0 lmd_ext: 0.66 include_mmd: 0 include_coral: 1
Epoch: [0][1/101], Time 5.896 (5.896), Data 1.961 (1.961), Loss 6.614 (6.614), Prec 0.00% (0.00%), s_pid_loss: 6.6145, t_un_loss: 9.7125
Epoch: [0][2/101], Time 0.422 (3.159), Data 0.062 (1.011), Loss 6.749 (6.682), Prec 0.00% (0.00%), s_pid_loss: 6.7490, t_un_loss: 9.7327
Epoch: [0][3/101], Time 0.490 (2.269), Data 0.128 (0.717), Loss 6.747 (6.703), Prec 0.78% (0.26%), s_pid_loss: 6.7467, t_un_loss: 9.7524
Epoch: [0][4/101], Time 0.502 (1.828), Data 0.128 (0.570), Loss 6.948 (6.764), Prec 2.34% (0.78%), s_pid_loss: 6.9478, t_un_loss: 9.7659
Epoch: [0][5/101], Time 0.498 (1.562), Data 0.129 (0.481), Loss 6.792 (6.770), Prec 1.56% (0.94%), s_pid_loss: 6.7925, t_un_loss: 9.7855
Epoch: [0][6/101], Time 0.495 (1.384), Data 0.128 (0.423), Loss 6.766 (6.769), Prec 0.78% (0.91%), s_pid_loss: 6.7658, t_un_loss: 9.7979
Epoch: [0][7/101], Time 0.503 (1.258), Data 0.129 (0.381), Loss 6.696 (6.759), Prec 3.12% (1.23%), s_pid_loss: 6.6959, t_un_loss: 9.8125
Epoch: [0][8/101], Time 0.490 (1.162), Data 0.128 (0.349), Loss 6.618 (6.741), Prec 2.34% (1.37%), s_pid_loss: 6.6177, t_un_loss: 9.8252
Epoch: [0][9/101], Time 0.490 (1.087), Data 0.128 (0.324), Loss 6.669 (6.733), Prec 2.34% (1.48%), s_pid_loss: 6.6689, t_un_loss: 9.8516
Epoch: [0][10/101], Time 0.490 (1.028), Data 0.127 (0.305), Loss 6.764 (6.736), Prec 3.12% (1.64%), s_pid_loss: 6.7637, t_un_loss: 9.8546
Epoch: [0][11/101], Time 0.494 (0.979), Data 0.127 (0.289), Loss 6.444 (6.710), Prec 3.91% (1.85%), s_pid_loss: 6.4438, t_un_loss: 9.8901
Epoch: [0][12/101], Time 0.497 (0.939), Data 0.128 (0.275), Loss 6.669 (6.706), Prec 6.25% (2.21%), s_pid_loss: 6.6691, t_un_loss: 9.9079
Epoch: [0][13/101], Time 0.502 (0.905), Data 0.128 (0.264), Loss 6.503 (6.691), Prec 9.38% (2.76%), s_pid_loss: 6.5025, t_un_loss: 9.9013
Epoch: [0][14/101], Time 0.488 (0.875), Data 0.128 (0.254), Loss 6.679 (6.690), Prec 5.47% (2.96%), s_pid_loss: 6.6791, t_un_loss: 9.9255
Epoch: [0][15/101], Time 0.492 (0.850), Data 0.135 (0.246), Loss 6.744 (6.693), Prec 10.16% (3.44%), s_pid_loss: 6.7443, t_un_loss: 9.9394
Epoch: [0][16/101], Time 0.492 (0.828), Data 0.128 (0.239), Loss 6.610 (6.688), Prec 7.03% (3.66%), s_pid_loss: 6.6104, t_un_loss: 9.9282
Epoch: [0][17/101], Time 0.493 (0.808), Data 0.129 (0.232), Loss 6.121 (6.655), Prec 12.50% (4.18%), s_pid_loss: 6.1212, t_un_loss: 9.9543
Epoch: [0][18/101], Time 0.484 (0.790), Data 0.128 (0.227), Loss 6.396 (6.640), Prec 16.41% (4.86%), s_pid_loss: 6.3957, t_un_loss: 9.9643
Epoch: [0][19/101], Time 0.499 (0.775), Data 0.128 (0.221), Loss 6.221 (6.618), Prec 8.59% (5.06%), s_pid_loss: 6.2207, t_un_loss: 9.9665
Epoch: [0][20/101], Time 0.504 (0.761), Data 0.129 (0.217), Loss 5.703 (6.573), Prec 14.84% (5.55%), s_pid_loss: 5.7033, t_un_loss: 9.9852
Epoch: [0][21/101], Time 0.497 (0.748), Data 0.129 (0.213), Loss 5.364 (6.515), Prec 17.19% (6.10%), s_pid_loss: 5.3640, t_un_loss: 9.9824
Epoch: [0][22/101], Time 0.510 (0.738), Data 0.129 (0.209), Loss 5.846 (6.485), Prec 17.97% (6.64%), s_pid_loss: 5.8458, t_un_loss: 10.0457
Epoch: [0][23/101], Time 0.487 (0.727), Data 0.128 (0.205), Loss 5.828 (6.456), Prec 14.84% (7.00%), s_pid_loss: 5.8278, t_un_loss: 10.0609
