log_dir= /home/sbvenkat/ECN/logs
Namespace(arch='resnet50', batch_size=128, camstyle_type='cyclegan', data_dir='/home/sbvenkat/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=1, include_mmd=0, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.3, lmd_ext=0.66, logs_dir='/home/sbvenkat/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='market', target='duke', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   751 |    12936
  target train    | 'Unknown' |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
lmd: 0.3 lmd_ext: 0.66 include_mmd: 0 include_coral: 1
Epoch: [0][1/101], Time 9.430 (9.430), Data 5.835 (5.835), Loss 7.548 (7.548), Prec 0.00% (0.00%), s_pid_loss: 6.6199, t_un_loss: 9.7125
Epoch: [0][2/101], Time 0.417 (4.924), Data 0.063 (2.949), Loss 7.531 (7.539), Prec 0.78% (0.39%), s_pid_loss: 6.5896, t_un_loss: 9.7280
Epoch: [0][3/101], Time 0.499 (3.449), Data 0.128 (2.009), Loss 7.535 (7.538), Prec 0.00% (0.26%), s_pid_loss: 6.5858, t_un_loss: 9.7483
Epoch: [0][4/101], Time 0.493 (2.710), Data 0.130 (1.539), Loss 7.681 (7.574), Prec 1.56% (0.59%), s_pid_loss: 6.7892, t_un_loss: 9.7608
Epoch: [0][5/101], Time 0.475 (2.263), Data 0.128 (1.257), Loss 7.655 (7.590), Prec 0.00% (0.47%), s_pid_loss: 6.7408, t_un_loss: 9.7879
Epoch: [0][6/101], Time 0.493 (1.968), Data 0.128 (1.069), Loss 7.597 (7.591), Prec 2.34% (0.78%), s_pid_loss: 6.6573, t_un_loss: 9.7906
Epoch: [0][7/101], Time 0.529 (1.762), Data 0.128 (0.934), Loss 7.531 (7.583), Prec 0.78% (0.78%), s_pid_loss: 6.5539, t_un_loss: 9.8122
Epoch: [0][8/101], Time 0.488 (1.603), Data 0.127 (0.833), Loss 7.593 (7.584), Prec 2.34% (0.98%), s_pid_loss: 6.6359, t_un_loss: 9.8261
Epoch: [0][9/101], Time 0.491 (1.480), Data 0.128 (0.755), Loss 7.657 (7.592), Prec 0.78% (0.95%), s_pid_loss: 6.7261, t_un_loss: 9.8300
Epoch: [0][10/101], Time 0.490 (1.381), Data 0.128 (0.692), Loss 7.402 (7.573), Prec 3.91% (1.25%), s_pid_loss: 6.3496, t_un_loss: 9.8588
Epoch: [0][11/101], Time 0.478 (1.299), Data 0.128 (0.641), Loss 7.690 (7.584), Prec 0.78% (1.21%), s_pid_loss: 6.7553, t_un_loss: 9.8711
Epoch: [0][12/101], Time 0.484 (1.231), Data 0.128 (0.598), Loss 7.358 (7.565), Prec 5.47% (1.56%), s_pid_loss: 6.2839, t_un_loss: 9.8647
Epoch: [0][13/101], Time 0.497 (1.174), Data 0.129 (0.562), Loss 7.180 (7.535), Prec 9.38% (2.16%), s_pid_loss: 6.0206, t_un_loss: 9.8868
Epoch: [0][14/101], Time 0.531 (1.128), Data 0.129 (0.531), Loss 7.283 (7.517), Prec 7.03% (2.51%), s_pid_loss: 6.1712, t_un_loss: 9.8781
Epoch: [0][15/101], Time 0.513 (1.087), Data 0.123 (0.504), Loss 7.085 (7.489), Prec 4.69% (2.66%), s_pid_loss: 5.8801, t_un_loss: 9.8977
Epoch: [0][16/101], Time 0.509 (1.051), Data 0.128 (0.481), Loss 7.100 (7.464), Prec 10.16% (3.12%), s_pid_loss: 5.9056, t_un_loss: 9.8878
Epoch: [0][17/101], Time 0.499 (1.019), Data 0.128 (0.460), Loss 7.401 (7.461), Prec 8.59% (3.45%), s_pid_loss: 6.3317, t_un_loss: 9.8974
Epoch: [0][18/101], Time 0.514 (0.991), Data 0.128 (0.441), Loss 7.211 (7.447), Prec 6.25% (3.60%), s_pid_loss: 6.0411, t_un_loss: 9.9401
Epoch: [0][19/101], Time 0.510 (0.965), Data 0.129 (0.425), Loss 6.963 (7.421), Prec 7.81% (3.82%), s_pid_loss: 5.6895, t_un_loss: 9.9347
Epoch: [0][20/101], Time 0.494 (0.942), Data 0.129 (0.410), Loss 6.812 (7.391), Prec 16.41% (4.45%), s_pid_loss: 5.4616, t_un_loss: 9.9613
Epoch: [0][21/101], Time 0.516 (0.922), Data 0.142 (0.397), Loss 7.044 (7.374), Prec 14.06% (4.91%), s_pid_loss: 5.7888, t_un_loss: 9.9734
Epoch: [0][22/101], Time 0.483 (0.902), Data 0.128 (0.385), Loss 6.931 (7.354), Prec 10.16% (5.15%), s_pid_loss: 5.6191, t_un_loss: 9.9914
