log_dir= /home/sbvenkat/ECN/logs
Namespace(arch='resnet50', batch_size=128, camstyle_type='cyclegan', data_dir='/home/sbvenkat/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=1, include_mmd=0, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.3, lmd_ext=1.0, logs_dir='/home/sbvenkat/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='market', target='duke', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   751 |    12936
  target train    | 'Unknown' |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
lmd: 0.3 lmd_ext: 1.0 include_mmd: 0 include_coral: 1
Epoch: [0][1/101], Time 7.738 (7.738), Data 1.781 (1.781), Loss 7.550 (7.550), Prec 0.78% (0.78%), s_pid_loss: 6.6233, t_un_loss: 9.7125
Epoch: [0][2/101], Time 0.408 (4.073), Data 0.053 (0.917), Loss 7.556 (7.553), Prec 0.78% (0.78%), s_pid_loss: 6.6239, t_un_loss: 9.7301
Epoch: [0][3/101], Time 0.497 (2.881), Data 0.129 (0.654), Loss 7.579 (7.562), Prec 1.56% (1.04%), s_pid_loss: 6.6524, t_un_loss: 9.7425
Epoch: [0][4/101], Time 0.481 (2.281), Data 0.129 (0.523), Loss 7.576 (7.565), Prec 0.78% (0.98%), s_pid_loss: 6.6407, t_un_loss: 9.7584
Epoch: [0][5/101], Time 0.498 (1.925), Data 0.127 (0.444), Loss 7.781 (7.608), Prec 0.78% (0.94%), s_pid_loss: 6.9214, t_un_loss: 9.7868
Epoch: [0][6/101], Time 0.491 (1.686), Data 0.128 (0.391), Loss 7.545 (7.598), Prec 1.56% (1.04%), s_pid_loss: 6.5844, t_un_loss: 9.7870
Epoch: [0][7/101], Time 0.500 (1.516), Data 0.128 (0.354), Loss 7.660 (7.607), Prec 1.56% (1.12%), s_pid_loss: 6.7371, t_un_loss: 9.8141
Epoch: [0][8/101], Time 0.485 (1.387), Data 0.127 (0.325), Loss 7.513 (7.595), Prec 3.91% (1.46%), s_pid_loss: 6.5155, t_un_loss: 9.8414
Epoch: [0][9/101], Time 0.505 (1.289), Data 0.141 (0.305), Loss 7.568 (7.592), Prec 1.56% (1.48%), s_pid_loss: 6.5986, t_un_loss: 9.8298
Epoch: [0][10/101], Time 0.493 (1.210), Data 0.128 (0.287), Loss 7.604 (7.593), Prec 5.47% (1.88%), s_pid_loss: 6.6445, t_un_loss: 9.8439
Epoch: [0][11/101], Time 0.503 (1.146), Data 0.143 (0.274), Loss 7.538 (7.588), Prec 4.69% (2.13%), s_pid_loss: 6.5336, t_un_loss: 9.8826
Epoch: [0][12/101], Time 0.487 (1.091), Data 0.128 (0.262), Loss 7.412 (7.574), Prec 2.34% (2.15%), s_pid_loss: 6.3655, t_un_loss: 9.8551
Epoch: [0][13/101], Time 0.528 (1.047), Data 0.128 (0.252), Loss 7.261 (7.550), Prec 7.81% (2.58%), s_pid_loss: 6.1435, t_un_loss: 9.8696
Epoch: [0][14/101], Time 0.482 (1.007), Data 0.110 (0.241), Loss 7.342 (7.535), Prec 5.47% (2.79%), s_pid_loss: 6.2549, t_un_loss: 9.8791
Epoch: [0][15/101], Time 0.490 (0.973), Data 0.128 (0.234), Loss 7.253 (7.516), Prec 6.25% (3.02%), s_pid_loss: 6.1227, t_un_loss: 9.8898
Epoch: [0][16/101], Time 0.482 (0.942), Data 0.128 (0.227), Loss 7.165 (7.494), Prec 6.25% (3.22%), s_pid_loss: 5.9969, t_un_loss: 9.8908
Epoch: [0][17/101], Time 0.484 (0.915), Data 0.129 (0.221), Loss 7.353 (7.486), Prec 4.69% (3.31%), s_pid_loss: 6.2622, t_un_loss: 9.8991
Epoch: [0][18/101], Time 0.497 (0.892), Data 0.129 (0.216), Loss 7.059 (7.462), Prec 8.59% (3.60%), s_pid_loss: 5.8316, t_un_loss: 9.9221
Epoch: [0][19/101], Time 0.496 (0.871), Data 0.128 (0.212), Loss 7.116 (7.444), Prec 10.16% (3.95%), s_pid_loss: 5.9111, t_un_loss: 9.9270
Epoch: [0][20/101], Time 0.485 (0.852), Data 0.129 (0.208), Loss 7.070 (7.425), Prec 10.94% (4.30%), s_pid_loss: 5.8409, t_un_loss: 9.9376
Epoch: [0][21/101], Time 0.490 (0.834), Data 0.129 (0.204), Loss 6.985 (7.404), Prec 9.38% (4.54%), s_pid_loss: 5.7080, t_un_loss: 9.9654
Epoch: [0][22/101], Time 0.501 (0.819), Data 0.129 (0.200), Loss 6.772 (7.375), Prec 10.94% (4.83%), s_pid_loss: 5.3987, t_un_loss: 9.9765
Epoch: [0][23/101], Time 0.504 (0.805), Data 0.128 (0.197), Loss 6.836 (7.352), Prec 14.06% (5.23%), s_pid_loss: 5.4801, t_un_loss: 9.9990
Epoch: [0][24/101], Time 0.516 (0.793), Data 0.130 (0.194), Loss 6.649 (7.323), Prec 14.84% (5.63%), s_pid_loss: 5.2119, t_un_loss: 10.0027
Epoch: [0][25/101], Time 0.493 (0.781), Data 0.129 (0.192), Loss 6.802 (7.302), Prec 14.84% (6.00%), s_pid_loss: 5.4150, t_un_loss: 10.0376
Epoch: [0][26/101], Time 0.498 (0.770), Data 0.129 (0.189), Loss 6.493 (7.271), Prec 17.97% (6.46%), s_pid_loss: 4.9755, t_un_loss: 10.0331
Epoch: [0][27/101], Time 0.512 (0.761), Data 0.130 (0.187), Loss 6.266 (7.234), Prec 25.00% (7.15%), s_pid_loss: 4.6422, t_un_loss: 10.0561
Epoch: [0][28/101], Time 0.495 (0.751), Data 0.129 (0.185), Loss 6.522 (7.208), Prec 19.53% (7.59%), s_pid_loss: 4.9923, t_un_loss: 10.0914
Epoch: [0][29/101], Time 0.509 (0.743), Data 0.130 (0.183), Loss 6.405 (7.180), Prec 17.97% (7.95%), s_pid_loss: 4.8271, t_un_loss: 10.0853
Epoch: [0][30/101], Time 0.477 (0.734), Data 0.130 (0.181), Loss 6.554 (7.160), Prec 21.09% (8.39%), s_pid_loss: 5.0314, t_un_loss: 10.1071
Epoch: [0][31/101], Time 0.491 (0.726), Data 0.128 (0.180), Loss 6.147 (7.127), Prec 25.78% (8.95%), s_pid_loss: 4.4367, t_un_loss: 10.1390
Epoch: [0][32/101], Time 0.502 (0.719), Data 0.129 (0.178), Loss 6.047 (7.093), Prec 21.09% (9.33%), s_pid_loss: 4.2926, t_un_loss: 10.1401
