log_dir= /home/s3venkat/ECN/logs
Namespace(arch='resnet50', batch_size=128, data_dir='/home/s3venkat/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=0, include_mmd=1, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.3, lmd_ext=0.66, logs_dir='/home/s3venkat/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='duke', target='market', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   702 |    16522
  target train    | 'Unknown' |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
lmd: 0.3 lmd_ext: 0.66 include_mmd: 1 include_coral: 0
Epoch: [0][1/129], Time 4.246 (4.246), Data 2.055 (2.055), Loss 7.460 (7.460), Prec 0.00% (0.00%), s_pid_loss: 6.5623, t_un_loss: 9.4678
Epoch: [0][2/129], Time 0.353 (2.300), Data 0.059 (1.057), Loss 7.370 (7.415), Prec 2.34% (1.17%), s_pid_loss: 6.4239, t_un_loss: 9.4918
Epoch: [0][3/129], Time 0.421 (1.674), Data 0.122 (0.746), Loss 7.464 (7.431), Prec 2.34% (1.56%), s_pid_loss: 6.5479, t_un_loss: 9.5171
Epoch: [0][4/129], Time 0.397 (1.355), Data 0.123 (0.590), Loss 7.554 (7.462), Prec 1.56% (1.56%), s_pid_loss: 6.6670, t_un_loss: 9.5369
Epoch: [0][5/129], Time 0.405 (1.165), Data 0.122 (0.496), Loss 7.499 (7.469), Prec 3.91% (2.03%), s_pid_loss: 6.5785, t_un_loss: 9.5599
Epoch: [0][6/129], Time 0.397 (1.037), Data 0.123 (0.434), Loss 7.411 (7.460), Prec 3.12% (2.21%), s_pid_loss: 6.4496, t_un_loss: 9.5692
Epoch: [0][7/129], Time 0.430 (0.950), Data 0.123 (0.390), Loss 7.588 (7.478), Prec 3.91% (2.46%), s_pid_loss: 6.6901, t_un_loss: 9.5959
Epoch: [0][8/129], Time 0.435 (0.886), Data 0.123 (0.356), Loss 7.407 (7.469), Prec 5.47% (2.83%), s_pid_loss: 6.4251, t_un_loss: 9.6127
Epoch: [0][9/129], Time 0.401 (0.832), Data 0.123 (0.330), Loss 7.432 (7.465), Prec 5.47% (3.12%), s_pid_loss: 6.4547, t_un_loss: 9.6275
Epoch: [0][10/129], Time 0.425 (0.791), Data 0.122 (0.310), Loss 7.423 (7.461), Prec 6.25% (3.44%), s_pid_loss: 6.4328, t_un_loss: 9.6474
Epoch: [0][11/129], Time 0.402 (0.756), Data 0.123 (0.293), Loss 7.419 (7.457), Prec 5.47% (3.62%), s_pid_loss: 6.4236, t_un_loss: 9.6546
Epoch: [0][12/129], Time 0.408 (0.727), Data 0.129 (0.279), Loss 7.350 (7.448), Prec 10.16% (4.17%), s_pid_loss: 6.3226, t_un_loss: 9.6627
Epoch: [0][13/129], Time 0.420 (0.703), Data 0.123 (0.267), Loss 7.321 (7.438), Prec 4.69% (4.21%), s_pid_loss: 6.2703, t_un_loss: 9.6856
Epoch: [0][14/129], Time 0.405 (0.682), Data 0.127 (0.257), Loss 7.315 (7.430), Prec 7.81% (4.46%), s_pid_loss: 6.2648, t_un_loss: 9.6810
Epoch: [0][15/129], Time 0.407 (0.664), Data 0.124 (0.248), Loss 7.477 (7.433), Prec 9.38% (4.79%), s_pid_loss: 6.4933, t_un_loss: 9.6881
Epoch: [0][16/129], Time 0.416 (0.648), Data 0.123 (0.240), Loss 7.242 (7.421), Prec 8.59% (5.03%), s_pid_loss: 6.1389, t_un_loss: 9.7289
Epoch: [0][17/129], Time 0.410 (0.634), Data 0.123 (0.233), Loss 6.951 (7.393), Prec 10.94% (5.38%), s_pid_loss: 5.7291, t_un_loss: 9.7153
Epoch: [0][18/129], Time 0.405 (0.621), Data 0.123 (0.227), Loss 7.349 (7.391), Prec 7.81% (5.51%), s_pid_loss: 6.2923, t_un_loss: 9.7287
Epoch: [0][19/129], Time 0.406 (0.610), Data 0.123 (0.222), Loss 6.796 (7.359), Prec 17.19% (6.13%), s_pid_loss: 5.4927, t_un_loss: 9.7495
Epoch: [0][20/129], Time 0.437 (0.601), Data 0.124 (0.217), Loss 7.005 (7.342), Prec 14.84% (6.56%), s_pid_loss: 5.7908, t_un_loss: 9.7526
Epoch: [0][21/129], Time 0.441 (0.594), Data 0.120 (0.212), Loss 6.817 (7.317), Prec 16.41% (7.03%), s_pid_loss: 5.5162, t_un_loss: 9.7653
Epoch: [0][22/129], Time 0.399 (0.585), Data 0.122 (0.208), Loss 7.272 (7.315), Prec 10.16% (7.17%), s_pid_loss: 6.1546, t_un_loss: 9.7926
Epoch: [0][23/129], Time 0.409 (0.577), Data 0.124 (0.204), Loss 6.577 (7.283), Prec 16.41% (7.57%), s_pid_loss: 5.1560, t_un_loss: 9.8059
Epoch: [0][24/129], Time 0.405 (0.570), Data 0.123 (0.201), Loss 6.687 (7.258), Prec 16.41% (7.94%), s_pid_loss: 5.3093, t_un_loss: 9.8133
Epoch: [0][25/129], Time 0.403 (0.563), Data 0.123 (0.198), Loss 6.706 (7.236), Prec 14.84% (8.22%), s_pid_loss: 5.3271, t_un_loss: 9.8369
Epoch: [0][26/129], Time 0.408 (0.557), Data 0.128 (0.195), Loss 6.446 (7.205), Prec 24.22% (8.83%), s_pid_loss: 4.9372, t_un_loss: 9.8787
Epoch: [0][27/129], Time 0.405 (0.552), Data 0.124 (0.193), Loss 6.278 (7.171), Prec 24.22% (9.40%), s_pid_loss: 4.6947, t_un_loss: 9.8865
