log_dir= /home/s3venkat/ECN/logs
Namespace(arch='resnet50', batch_size=128, data_dir='/home/s3venkat/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=0, include_mmd=1, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.3, lmd_ext=1.0, logs_dir='/home/s3venkat/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='duke', target='market', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   702 |    16522
  target train    | 'Unknown' |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
lmd: 0.3 lmd_ext: 1.0 include_mmd: 1 include_coral: 0
Epoch: [0][1/129], Time 4.334 (4.334), Data 2.173 (2.173), Loss 7.471 (7.471), Prec 0.00% (0.00%), s_pid_loss: 6.5596, t_un_loss: 9.4678
Epoch: [0][2/129], Time 0.333 (2.334), Data 0.061 (1.117), Loss 7.439 (7.455), Prec 2.34% (1.17%), s_pid_loss: 6.5025, t_un_loss: 9.4944
Epoch: [0][3/129], Time 0.394 (1.687), Data 0.119 (0.784), Loss 7.507 (7.472), Prec 2.34% (1.56%), s_pid_loss: 6.5872, t_un_loss: 9.5234
Epoch: [0][4/129], Time 0.402 (1.366), Data 0.122 (0.619), Loss 7.692 (7.527), Prec 3.12% (1.95%), s_pid_loss: 6.8401, t_un_loss: 9.5512
Epoch: [0][5/129], Time 0.401 (1.173), Data 0.123 (0.520), Loss 7.513 (7.525), Prec 1.56% (1.88%), s_pid_loss: 6.5796, t_un_loss: 9.5617
Epoch: [0][6/129], Time 0.399 (1.044), Data 0.123 (0.454), Loss 7.715 (7.556), Prec 3.12% (2.08%), s_pid_loss: 6.8622, t_un_loss: 9.5739
Epoch: [0][7/129], Time 0.403 (0.952), Data 0.122 (0.406), Loss 7.592 (7.561), Prec 3.12% (2.23%), s_pid_loss: 6.6769, t_un_loss: 9.5970
Epoch: [0][8/129], Time 0.436 (0.888), Data 0.123 (0.371), Loss 7.519 (7.556), Prec 6.25% (2.73%), s_pid_loss: 6.5673, t_un_loss: 9.6103
Epoch: [0][9/129], Time 0.431 (0.837), Data 0.097 (0.340), Loss 7.558 (7.556), Prec 7.03% (3.21%), s_pid_loss: 6.6143, t_un_loss: 9.6316
Epoch: [0][10/129], Time 0.395 (0.793), Data 0.123 (0.319), Loss 7.638 (7.565), Prec 3.91% (3.28%), s_pid_loss: 6.7233, t_un_loss: 9.6440
Epoch: [0][11/129], Time 0.396 (0.757), Data 0.123 (0.301), Loss 7.267 (7.538), Prec 7.81% (3.69%), s_pid_loss: 6.1921, t_un_loss: 9.6462
Epoch: [0][12/129], Time 0.396 (0.727), Data 0.123 (0.286), Loss 7.254 (7.514), Prec 10.94% (4.30%), s_pid_loss: 6.1638, t_un_loss: 9.6677
Epoch: [0][13/129], Time 0.409 (0.702), Data 0.123 (0.274), Loss 7.278 (7.496), Prec 7.81% (4.57%), s_pid_loss: 6.1911, t_un_loss: 9.6828
Epoch: [0][14/129], Time 0.409 (0.681), Data 0.124 (0.263), Loss 7.282 (7.480), Prec 9.38% (4.91%), s_pid_loss: 6.1952, t_un_loss: 9.6885
Epoch: [0][15/129], Time 0.397 (0.662), Data 0.123 (0.254), Loss 7.274 (7.467), Prec 6.25% (5.00%), s_pid_loss: 6.1791, t_un_loss: 9.6979
Epoch: [0][16/129], Time 0.409 (0.646), Data 0.123 (0.245), Loss 7.250 (7.453), Prec 12.50% (5.47%), s_pid_loss: 6.1409, t_un_loss: 9.7082
Epoch: [0][17/129], Time 0.395 (0.632), Data 0.123 (0.238), Loss 7.301 (7.444), Prec 10.16% (5.74%), s_pid_loss: 6.2154, t_un_loss: 9.7015
Epoch: [0][18/129], Time 0.403 (0.619), Data 0.123 (0.232), Loss 7.202 (7.431), Prec 7.81% (5.86%), s_pid_loss: 6.0684, t_un_loss: 9.7155
