log_dir= /home/sbvenkat/ECN/logs
Namespace(arch='resnet50', batch_size=128, data_dir='/home/sbvenkat/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=0, include_mmd=1, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.0, lmd_ext=0.33, logs_dir='/home/sbvenkat/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='market', target='duke', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   751 |    12936
  target train    | 'Unknown' |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
lmd: 0.0 lmd_ext: 0.33 include_mmd: 1 include_coral: 0
Epoch: [0][1/101], Time 5.253 (5.253), Data 2.422 (2.422), Loss 6.640 (6.640), Prec 0.78% (0.78%), s_pid_loss: 6.6274, t_un_loss: 9.7125
Epoch: [0][2/101], Time 0.319 (2.786), Data 0.048 (1.235), Loss 6.612 (6.626), Prec 0.78% (0.78%), s_pid_loss: 6.5991, t_un_loss: 9.7288
Epoch: [0][3/101], Time 0.435 (2.002), Data 0.117 (0.862), Loss 6.706 (6.653), Prec 0.00% (0.52%), s_pid_loss: 6.6934, t_un_loss: 9.7464
Epoch: [0][4/101], Time 0.395 (1.601), Data 0.117 (0.676), Loss 6.991 (6.737), Prec 0.78% (0.59%), s_pid_loss: 6.9781, t_un_loss: 9.7662
Epoch: [0][5/101], Time 0.449 (1.370), Data 0.117 (0.564), Loss 6.807 (6.751), Prec 3.12% (1.09%), s_pid_loss: 6.7937, t_un_loss: 9.7760
Epoch: [0][6/101], Time 0.387 (1.206), Data 0.103 (0.487), Loss 6.684 (6.740), Prec 3.12% (1.43%), s_pid_loss: 6.6711, t_un_loss: 9.7972
Epoch: [0][7/101], Time 0.421 (1.094), Data 0.117 (0.434), Loss 6.908 (6.764), Prec 0.78% (1.34%), s_pid_loss: 6.8950, t_un_loss: 9.8146
Epoch: [0][8/101], Time 0.409 (1.009), Data 0.116 (0.394), Loss 6.964 (6.789), Prec 2.34% (1.46%), s_pid_loss: 6.9514, t_un_loss: 9.8232
Epoch: [0][9/101], Time 0.421 (0.943), Data 0.117 (0.364), Loss 6.691 (6.778), Prec 3.12% (1.65%), s_pid_loss: 6.6784, t_un_loss: 9.8367
Epoch: [0][10/101], Time 0.398 (0.889), Data 0.117 (0.339), Loss 6.612 (6.762), Prec 5.47% (2.03%), s_pid_loss: 6.5989, t_un_loss: 9.8309
Epoch: [0][11/101], Time 0.397 (0.844), Data 0.117 (0.319), Loss 6.764 (6.762), Prec 3.91% (2.20%), s_pid_loss: 6.7510, t_un_loss: 9.8727
Epoch: [0][12/101], Time 0.414 (0.808), Data 0.117 (0.302), Loss 6.684 (6.755), Prec 10.16% (2.86%), s_pid_loss: 6.6709, t_un_loss: 9.8763
Epoch: [0][13/101], Time 0.398 (0.777), Data 0.117 (0.288), Loss 6.357 (6.725), Prec 7.03% (3.19%), s_pid_loss: 6.3441, t_un_loss: 9.8765
Epoch: [0][14/101], Time 0.402 (0.750), Data 0.117 (0.275), Loss 6.441 (6.704), Prec 7.03% (3.46%), s_pid_loss: 6.4277, t_un_loss: 9.9101
Epoch: [0][15/101], Time 0.391 (0.726), Data 0.114 (0.265), Loss 6.028 (6.659), Prec 9.38% (3.85%), s_pid_loss: 6.0149, t_un_loss: 9.9118
Epoch: [0][16/101], Time 0.410 (0.706), Data 0.117 (0.255), Loss 6.207 (6.631), Prec 5.47% (3.96%), s_pid_loss: 6.1940, t_un_loss: 9.9222
Epoch: [0][17/101], Time 0.411 (0.689), Data 0.108 (0.247), Loss 6.133 (6.602), Prec 7.03% (4.14%), s_pid_loss: 6.1201, t_un_loss: 9.9602
Epoch: [0][18/101], Time 0.399 (0.673), Data 0.115 (0.239), Loss 6.572 (6.600), Prec 7.81% (4.34%), s_pid_loss: 6.5588, t_un_loss: 9.9799
Epoch: [0][19/101], Time 0.424 (0.660), Data 0.117 (0.233), Loss 6.336 (6.586), Prec 9.38% (4.61%), s_pid_loss: 6.3227, t_un_loss: 9.9827
Epoch: [0][20/101], Time 0.416 (0.647), Data 0.116 (0.227), Loss 5.507 (6.532), Prec 14.06% (5.08%), s_pid_loss: 5.4939, t_un_loss: 10.0139
Epoch: [0][21/101], Time 0.398 (0.636), Data 0.118 (0.222), Loss 6.098 (6.511), Prec 14.84% (5.54%), s_pid_loss: 6.0851, t_un_loss: 10.0641
Epoch: [0][22/101], Time 0.407 (0.625), Data 0.117 (0.217), Loss 6.057 (6.491), Prec 14.84% (5.97%), s_pid_loss: 6.0443, t_un_loss: 10.0427
Epoch: [0][23/101], Time 0.423 (0.616), Data 0.117 (0.213), Loss 5.644 (6.454), Prec 14.06% (6.32%), s_pid_loss: 5.6311, t_un_loss: 10.0785
Epoch: [0][24/101], Time 0.397 (0.607), Data 0.117 (0.209), Loss 6.263 (6.446), Prec 8.59% (6.41%), s_pid_loss: 6.2495, t_un_loss: 10.0688
Epoch: [0][25/101], Time 0.379 (0.598), Data 0.117 (0.205), Loss 5.449 (6.406), Prec 10.94% (6.59%), s_pid_loss: 5.4363, t_un_loss: 10.1096
Epoch: [0][26/101], Time 0.383 (0.590), Data 0.117 (0.202), Loss 5.861 (6.385), Prec 13.28% (6.85%), s_pid_loss: 5.8478, t_un_loss: 10.1669
Epoch: [0][27/101], Time 0.410 (0.583), Data 0.117 (0.199), Loss 5.410 (6.349), Prec 17.97% (7.26%), s_pid_loss: 5.3968, t_un_loss: 10.1482
Epoch: [0][28/101], Time 0.401 (0.577), Data 0.123 (0.196), Loss 4.902 (6.297), Prec 29.69% (8.06%), s_pid_loss: 4.8890, t_un_loss: 10.2045
Epoch: [0][29/101], Time 0.398 (0.570), Data 0.117 (0.193), Loss 5.436 (6.268), Prec 15.62% (8.32%), s_pid_loss: 5.4233, t_un_loss: 10.2539
Epoch: [0][30/101], Time 0.407 (0.565), Data 0.117 (0.191), Loss 5.215 (6.233), Prec 20.31% (8.72%), s_pid_loss: 5.2022, t_un_loss: 10.2488
Epoch: [0][31/101], Time 0.393 (0.559), Data 0.111 (0.188), Loss 5.224 (6.200), Prec 21.88% (9.15%), s_pid_loss: 5.2104, t_un_loss: 10.4175
Epoch: [0][32/101], Time 0.444 (0.556), Data 0.117 (0.186), Loss 4.719 (6.154), Prec 19.53% (9.47%), s_pid_loss: 4.7060, t_un_loss: 10.3781
Epoch: [0][33/101], Time 0.412 (0.552), Data 0.114 (0.184), Loss 4.147 (6.093), Prec 31.25% (10.13%), s_pid_loss: 4.1342, t_un_loss: 10.3865
