log_dir= /home/sbvenkat/ECN/logs
Namespace(arch='resnet50', batch_size=128, data_dir='/home/sbvenkat/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=0, include_mmd=1, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.0, lmd_ext=1.0, logs_dir='/home/sbvenkat/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='market', target='duke', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   751 |    12936
  target train    | 'Unknown' |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
lmd: 0.0 lmd_ext: 1.0 include_mmd: 1 include_coral: 0
Epoch: [0][1/101], Time 5.375 (5.375), Data 2.387 (2.387), Loss 6.660 (6.660), Prec 0.00% (0.00%), s_pid_loss: 6.6216, t_un_loss: 9.7125
Epoch: [0][2/101], Time 0.331 (2.853), Data 0.045 (1.216), Loss 6.840 (6.750), Prec 0.00% (0.00%), s_pid_loss: 6.8012, t_un_loss: 9.7329
Epoch: [0][3/101], Time 0.433 (2.047), Data 0.109 (0.847), Loss 6.771 (6.757), Prec 1.56% (0.52%), s_pid_loss: 6.7322, t_un_loss: 9.7490
Epoch: [0][4/101], Time 0.384 (1.631), Data 0.109 (0.663), Loss 6.791 (6.766), Prec 2.34% (0.98%), s_pid_loss: 6.7516, t_un_loss: 9.7643
Epoch: [0][5/101], Time 0.459 (1.396), Data 0.117 (0.553), Loss 6.819 (6.776), Prec 0.78% (0.94%), s_pid_loss: 6.7795, t_un_loss: 9.7957
Epoch: [0][6/101], Time 0.406 (1.231), Data 0.116 (0.480), Loss 7.057 (6.823), Prec 0.78% (0.91%), s_pid_loss: 7.0184, t_un_loss: 9.7982
Epoch: [0][7/101], Time 0.408 (1.114), Data 0.108 (0.427), Loss 6.835 (6.825), Prec 0.78% (0.89%), s_pid_loss: 6.7956, t_un_loss: 9.8097
Epoch: [0][8/101], Time 0.414 (1.026), Data 0.117 (0.388), Loss 6.904 (6.835), Prec 0.00% (0.78%), s_pid_loss: 6.8652, t_un_loss: 9.8175
Epoch: [0][9/101], Time 0.403 (0.957), Data 0.118 (0.358), Loss 7.164 (6.871), Prec 2.34% (0.95%), s_pid_loss: 7.1247, t_un_loss: 9.8533
Epoch: [0][10/101], Time 0.393 (0.901), Data 0.117 (0.334), Loss 6.760 (6.860), Prec 2.34% (1.09%), s_pid_loss: 6.7202, t_un_loss: 9.8376
Epoch: [0][11/101], Time 0.417 (0.857), Data 0.107 (0.314), Loss 6.461 (6.824), Prec 3.91% (1.35%), s_pid_loss: 6.4221, t_un_loss: 9.8585
Epoch: [0][12/101], Time 0.392 (0.818), Data 0.112 (0.297), Loss 6.757 (6.818), Prec 3.12% (1.50%), s_pid_loss: 6.7178, t_un_loss: 9.8783
Epoch: [0][13/101], Time 0.404 (0.786), Data 0.117 (0.283), Loss 6.514 (6.795), Prec 10.16% (2.16%), s_pid_loss: 6.4745, t_un_loss: 9.9175
Epoch: [0][14/101], Time 0.423 (0.760), Data 0.117 (0.271), Loss 6.255 (6.756), Prec 4.69% (2.34%), s_pid_loss: 6.2161, t_un_loss: 9.8989
Epoch: [0][15/101], Time 0.409 (0.737), Data 0.112 (0.261), Loss 6.068 (6.710), Prec 9.38% (2.81%), s_pid_loss: 6.0280, t_un_loss: 9.9076
Epoch: [0][16/101], Time 0.404 (0.716), Data 0.118 (0.252), Loss 6.501 (6.697), Prec 9.38% (3.22%), s_pid_loss: 6.4615, t_un_loss: 9.9435
Epoch: [0][17/101], Time 0.417 (0.698), Data 0.110 (0.243), Loss 6.524 (6.687), Prec 7.81% (3.49%), s_pid_loss: 6.4850, t_un_loss: 9.9614
Epoch: [0][18/101], Time 0.398 (0.682), Data 0.108 (0.236), Loss 6.332 (6.667), Prec 6.25% (3.65%), s_pid_loss: 6.2929, t_un_loss: 9.9900
Epoch: [0][19/101], Time 0.400 (0.667), Data 0.117 (0.230), Loss 6.261 (6.646), Prec 11.72% (4.07%), s_pid_loss: 6.2215, t_un_loss: 10.0035
Epoch: [0][20/101], Time 0.419 (0.655), Data 0.118 (0.224), Loss 6.465 (6.637), Prec 10.16% (4.37%), s_pid_loss: 6.4253, t_un_loss: 9.9841
Epoch: [0][21/101], Time 0.417 (0.643), Data 0.094 (0.218), Loss 5.923 (6.603), Prec 10.94% (4.69%), s_pid_loss: 5.8830, t_un_loss: 10.0246
Epoch: [0][22/101], Time 0.399 (0.632), Data 0.118 (0.213), Loss 6.143 (6.582), Prec 9.38% (4.90%), s_pid_loss: 6.1039, t_un_loss: 10.0490
Epoch: [0][23/101], Time 0.409 (0.622), Data 0.117 (0.209), Loss 5.896 (6.552), Prec 11.72% (5.20%), s_pid_loss: 5.8559, t_un_loss: 10.0396
Epoch: [0][24/101], Time 0.418 (0.614), Data 0.117 (0.205), Loss 5.868 (6.524), Prec 14.84% (5.60%), s_pid_loss: 5.8282, t_un_loss: 10.0849
Epoch: [0][25/101], Time 0.404 (0.605), Data 0.101 (0.201), Loss 5.739 (6.492), Prec 10.94% (5.81%), s_pid_loss: 5.6992, t_un_loss: 10.1018
Epoch: [0][26/101], Time 0.411 (0.598), Data 0.115 (0.198), Loss 4.980 (6.434), Prec 24.22% (6.52%), s_pid_loss: 4.9401, t_un_loss: 10.0988
Epoch: [0][27/101], Time 0.394 (0.590), Data 0.113 (0.195), Loss 5.926 (6.415), Prec 14.84% (6.83%), s_pid_loss: 5.8862, t_un_loss: 10.1419
Epoch: [0][28/101], Time 0.412 (0.584), Data 0.117 (0.192), Loss 5.434 (6.380), Prec 17.19% (7.20%), s_pid_loss: 5.3941, t_un_loss: 10.1586
Epoch: [0][29/101], Time 0.401 (0.578), Data 0.105 (0.189), Loss 5.561 (6.352), Prec 21.09% (7.68%), s_pid_loss: 5.5216, t_un_loss: 10.1478
Epoch: [0][30/101], Time 0.416 (0.572), Data 0.115 (0.186), Loss 5.596 (6.327), Prec 15.62% (7.94%), s_pid_loss: 5.5567, t_un_loss: 10.2237
Epoch: [0][31/101], Time 0.419 (0.567), Data 0.116 (0.184), Loss 5.282 (6.293), Prec 22.66% (8.42%), s_pid_loss: 5.2422, t_un_loss: 10.2784
Epoch: [0][32/101], Time 0.409 (0.562), Data 0.105 (0.182), Loss 5.010 (6.253), Prec 24.22% (8.91%), s_pid_loss: 4.9698, t_un_loss: 10.3274
Epoch: [0][33/101], Time 0.386 (0.557), Data 0.118 (0.180), Loss 5.736 (6.237), Prec 14.06% (9.07%), s_pid_loss: 5.6965, t_un_loss: 10.3785
Epoch: [0][34/101], Time 0.409 (0.553), Data 0.118 (0.178), Loss 4.489 (6.186), Prec 25.78% (9.56%), s_pid_loss: 4.4490, t_un_loss: 10.3705
Epoch: [0][35/101], Time 0.410 (0.549), Data 0.118 (0.176), Loss 5.062 (6.154), Prec 21.09% (9.89%), s_pid_loss: 5.0216, t_un_loss: 10.4352
Epoch: [0][36/101], Time 0.420 (0.545), Data 0.114 (0.175), Loss 4.950 (6.120), Prec 23.44% (10.26%), s_pid_loss: 4.9101, t_un_loss: 10.4380
