log_dir= /home/sbvenkat/ECN/logs
Namespace(arch='resnet50', batch_size=128, camstyle_type='cyclegan', data_dir='/home/sbvenkat/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=0, include_mmd=1, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.3, lmd_ext=1.0, logs_dir='/home/sbvenkat/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='market', target='duke', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   751 |    12936
  target train    | 'Unknown' |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
lmd: 0.3 lmd_ext: 1.0 include_mmd: 1 include_coral: 0
Epoch: [0][1/101], Time 5.580 (5.580), Data 2.391 (2.391), Loss 7.586 (7.586), Prec 0.00% (0.00%), s_pid_loss: 6.6187, t_un_loss: 9.7125
Epoch: [0][2/101], Time 0.445 (3.012), Data 0.070 (1.231), Loss 7.559 (7.573), Prec 0.78% (0.39%), s_pid_loss: 6.5701, t_un_loss: 9.7361
Epoch: [0][3/101], Time 0.521 (2.182), Data 0.135 (0.866), Loss 7.638 (7.594), Prec 0.78% (0.52%), s_pid_loss: 6.6675, t_un_loss: 9.7729
Epoch: [0][4/101], Time 0.567 (1.778), Data 0.135 (0.683), Loss 7.640 (7.606), Prec 0.78% (0.59%), s_pid_loss: 6.6740, t_un_loss: 9.7642
Epoch: [0][5/101], Time 0.528 (1.528), Data 0.135 (0.573), Loss 7.679 (7.621), Prec 3.12% (1.09%), s_pid_loss: 6.7255, t_un_loss: 9.7755
Epoch: [0][6/101], Time 0.534 (1.362), Data 0.137 (0.501), Loss 7.759 (7.644), Prec 0.00% (0.91%), s_pid_loss: 6.8323, t_un_loss: 9.7895
Epoch: [0][7/101], Time 0.548 (1.246), Data 0.136 (0.449), Loss 7.636 (7.643), Prec 1.56% (1.00%), s_pid_loss: 6.6458, t_un_loss: 9.8140
Epoch: [0][8/101], Time 0.536 (1.157), Data 0.136 (0.409), Loss 7.726 (7.653), Prec 3.12% (1.27%), s_pid_loss: 6.7773, t_un_loss: 9.8106
Epoch: [0][9/101], Time 0.515 (1.086), Data 0.135 (0.379), Loss 7.654 (7.653), Prec 0.78% (1.22%), s_pid_loss: 6.6644, t_un_loss: 9.8330
Epoch: [0][10/101], Time 0.542 (1.032), Data 0.135 (0.355), Loss 7.519 (7.640), Prec 1.56% (1.25%), s_pid_loss: 6.4712, t_un_loss: 9.8344
Epoch: [0][11/101], Time 0.536 (0.986), Data 0.136 (0.335), Loss 7.399 (7.618), Prec 3.12% (1.42%), s_pid_loss: 6.2970, t_un_loss: 9.8399
Epoch: [0][12/101], Time 0.552 (0.950), Data 0.136 (0.318), Loss 7.496 (7.608), Prec 3.12% (1.56%), s_pid_loss: 6.4307, t_un_loss: 9.8511
Epoch: [0][13/101], Time 0.530 (0.918), Data 0.136 (0.304), Loss 7.218 (7.578), Prec 5.47% (1.86%), s_pid_loss: 6.0292, t_un_loss: 9.8597
Epoch: [0][14/101], Time 0.552 (0.892), Data 0.136 (0.292), Loss 7.330 (7.560), Prec 7.81% (2.29%), s_pid_loss: 6.1852, t_un_loss: 9.8690
Epoch: [0][15/101], Time 0.532 (0.868), Data 0.137 (0.282), Loss 7.282 (7.541), Prec 9.38% (2.76%), s_pid_loss: 6.1126, t_un_loss: 9.8809
Epoch: [0][16/101], Time 0.542 (0.847), Data 0.136 (0.273), Loss 7.286 (7.525), Prec 9.38% (3.17%), s_pid_loss: 6.1126, t_un_loss: 9.8955
Epoch: [0][17/101], Time 0.512 (0.828), Data 0.136 (0.265), Loss 7.106 (7.501), Prec 11.72% (3.68%), s_pid_loss: 5.8559, t_un_loss: 9.8928
Epoch: [0][18/101], Time 0.538 (0.812), Data 0.136 (0.257), Loss 7.191 (7.484), Prec 11.72% (4.12%), s_pid_loss: 5.9690, t_un_loss: 9.9106
Epoch: [0][19/101], Time 0.524 (0.797), Data 0.136 (0.251), Loss 7.203 (7.469), Prec 6.25% (4.24%), s_pid_loss: 5.9859, t_un_loss: 9.9125
Epoch: [0][20/101], Time 0.533 (0.783), Data 0.136 (0.245), Loss 6.968 (7.444), Prec 7.81% (4.41%), s_pid_loss: 5.6437, t_un_loss: 9.9256
Epoch: [0][21/101], Time 0.520 (0.771), Data 0.136 (0.240), Loss 6.902 (7.418), Prec 14.84% (4.91%), s_pid_loss: 5.5357, t_un_loss: 9.9599
Epoch: [0][22/101], Time 0.542 (0.760), Data 0.136 (0.235), Loss 6.912 (7.395), Prec 13.28% (5.29%), s_pid_loss: 5.5487, t_un_loss: 9.9620
Epoch: [0][23/101], Time 0.530 (0.750), Data 0.138 (0.231), Loss 6.968 (7.376), Prec 10.94% (5.54%), s_pid_loss: 5.6202, t_un_loss: 9.9821
Epoch: [0][24/101], Time 0.513 (0.741), Data 0.136 (0.227), Loss 6.423 (7.337), Prec 18.75% (6.09%), s_pid_loss: 4.8315, t_un_loss: 10.0042
Epoch: [0][25/101], Time 0.539 (0.732), Data 0.136 (0.224), Loss 6.618 (7.308), Prec 21.88% (6.72%), s_pid_loss: 5.1093, t_un_loss: 10.0089
Epoch: [0][26/101], Time 0.525 (0.724), Data 0.136 (0.220), Loss 6.849 (7.290), Prec 11.72% (6.91%), s_pid_loss: 5.4140, t_un_loss: 10.0654
Epoch: [0][27/101], Time 0.519 (0.717), Data 0.136 (0.217), Loss 6.555 (7.263), Prec 17.97% (7.32%), s_pid_loss: 4.9906, t_un_loss: 10.0730
Epoch: [0][28/101], Time 0.527 (0.710), Data 0.137 (0.214), Loss 6.173 (7.224), Prec 28.91% (8.09%), s_pid_loss: 4.4553, t_un_loss: 10.0480
Epoch: [0][29/101], Time 0.528 (0.704), Data 0.137 (0.212), Loss 6.495 (7.199), Prec 17.97% (8.43%), s_pid_loss: 4.8938, t_un_loss: 10.0991
Epoch: [0][30/101], Time 0.562 (0.699), Data 0.136 (0.209), Loss 6.077 (7.162), Prec 22.66% (8.91%), s_pid_loss: 4.2902, t_un_loss: 10.1132
Epoch: [0][31/101], Time 0.533 (0.694), Data 0.136 (0.207), Loss 6.642 (7.145), Prec 16.41% (9.15%), s_pid_loss: 5.0957, t_un_loss: 10.1168
Epoch: [0][32/101], Time 0.520 (0.688), Data 0.136 (0.204), Loss 6.454 (7.123), Prec 21.88% (9.55%), s_pid_loss: 4.8256, t_un_loss: 10.1224
Epoch: [0][33/101], Time 0.524 (0.683), Data 0.136 (0.202), Loss 6.707 (7.111), Prec 12.50% (9.64%), s_pid_loss: 5.1833, t_un_loss: 10.1311
Epoch: [0][34/101], Time 0.533 (0.679), Data 0.137 (0.200), Loss 6.173 (7.083), Prec 20.31% (9.95%), s_pid_loss: 4.4118, t_un_loss: 10.1515
Epoch: [0][35/101], Time 0.520 (0.674), Data 0.137 (0.199), Loss 6.329 (7.061), Prec 22.66% (10.31%), s_pid_loss: 4.6239, t_un_loss: 10.1747
Epoch: [0][36/101], Time 0.522 (0.670), Data 0.137 (0.197), Loss 6.242 (7.039), Prec 25.00% (10.72%), s_pid_loss: 4.4809, t_un_loss: 10.2202
Epoch: [0][37/101], Time 0.526 (0.666), Data 0.137 (0.195), Loss 6.173 (7.015), Prec 24.22% (11.09%), s_pid_loss: 4.3917, t_un_loss: 10.1976
Epoch: [0][38/101], Time 0.516 (0.662), Data 0.137 (0.194), Loss 6.246 (6.995), Prec 24.22% (11.43%), s_pid_loss: 4.4799, t_un_loss: 10.2367
Epoch: [0][39/101], Time 0.519 (0.659), Data 0.135 (0.192), Loss 6.113 (6.972), Prec 25.78% (11.80%), s_pid_loss: 4.2833, t_un_loss: 10.2494
Epoch: [0][40/101], Time 0.528 (0.655), Data 0.136 (0.191), Loss 5.721 (6.941), Prec 32.81% (12.32%), s_pid_loss: 3.7147, t_un_loss: 10.2710
Epoch: [0][41/101], Time 0.546 (0.653), Data 0.137 (0.190), Loss 6.173 (6.922), Prec 22.66% (12.58%), s_pid_loss: 4.3523, t_un_loss: 10.2881
Epoch: [0][42/101], Time 0.538 (0.650), Data 0.136 (0.188), Loss 6.067 (6.902), Prec 24.22% (12.85%), s_pid_loss: 4.2017, t_un_loss: 10.2878
Epoch: [0][43/101], Time 0.528 (0.647), Data 0.137 (0.187), Loss 5.901 (6.879), Prec 21.09% (13.05%), s_pid_loss: 3.9707, t_un_loss: 10.2742
Epoch: [0][44/101], Time 0.532 (0.644), Data 0.137 (0.186), Loss 6.065 (6.860), Prec 27.34% (13.37%), s_pid_loss: 4.1881, t_un_loss: 10.3132
Epoch: [0][45/101], Time 0.516 (0.642), Data 0.136 (0.185), Loss 5.839 (6.838), Prec 28.12% (13.70%), s_pid_loss: 3.8643, t_un_loss: 10.3128
Epoch: [0][46/101], Time 0.554 (0.640), Data 0.136 (0.184), Loss 5.335 (6.805), Prec 40.62% (14.28%), s_pid_loss: 3.1346, t_un_loss: 10.3383
Epoch: [0][47/101], Time 0.556 (0.638), Data 0.137 (0.183), Loss 5.836 (6.784), Prec 30.47% (14.63%), s_pid_loss: 3.8521, t_un_loss: 10.3342
Epoch: [0][48/101], Time 0.522 (0.636), Data 0.137 (0.182), Loss 5.659 (6.761), Prec 30.47% (14.96%), s_pid_loss: 3.6046, t_un_loss: 10.3192
Epoch: [0][49/101], Time 0.553 (0.634), Data 0.137 (0.181), Loss 5.815 (6.742), Prec 32.03% (15.31%), s_pid_loss: 3.8178, t_un_loss: 10.3438
Epoch: [0][50/101], Time 0.519 (0.632), Data 0.137 (0.180), Loss 5.553 (6.718), Prec 35.16% (15.70%), s_pid_loss: 3.4273, t_un_loss: 10.3797
Epoch: [0][51/101], Time 0.524 (0.629), Data 0.137 (0.179), Loss 5.695 (6.698), Prec 38.28% (16.15%), s_pid_loss: 3.6218, t_un_loss: 10.3990
Epoch: [0][52/101], Time 0.538 (0.628), Data 0.137 (0.178), Loss 5.582 (6.676), Prec 36.72% (16.54%), s_pid_loss: 3.4671, t_un_loss: 10.3837
Epoch: [0][53/101], Time 0.519 (0.626), Data 0.137 (0.178), Loss 5.574 (6.656), Prec 36.72% (16.92%), s_pid_loss: 3.4516, t_un_loss: 10.3916
Epoch: [0][54/101], Time 0.523 (0.624), Data 0.137 (0.177), Loss 5.201 (6.629), Prec 47.66% (17.49%), s_pid_loss: 2.9072, t_un_loss: 10.4211
Epoch: [0][55/101], Time 0.561 (0.623), Data 0.138 (0.176), Loss 5.202 (6.603), Prec 46.09% (18.01%), s_pid_loss: 2.9096, t_un_loss: 10.4192
Epoch: [0][56/101], Time 0.531 (0.621), Data 0.137 (0.175), Loss 5.406 (6.581), Prec 38.28% (18.37%), s_pid_loss: 3.1938, t_un_loss: 10.4366
Epoch: [0][57/101], Time 0.519 (0.619), Data 0.137 (0.175), Loss 5.361 (6.560), Prec 41.41% (18.78%), s_pid_loss: 3.1408, t_un_loss: 10.4102
Epoch: [0][58/101], Time 0.550 (0.618), Data 0.136 (0.174), Loss 5.270 (6.538), Prec 41.41% (19.17%), s_pid_loss: 3.0087, t_un_loss: 10.4142
Epoch: [0][59/101], Time 0.522 (0.616), Data 0.137 (0.173), Loss 5.513 (6.520), Prec 38.28% (19.49%), s_pid_loss: 3.3582, t_un_loss: 10.4085
Epoch: [0][60/101], Time 0.550 (0.615), Data 0.137 (0.173), Loss 5.032 (6.495), Prec 46.09% (19.93%), s_pid_loss: 2.6717, t_un_loss: 10.4039
Epoch: [0][61/101], Time 0.537 (0.614), Data 0.137 (0.172), Loss 5.481 (6.479), Prec 39.84% (20.26%), s_pid_loss: 3.3009, t_un_loss: 10.4382
Epoch: [0][62/101], Time 0.514 (0.612), Data 0.137 (0.172), Loss 5.153 (6.457), Prec 40.62% (20.59%), s_pid_loss: 2.8290, t_un_loss: 10.4423
Epoch: [0][63/101], Time 0.543 (0.611), Data 0.136 (0.171), Loss 5.485 (6.442), Prec 37.50% (20.86%), s_pid_loss: 3.2926, t_un_loss: 10.4665
Epoch: [0][64/101], Time 0.536 (0.610), Data 0.137 (0.171), Loss 5.277 (6.424), Prec 41.41% (21.18%), s_pid_loss: 2.9942, t_un_loss: 10.4714
Epoch: [0][65/101], Time 0.522 (0.609), Data 0.137 (0.170), Loss 5.259 (6.406), Prec 42.97% (21.51%), s_pid_loss: 2.9771, t_un_loss: 10.4507
Epoch: [0][66/101], Time 0.564 (0.608), Data 0.137 (0.170), Loss 5.293 (6.389), Prec 43.75% (21.85%), s_pid_loss: 3.0069, t_un_loss: 10.4937
Epoch: [0][67/101], Time 0.532 (0.607), Data 0.138 (0.169), Loss 5.055 (6.369), Prec 47.66% (22.24%), s_pid_loss: 2.6608, t_un_loss: 10.5078
Epoch: [0][68/101], Time 0.522 (0.606), Data 0.137 (0.169), Loss 4.905 (6.348), Prec 50.00% (22.64%), s_pid_loss: 2.4616, t_un_loss: 10.4738
Epoch: [0][69/101], Time 0.561 (0.605), Data 0.137 (0.168), Loss 5.266 (6.332), Prec 48.44% (23.02%), s_pid_loss: 2.9823, t_un_loss: 10.4619
Epoch: [0][70/101], Time 0.520 (0.604), Data 0.137 (0.168), Loss 5.240 (6.316), Prec 46.88% (23.36%), s_pid_loss: 2.9219, t_un_loss: 10.5165
