log_dir= /home/ssreekri/ECN/logs
Namespace(arch='resnet50', batch_size=128, data_dir='/home/ssreekri/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=1, include_mmd=0, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.3, lmd_ext=0.0, logs_dir='/home/ssreekri/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='duke', target='market', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   702 |    16522
  target train    | 'Unknown' |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
lmd: 0.3 lmd_ext: 0.0 include_mmd: 0 include_coral: 1
Epoch: [0][1/129], Time 6.150 (6.150), Data 2.444 (2.444), Loss 7.428 (7.428), Prec 0.78% (0.78%), s_pid_loss: 6.5533, t_un_loss: 9.4678
Epoch: [0][2/129], Time 0.427 (3.289), Data 0.068 (1.256), Loss 7.302 (7.365), Prec 4.69% (2.73%), s_pid_loss: 6.3645, t_un_loss: 9.4908
Epoch: [0][3/129], Time 0.493 (2.357), Data 0.131 (0.881), Loss 7.527 (7.419), Prec 0.78% (2.08%), s_pid_loss: 6.6700, t_un_loss: 9.5278
Epoch: [0][4/129], Time 0.484 (1.889), Data 0.131 (0.693), Loss 7.532 (7.447), Prec 0.78% (1.76%), s_pid_loss: 6.6722, t_un_loss: 9.5376
Epoch: [0][5/129], Time 0.489 (1.609), Data 0.131 (0.581), Loss 7.523 (7.462), Prec 3.91% (2.19%), s_pid_loss: 6.6486, t_un_loss: 9.5641
Epoch: [0][6/129], Time 0.485 (1.422), Data 0.131 (0.506), Loss 7.367 (7.447), Prec 4.69% (2.60%), s_pid_loss: 6.4146, t_un_loss: 9.5898
Epoch: [0][7/129], Time 0.502 (1.290), Data 0.136 (0.453), Loss 7.463 (7.449), Prec 3.91% (2.79%), s_pid_loss: 6.5493, t_un_loss: 9.5956
Epoch: [0][8/129], Time 0.496 (1.191), Data 0.132 (0.413), Loss 7.375 (7.440), Prec 6.25% (3.22%), s_pid_loss: 6.4194, t_un_loss: 9.6052
Epoch: [0][9/129], Time 0.497 (1.114), Data 0.132 (0.382), Loss 7.413 (7.437), Prec 3.91% (3.30%), s_pid_loss: 6.4680, t_un_loss: 9.6169
Epoch: [0][10/129], Time 0.497 (1.052), Data 0.131 (0.357), Loss 7.248 (7.418), Prec 7.81% (3.75%), s_pid_loss: 6.2233, t_un_loss: 9.6382
Epoch: [0][11/129], Time 0.495 (1.002), Data 0.132 (0.336), Loss 7.479 (7.423), Prec 3.12% (3.69%), s_pid_loss: 6.5440, t_un_loss: 9.6598
