log_dir= /home/sbvenkat/ECN/logs
Namespace(arch='resnet50', batch_size=128, camstyle_type='cyclegan', data_dir='/home/sbvenkat/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=1, include_mmd=0, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.0, lmd_ext=0.33, logs_dir='/home/sbvenkat/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='market', target='duke', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   751 |    12936
  target train    | 'Unknown' |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
lmd: 0.0 lmd_ext: 0.33 include_mmd: 0 include_coral: 1
Epoch: [0][1/101], Time 6.159 (6.159), Data 2.183 (2.183), Loss 6.630 (6.630), Prec 0.78% (0.78%), s_pid_loss: 6.6295, t_un_loss: 9.7125
Epoch: [0][2/101], Time 0.435 (3.297), Data 0.066 (1.124), Loss 6.679 (6.654), Prec 0.00% (0.39%), s_pid_loss: 6.6792, t_un_loss: 9.7361
Epoch: [0][3/101], Time 0.509 (2.368), Data 0.130 (0.793), Loss 6.867 (6.725), Prec 0.78% (0.52%), s_pid_loss: 6.8668, t_un_loss: 9.7552
Epoch: [0][4/101], Time 0.512 (1.904), Data 0.131 (0.627), Loss 6.719 (6.724), Prec 0.00% (0.39%), s_pid_loss: 6.7192, t_un_loss: 9.7776
Epoch: [0][5/101], Time 0.510 (1.625), Data 0.131 (0.528), Loss 6.877 (6.754), Prec 1.56% (0.63%), s_pid_loss: 6.8773, t_un_loss: 9.7824
Epoch: [0][6/101], Time 0.502 (1.438), Data 0.130 (0.462), Loss 6.832 (6.767), Prec 1.56% (0.78%), s_pid_loss: 6.8319, t_un_loss: 9.8033
Epoch: [0][7/101], Time 0.509 (1.305), Data 0.130 (0.414), Loss 6.741 (6.764), Prec 5.47% (1.45%), s_pid_loss: 6.7413, t_un_loss: 9.8043
Epoch: [0][8/101], Time 0.515 (1.206), Data 0.139 (0.380), Loss 6.745 (6.761), Prec 2.34% (1.56%), s_pid_loss: 6.7454, t_un_loss: 9.8401
Epoch: [0][9/101], Time 0.503 (1.128), Data 0.131 (0.352), Loss 6.798 (6.765), Prec 3.91% (1.82%), s_pid_loss: 6.7982, t_un_loss: 9.8370
Epoch: [0][10/101], Time 0.505 (1.066), Data 0.131 (0.330), Loss 6.433 (6.732), Prec 5.47% (2.19%), s_pid_loss: 6.4332, t_un_loss: 9.8649
Epoch: [0][11/101], Time 0.512 (1.015), Data 0.127 (0.312), Loss 6.526 (6.713), Prec 5.47% (2.49%), s_pid_loss: 6.5264, t_un_loss: 9.8734
Epoch: [0][12/101], Time 0.502 (0.973), Data 0.131 (0.297), Loss 6.530 (6.698), Prec 3.12% (2.54%), s_pid_loss: 6.5297, t_un_loss: 9.8820
Epoch: [0][13/101], Time 0.524 (0.938), Data 0.131 (0.284), Loss 6.165 (6.657), Prec 7.03% (2.88%), s_pid_loss: 6.1647, t_un_loss: 9.9035
Epoch: [0][14/101], Time 0.526 (0.909), Data 0.130 (0.273), Loss 6.434 (6.641), Prec 5.47% (3.07%), s_pid_loss: 6.4341, t_un_loss: 9.9153
Epoch: [0][15/101], Time 0.511 (0.882), Data 0.130 (0.263), Loss 5.778 (6.584), Prec 8.59% (3.44%), s_pid_loss: 5.7777, t_un_loss: 9.9125
Epoch: [0][16/101], Time 0.509 (0.859), Data 0.130 (0.255), Loss 6.386 (6.571), Prec 8.59% (3.76%), s_pid_loss: 6.3862, t_un_loss: 9.9635
Epoch: [0][17/101], Time 0.505 (0.838), Data 0.130 (0.248), Loss 6.065 (6.542), Prec 10.16% (4.14%), s_pid_loss: 6.0649, t_un_loss: 9.9886
Epoch: [0][18/101], Time 0.516 (0.820), Data 0.130 (0.241), Loss 5.905 (6.506), Prec 12.50% (4.60%), s_pid_loss: 5.9054, t_un_loss: 9.9803
Epoch: [0][19/101], Time 0.496 (0.803), Data 0.131 (0.235), Loss 6.388 (6.500), Prec 6.25% (4.69%), s_pid_loss: 6.3877, t_un_loss: 10.0189
Epoch: [0][20/101], Time 0.496 (0.788), Data 0.131 (0.230), Loss 6.063 (6.478), Prec 13.28% (5.12%), s_pid_loss: 6.0634, t_un_loss: 10.0840
Epoch: [0][21/101], Time 0.523 (0.775), Data 0.130 (0.225), Loss 6.081 (6.459), Prec 14.06% (5.54%), s_pid_loss: 6.0812, t_un_loss: 10.0604
Epoch: [0][22/101], Time 0.498 (0.762), Data 0.130 (0.221), Loss 5.807 (6.430), Prec 13.28% (5.89%), s_pid_loss: 5.8070, t_un_loss: 10.0957
