log_dir= /home/sbvenkat/ECN/logs
Namespace(arch='resnet50', batch_size=128, camstyle_type='cyclegan', data_dir='/home/sbvenkat/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=1, include_mmd=0, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.0, lmd_ext=1.0, logs_dir='/home/sbvenkat/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='market', target='duke', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   751 |    12936
  target train    | 'Unknown' |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
lmd: 0.0 lmd_ext: 1.0 include_mmd: 0 include_coral: 1
Epoch: [0][1/101], Time 6.223 (6.223), Data 2.781 (2.781), Loss 6.624 (6.624), Prec 0.00% (0.00%), s_pid_loss: 6.6241, t_un_loss: 9.7125
Epoch: [0][2/101], Time 0.433 (3.328), Data 0.067 (1.424), Loss 6.683 (6.654), Prec 0.00% (0.00%), s_pid_loss: 6.6835, t_un_loss: 9.7308
Epoch: [0][3/101], Time 0.496 (2.384), Data 0.128 (0.992), Loss 6.799 (6.702), Prec 0.00% (0.00%), s_pid_loss: 6.7993, t_un_loss: 9.7507
Epoch: [0][4/101], Time 0.493 (1.911), Data 0.128 (0.776), Loss 6.694 (6.700), Prec 0.00% (0.00%), s_pid_loss: 6.6944, t_un_loss: 9.7676
Epoch: [0][5/101], Time 0.506 (1.630), Data 0.127 (0.646), Loss 6.790 (6.718), Prec 1.56% (0.31%), s_pid_loss: 6.7904, t_un_loss: 9.7796
Epoch: [0][6/101], Time 0.488 (1.440), Data 0.127 (0.560), Loss 6.904 (6.749), Prec 2.34% (0.65%), s_pid_loss: 6.9037, t_un_loss: 9.8079
Epoch: [0][7/101], Time 0.483 (1.303), Data 0.128 (0.498), Loss 6.713 (6.744), Prec 2.34% (0.89%), s_pid_loss: 6.7134, t_un_loss: 9.8233
Epoch: [0][8/101], Time 0.494 (1.202), Data 0.127 (0.452), Loss 6.681 (6.736), Prec 1.56% (0.98%), s_pid_loss: 6.6808, t_un_loss: 9.8222
Epoch: [0][9/101], Time 0.481 (1.122), Data 0.128 (0.416), Loss 6.690 (6.731), Prec 1.56% (1.04%), s_pid_loss: 6.6900, t_un_loss: 9.8644
Epoch: [0][10/101], Time 0.496 (1.059), Data 0.128 (0.387), Loss 6.798 (6.738), Prec 3.12% (1.25%), s_pid_loss: 6.7977, t_un_loss: 9.8674
Epoch: [0][11/101], Time 0.482 (1.007), Data 0.128 (0.363), Loss 6.499 (6.716), Prec 3.12% (1.42%), s_pid_loss: 6.4987, t_un_loss: 9.8756
Epoch: [0][12/101], Time 0.480 (0.963), Data 0.128 (0.344), Loss 6.114 (6.666), Prec 7.03% (1.89%), s_pid_loss: 6.1141, t_un_loss: 9.8839
Epoch: [0][13/101], Time 0.482 (0.926), Data 0.129 (0.327), Loss 6.143 (6.626), Prec 10.16% (2.52%), s_pid_loss: 6.1434, t_un_loss: 9.8720
Epoch: [0][14/101], Time 0.508 (0.896), Data 0.128 (0.313), Loss 6.774 (6.636), Prec 7.03% (2.85%), s_pid_loss: 6.7737, t_un_loss: 9.9115
Epoch: [0][15/101], Time 0.486 (0.869), Data 0.130 (0.301), Loss 6.108 (6.601), Prec 7.81% (3.18%), s_pid_loss: 6.1075, t_un_loss: 9.9334
Epoch: [0][16/101], Time 0.503 (0.846), Data 0.128 (0.290), Loss 6.510 (6.595), Prec 3.91% (3.22%), s_pid_loss: 6.5098, t_un_loss: 9.9679
Epoch: [0][17/101], Time 0.498 (0.825), Data 0.130 (0.281), Loss 6.492 (6.589), Prec 4.69% (3.31%), s_pid_loss: 6.4919, t_un_loss: 9.9662
