log_dir= /home/sbvenkat/ECN/logs
Namespace(arch='resnet50', batch_size=128, camstyle_type='cyclegan', data_dir='/home/sbvenkat/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=1, include_mmd=0, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.3, lmd_ext=0.33, logs_dir='/home/sbvenkat/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='market', target='duke', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   751 |    12936
  target train    | 'Unknown' |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
lmd: 0.3 lmd_ext: 0.33 include_mmd: 0 include_coral: 1
Epoch: [0][1/101], Time 7.806 (7.806), Data 4.116 (4.116), Loss 7.559 (7.559), Prec 0.00% (0.00%), s_pid_loss: 6.6363, t_un_loss: 9.7125
Epoch: [0][2/101], Time 0.429 (4.118), Data 0.073 (2.094), Loss 7.553 (7.556), Prec 0.78% (0.39%), s_pid_loss: 6.6197, t_un_loss: 9.7302
Epoch: [0][3/101], Time 0.498 (2.911), Data 0.128 (1.439), Loss 7.597 (7.570), Prec 0.00% (0.26%), s_pid_loss: 6.6755, t_un_loss: 9.7463
Epoch: [0][4/101], Time 0.496 (2.307), Data 0.129 (1.111), Loss 7.592 (7.575), Prec 2.34% (0.78%), s_pid_loss: 6.6621, t_un_loss: 9.7620
Epoch: [0][5/101], Time 0.497 (1.945), Data 0.128 (0.915), Loss 7.654 (7.591), Prec 1.56% (0.94%), s_pid_loss: 6.7394, t_un_loss: 9.7896
Epoch: [0][6/101], Time 0.508 (1.706), Data 0.140 (0.786), Loss 7.735 (7.615), Prec 1.56% (1.04%), s_pid_loss: 6.8482, t_un_loss: 9.8052
Epoch: [0][7/101], Time 0.502 (1.534), Data 0.129 (0.692), Loss 7.623 (7.616), Prec 3.12% (1.34%), s_pid_loss: 6.6820, t_un_loss: 9.8191
Epoch: [0][8/101], Time 0.502 (1.405), Data 0.129 (0.621), Loss 7.669 (7.623), Prec 1.56% (1.37%), s_pid_loss: 6.7409, t_un_loss: 9.8330
Epoch: [0][9/101], Time 0.488 (1.303), Data 0.129 (0.567), Loss 7.664 (7.627), Prec 0.78% (1.30%), s_pid_loss: 6.7228, t_un_loss: 9.8594
Epoch: [0][10/101], Time 0.492 (1.222), Data 0.129 (0.523), Loss 7.646 (7.629), Prec 2.34% (1.41%), s_pid_loss: 6.7009, t_un_loss: 9.8502
Epoch: [0][11/101], Time 0.517 (1.158), Data 0.127 (0.487), Loss 7.442 (7.612), Prec 3.12% (1.56%), s_pid_loss: 6.4068, t_un_loss: 9.8573
Epoch: [0][12/101], Time 0.498 (1.103), Data 0.128 (0.457), Loss 7.312 (7.587), Prec 5.47% (1.89%), s_pid_loss: 6.2223, t_un_loss: 9.8549
Epoch: [0][13/101], Time 0.482 (1.055), Data 0.120 (0.431), Loss 7.205 (7.558), Prec 10.16% (2.52%), s_pid_loss: 6.0637, t_un_loss: 9.8680
Epoch: [0][14/101], Time 0.493 (1.015), Data 0.129 (0.410), Loss 7.274 (7.537), Prec 6.25% (2.79%), s_pid_loss: 6.1609, t_un_loss: 9.8715
Epoch: [0][15/101], Time 0.515 (0.982), Data 0.128 (0.391), Loss 7.310 (7.522), Prec 6.25% (3.02%), s_pid_loss: 6.2010, t_un_loss: 9.8991
Epoch: [0][16/101], Time 0.503 (0.952), Data 0.128 (0.374), Loss 7.197 (7.502), Prec 8.59% (3.37%), s_pid_loss: 6.0405, t_un_loss: 9.8967
Epoch: [0][17/101], Time 0.505 (0.925), Data 0.129 (0.360), Loss 7.344 (7.493), Prec 5.47% (3.49%), s_pid_loss: 6.2407, t_un_loss: 9.9169
Epoch: [0][18/101], Time 0.488 (0.901), Data 0.128 (0.347), Loss 6.960 (7.463), Prec 8.59% (3.78%), s_pid_loss: 5.6912, t_un_loss: 9.9209
Epoch: [0][19/101], Time 0.519 (0.881), Data 0.128 (0.335), Loss 7.282 (7.454), Prec 8.59% (4.03%), s_pid_loss: 6.1459, t_un_loss: 9.9312
Epoch: [0][20/101], Time 0.495 (0.862), Data 0.128 (0.325), Loss 7.003 (7.431), Prec 8.59% (4.26%), s_pid_loss: 5.7326, t_un_loss: 9.9658
Epoch: [0][21/101], Time 0.492 (0.844), Data 0.128 (0.316), Loss 6.954 (7.408), Prec 10.94% (4.58%), s_pid_loss: 5.6594, t_un_loss: 9.9740
Epoch: [0][22/101], Time 0.522 (0.829), Data 0.128 (0.307), Loss 6.826 (7.382), Prec 15.62% (5.08%), s_pid_loss: 5.4663, t_un_loss: 10.0000
Epoch: [0][23/101], Time 0.505 (0.815), Data 0.138 (0.300), Loss 6.702 (7.352), Prec 14.84% (5.50%), s_pid_loss: 5.2937, t_un_loss: 9.9894
Epoch: [0][24/101], Time 0.496 (0.802), Data 0.128 (0.293), Loss 6.915 (7.334), Prec 16.41% (5.96%), s_pid_loss: 5.5898, t_un_loss: 10.0055
Epoch: [0][25/101], Time 0.490 (0.790), Data 0.135 (0.286), Loss 6.579 (7.304), Prec 17.97% (6.44%), s_pid_loss: 5.1065, t_un_loss: 10.0143
Epoch: [0][26/101], Time 0.493 (0.778), Data 0.128 (0.280), Loss 6.607 (7.277), Prec 16.41% (6.82%), s_pid_loss: 5.1418, t_un_loss: 10.0267
Epoch: [0][27/101], Time 0.496 (0.768), Data 0.124 (0.275), Loss 6.505 (7.248), Prec 18.75% (7.26%), s_pid_loss: 4.9668, t_un_loss: 10.0950
Epoch: [0][28/101], Time 0.516 (0.759), Data 0.128 (0.269), Loss 6.447 (7.220), Prec 20.31% (7.73%), s_pid_loss: 4.9036, t_un_loss: 10.0477
Epoch: [0][29/101], Time 0.502 (0.750), Data 0.128 (0.264), Loss 6.256 (7.187), Prec 25.00% (8.32%), s_pid_loss: 4.6217, t_un_loss: 10.0687
Epoch: [0][30/101], Time 0.496 (0.741), Data 0.129 (0.260), Loss 6.409 (7.161), Prec 20.31% (8.72%), s_pid_loss: 4.8294, t_un_loss: 10.0931
Epoch: [0][31/101], Time 0.493 (0.733), Data 0.128 (0.256), Loss 6.482 (7.139), Prec 18.75% (9.05%), s_pid_loss: 4.9279, t_un_loss: 10.1095
Epoch: [0][32/101], Time 0.494 (0.726), Data 0.129 (0.252), Loss 6.089 (7.106), Prec 29.69% (9.69%), s_pid_loss: 4.3564, t_un_loss: 10.1305
Epoch: [0][33/101], Time 0.487 (0.719), Data 0.128 (0.248), Loss 6.948 (7.101), Prec 15.62% (9.87%), s_pid_loss: 5.5941, t_un_loss: 10.1079
Epoch: [0][34/101], Time 0.502 (0.712), Data 0.128 (0.244), Loss 6.034 (7.070), Prec 26.56% (10.36%), s_pid_loss: 4.2759, t_un_loss: 10.1347
Epoch: [0][35/101], Time 0.512 (0.707), Data 0.128 (0.241), Loss 5.996 (7.039), Prec 25.00% (10.78%), s_pid_loss: 4.2015, t_un_loss: 10.1826
Epoch: [0][36/101], Time 0.517 (0.701), Data 0.128 (0.238), Loss 5.938 (7.009), Prec 33.59% (11.41%), s_pid_loss: 4.1166, t_un_loss: 10.1876
Epoch: [0][37/101], Time 0.530 (0.697), Data 0.129 (0.235), Loss 6.012 (6.982), Prec 26.56% (11.82%), s_pid_loss: 4.2194, t_un_loss: 10.1947
Epoch: [0][38/101], Time 0.502 (0.692), Data 0.128 (0.232), Loss 5.744 (6.949), Prec 29.69% (12.29%), s_pid_loss: 3.8383, t_un_loss: 10.1908
Epoch: [0][39/101], Time 0.482 (0.686), Data 0.129 (0.230), Loss 5.856 (6.921), Prec 27.34% (12.68%), s_pid_loss: 3.9875, t_un_loss: 10.2162
Epoch: [0][40/101], Time 0.481 (0.681), Data 0.128 (0.227), Loss 5.985 (6.898), Prec 26.56% (13.03%), s_pid_loss: 4.1614, t_un_loss: 10.2394
Epoch: [0][41/101], Time 0.498 (0.677), Data 0.128 (0.225), Loss 5.719 (6.869), Prec 30.47% (13.45%), s_pid_loss: 3.7653, t_un_loss: 10.2772
Epoch: [0][42/101], Time 0.502 (0.672), Data 0.128 (0.222), Loss 5.934 (6.847), Prec 26.56% (13.76%), s_pid_loss: 4.0507, t_un_loss: 10.3295
