log_dir= /home/s3venkat/ECN/logs
Namespace(arch='resnet34', batch_size=128, data_dir='/home/s3venkat/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=1, include_mmd=0, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.3, lmd_ext=0.33, logs_dir='/home/s3venkat/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='duke', target='market', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   702 |    16522
  target train    | 'Unknown' |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
lmd: 0.3 lmd_ext: 0.33 include_mmd: 0 include_coral: 1
Epoch: [0][1/129], Time 4.162 (4.162), Data 2.407 (2.407), Loss 7.430 (7.430), Prec 0.00% (0.00%), s_pid_loss: 6.5562, t_un_loss: 9.4678
Epoch: [0][2/129], Time 0.195 (2.178), Data 0.025 (1.216), Loss 7.423 (7.426), Prec 0.00% (0.00%), s_pid_loss: 6.5381, t_un_loss: 9.4885
Epoch: [0][3/129], Time 0.256 (1.537), Data 0.073 (0.835), Loss 7.434 (7.429), Prec 1.56% (0.52%), s_pid_loss: 6.5448, t_un_loss: 9.5084
Epoch: [0][4/129], Time 0.255 (1.217), Data 0.066 (0.643), Loss 7.426 (7.428), Prec 3.12% (1.17%), s_pid_loss: 6.5237, t_un_loss: 9.5320
Epoch: [0][5/129], Time 0.246 (1.023), Data 0.066 (0.527), Loss 7.462 (7.435), Prec 2.34% (1.41%), s_pid_loss: 6.5690, t_un_loss: 9.5455
Epoch: [0][6/129], Time 0.237 (0.892), Data 0.065 (0.450), Loss 7.467 (7.440), Prec 3.91% (1.82%), s_pid_loss: 6.5628, t_un_loss: 9.5767
Epoch: [0][7/129], Time 0.254 (0.801), Data 0.075 (0.397), Loss 7.428 (7.439), Prec 5.47% (2.34%), s_pid_loss: 6.5050, t_un_loss: 9.5821
Epoch: [0][8/129], Time 0.251 (0.732), Data 0.066 (0.355), Loss 7.508 (7.447), Prec 3.12% (2.44%), s_pid_loss: 6.6071, t_un_loss: 9.6088
Epoch: [0][9/129], Time 0.243 (0.678), Data 0.065 (0.323), Loss 7.405 (7.442), Prec 4.69% (2.69%), s_pid_loss: 6.4545, t_un_loss: 9.6214
Epoch: [0][10/129], Time 0.243 (0.634), Data 0.068 (0.298), Loss 7.166 (7.415), Prec 7.81% (3.20%), s_pid_loss: 6.1098, t_un_loss: 9.6291
Epoch: [0][11/129], Time 0.250 (0.599), Data 0.069 (0.277), Loss 7.345 (7.408), Prec 5.47% (3.41%), s_pid_loss: 6.3550, t_un_loss: 9.6563
