log_dir= /home/s3venkat/ECN/logs
Namespace(arch='resnet34', batch_size=128, data_dir='/home/s3venkat/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=1, include_mmd=0, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.3, lmd_ext=0.33, logs_dir='/home/s3venkat/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='market', target='duke', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   751 |    12936
  target train    | 'Unknown' |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
lmd: 0.3 lmd_ext: 0.33 include_mmd: 0 include_coral: 1
Epoch: [0][1/101], Time 4.799 (4.799), Data 2.748 (2.748), Loss 7.549 (7.549), Prec 0.00% (0.00%), s_pid_loss: 6.6215, t_un_loss: 9.7125
Epoch: [0][2/101], Time 0.200 (2.499), Data 0.025 (1.387), Loss 7.548 (7.548), Prec 1.56% (0.78%), s_pid_loss: 6.6141, t_un_loss: 9.7264
Epoch: [0][3/101], Time 0.247 (1.748), Data 0.067 (0.947), Loss 7.664 (7.587), Prec 0.00% (0.52%), s_pid_loss: 6.7713, t_un_loss: 9.7469
Epoch: [0][4/101], Time 0.240 (1.371), Data 0.064 (0.726), Loss 7.642 (7.601), Prec 0.78% (0.59%), s_pid_loss: 6.7303, t_un_loss: 9.7695
Epoch: [0][5/101], Time 0.238 (1.145), Data 0.061 (0.593), Loss 7.459 (7.572), Prec 0.00% (0.47%), s_pid_loss: 6.4646, t_un_loss: 9.7806
Epoch: [0][6/101], Time 0.243 (0.994), Data 0.067 (0.505), Loss 7.754 (7.603), Prec 0.78% (0.52%), s_pid_loss: 6.8824, t_un_loss: 9.7876
Epoch: [0][7/101], Time 0.242 (0.887), Data 0.067 (0.443), Loss 7.704 (7.617), Prec 0.78% (0.56%), s_pid_loss: 6.8046, t_un_loss: 9.8026
Epoch: [0][8/101], Time 0.238 (0.806), Data 0.067 (0.396), Loss 7.607 (7.616), Prec 3.91% (0.98%), s_pid_loss: 6.6542, t_un_loss: 9.8306
Epoch: [0][9/101], Time 0.279 (0.747), Data 0.072 (0.360), Loss 7.608 (7.615), Prec 0.78% (0.95%), s_pid_loss: 6.6568, t_un_loss: 9.8287
Epoch: [0][10/101], Time 0.234 (0.696), Data 0.063 (0.330), Loss 7.684 (7.622), Prec 3.12% (1.17%), s_pid_loss: 6.7658, t_un_loss: 9.8270
Epoch: [0][11/101], Time 0.286 (0.659), Data 0.070 (0.307), Loss 7.406 (7.602), Prec 3.91% (1.42%), s_pid_loss: 6.3647, t_un_loss: 9.8361
Epoch: [0][12/101], Time 0.266 (0.626), Data 0.062 (0.286), Loss 7.658 (7.607), Prec 1.56% (1.43%), s_pid_loss: 6.7139, t_un_loss: 9.8617
Epoch: [0][13/101], Time 0.261 (0.598), Data 0.071 (0.270), Loss 7.383 (7.590), Prec 5.47% (1.74%), s_pid_loss: 6.3201, t_un_loss: 9.8619
Epoch: [0][14/101], Time 0.255 (0.573), Data 0.067 (0.255), Loss 7.315 (7.570), Prec 6.25% (2.06%), s_pid_loss: 6.2165, t_un_loss: 9.8786
Epoch: [0][15/101], Time 0.233 (0.551), Data 0.059 (0.242), Loss 7.181 (7.544), Prec 8.59% (2.50%), s_pid_loss: 6.0132, t_un_loss: 9.9049
Epoch: [0][16/101], Time 0.236 (0.531), Data 0.069 (0.231), Loss 7.363 (7.533), Prec 2.34% (2.49%), s_pid_loss: 6.2762, t_un_loss: 9.8993
Epoch: [0][17/101], Time 0.245 (0.514), Data 0.066 (0.221), Loss 7.306 (7.519), Prec 7.03% (2.76%), s_pid_loss: 6.1910, t_un_loss: 9.9065
Epoch: [0][18/101], Time 0.270 (0.501), Data 0.064 (0.213), Loss 7.087 (7.495), Prec 9.38% (3.12%), s_pid_loss: 5.8681, t_un_loss: 9.9324
Epoch: [0][19/101], Time 0.255 (0.488), Data 0.067 (0.205), Loss 7.097 (7.474), Prec 8.59% (3.41%), s_pid_loss: 5.8815, t_un_loss: 9.9323
Epoch: [0][20/101], Time 0.243 (0.475), Data 0.065 (0.198), Loss 7.333 (7.467), Prec 3.91% (3.44%), s_pid_loss: 6.2210, t_un_loss: 9.9269
Epoch: [0][21/101], Time 0.247 (0.465), Data 0.067 (0.192), Loss 7.110 (7.450), Prec 8.59% (3.68%), s_pid_loss: 5.8875, t_un_loss: 9.9626
Epoch: [0][22/101], Time 0.247 (0.455), Data 0.064 (0.186), Loss 7.110 (7.435), Prec 10.94% (4.01%), s_pid_loss: 5.8947, t_un_loss: 9.9442
Epoch: [0][23/101], Time 0.245 (0.446), Data 0.072 (0.181), Loss 6.870 (7.410), Prec 15.62% (4.52%), s_pid_loss: 5.5347, t_un_loss: 9.9849
Epoch: [0][24/101], Time 0.238 (0.437), Data 0.071 (0.176), Loss 7.084 (7.397), Prec 7.81% (4.65%), s_pid_loss: 5.8363, t_un_loss: 9.9960
Epoch: [0][25/101], Time 0.262 (0.430), Data 0.073 (0.172), Loss 6.635 (7.366), Prec 15.62% (5.09%), s_pid_loss: 5.1953, t_un_loss: 9.9932
Epoch: [0][26/101], Time 0.251 (0.423), Data 0.061 (0.168), Loss 6.916 (7.349), Prec 10.16% (5.29%), s_pid_loss: 5.5914, t_un_loss: 10.0081
Epoch: [0][27/101], Time 0.241 (0.416), Data 0.057 (0.164), Loss 6.711 (7.325), Prec 7.03% (5.35%), s_pid_loss: 5.2877, t_un_loss: 10.0334
Epoch: [0][28/101], Time 0.245 (0.410), Data 0.066 (0.160), Loss 6.529 (7.297), Prec 17.19% (5.78%), s_pid_loss: 5.0159, t_un_loss: 10.0608
Epoch: [0][29/101], Time 0.245 (0.405), Data 0.071 (0.157), Loss 6.382 (7.265), Prec 17.97% (6.20%), s_pid_loss: 4.8041, t_un_loss: 10.0644
Epoch: [0][30/101], Time 0.251 (0.399), Data 0.072 (0.154), Loss 6.321 (7.234), Prec 16.41% (6.54%), s_pid_loss: 4.7214, t_un_loss: 10.0531
Epoch: [0][31/101], Time 0.245 (0.394), Data 0.066 (0.152), Loss 6.310 (7.204), Prec 20.31% (6.98%), s_pid_loss: 4.6866, t_un_loss: 10.0989
Epoch: [0][32/101], Time 0.279 (0.391), Data 0.068 (0.149), Loss 6.165 (7.172), Prec 16.41% (7.28%), s_pid_loss: 4.4846, t_un_loss: 10.0847
Epoch: [0][33/101], Time 0.252 (0.387), Data 0.064 (0.146), Loss 6.294 (7.145), Prec 22.66% (7.74%), s_pid_loss: 4.6572, t_un_loss: 10.1148
Epoch: [0][34/101], Time 0.249 (0.383), Data 0.065 (0.144), Loss 6.551 (7.128), Prec 20.31% (8.11%), s_pid_loss: 5.0199, t_un_loss: 10.1245
Epoch: [0][35/101], Time 0.244 (0.379), Data 0.064 (0.142), Loss 6.474 (7.109), Prec 23.44% (8.55%), s_pid_loss: 4.9048, t_un_loss: 10.1344
Epoch: [0][36/101], Time 0.245 (0.375), Data 0.067 (0.140), Loss 6.445 (7.090), Prec 19.53% (8.85%), s_pid_loss: 4.8414, t_un_loss: 10.1877
Epoch: [0][37/101], Time 0.234 (0.371), Data 0.067 (0.138), Loss 6.180 (7.066), Prec 28.12% (9.38%), s_pid_loss: 4.4724, t_un_loss: 10.1641
Epoch: [0][38/101], Time 0.233 (0.367), Data 0.068 (0.136), Loss 6.290 (7.045), Prec 15.62% (9.54%), s_pid_loss: 4.6239, t_un_loss: 10.1788
Epoch: [0][39/101], Time 0.262 (0.365), Data 0.072 (0.134), Loss 6.325 (7.027), Prec 20.31% (9.82%), s_pid_loss: 4.6689, t_un_loss: 10.1891
Epoch: [0][40/101], Time 0.231 (0.361), Data 0.054 (0.132), Loss 5.763 (6.995), Prec 32.81% (10.39%), s_pid_loss: 3.8579, t_un_loss: 10.2082
Epoch: [0][41/101], Time 0.243 (0.359), Data 0.067 (0.131), Loss 5.967 (6.970), Prec 26.56% (10.79%), s_pid_loss: 4.1436, t_un_loss: 10.2223
Epoch: [0][42/101], Time 0.251 (0.356), Data 0.071 (0.129), Loss 6.326 (6.955), Prec 21.88% (11.05%), s_pid_loss: 4.6568, t_un_loss: 10.2220
Epoch: [0][43/101], Time 0.256 (0.354), Data 0.064 (0.128), Loss 5.875 (6.930), Prec 26.56% (11.41%), s_pid_loss: 4.0052, t_un_loss: 10.2369
Epoch: [0][44/101], Time 0.263 (0.352), Data 0.067 (0.126), Loss 5.592 (6.899), Prec 27.34% (11.77%), s_pid_loss: 3.6071, t_un_loss: 10.2228
Epoch: [0][45/101], Time 0.248 (0.349), Data 0.061 (0.125), Loss 5.573 (6.870), Prec 33.59% (12.26%), s_pid_loss: 3.5626, t_un_loss: 10.2644
Epoch: [0][46/101], Time 0.238 (0.347), Data 0.067 (0.124), Loss 5.501 (6.840), Prec 35.16% (12.75%), s_pid_loss: 3.4557, t_un_loss: 10.2737
Epoch: [0][47/101], Time 0.258 (0.345), Data 0.072 (0.123), Loss 5.999 (6.822), Prec 27.34% (13.07%), s_pid_loss: 4.1539, t_un_loss: 10.3028
Epoch: [0][48/101], Time 0.236 (0.343), Data 0.059 (0.121), Loss 5.919 (6.803), Prec 28.12% (13.38%), s_pid_loss: 4.0277, t_un_loss: 10.3338
Epoch: [0][49/101], Time 0.239 (0.341), Data 0.068 (0.120), Loss 5.449 (6.776), Prec 33.59% (13.79%), s_pid_loss: 3.3756, t_un_loss: 10.2877
Epoch: [0][50/101], Time 0.243 (0.339), Data 0.073 (0.119), Loss 5.755 (6.755), Prec 32.03% (14.16%), s_pid_loss: 3.8031, t_un_loss: 10.3077
Epoch: [0][51/101], Time 0.248 (0.337), Data 0.073 (0.118), Loss 5.666 (6.734), Prec 32.81% (14.52%), s_pid_loss: 3.6745, t_un_loss: 10.3131
Epoch: [0][52/101], Time 0.250 (0.335), Data 0.068 (0.117), Loss 5.553 (6.711), Prec 30.47% (14.83%), s_pid_loss: 3.5079, t_un_loss: 10.3258
Epoch: [0][53/101], Time 0.306 (0.335), Data 0.056 (0.116), Loss 5.601 (6.690), Prec 33.59% (15.18%), s_pid_loss: 3.5675, t_un_loss: 10.3445
Epoch: [0][54/101], Time 0.311 (0.334), Data 0.017 (0.114), Loss 5.559 (6.669), Prec 34.38% (15.54%), s_pid_loss: 3.5027, t_un_loss: 10.3556
Epoch: [0][55/101], Time 0.356 (0.335), Data 0.009 (0.112), Loss 5.454 (6.647), Prec 35.16% (15.89%), s_pid_loss: 3.3466, t_un_loss: 10.3721
Epoch: [0][56/101], Time 0.230 (0.333), Data 0.039 (0.111), Loss 5.474 (6.626), Prec 33.59% (16.21%), s_pid_loss: 3.3592, t_un_loss: 10.4079
Epoch: [0][57/101], Time 0.247 (0.331), Data 0.066 (0.110), Loss 5.483 (6.606), Prec 35.94% (16.56%), s_pid_loss: 3.3765, t_un_loss: 10.3973
Epoch: [0][58/101], Time 0.261 (0.330), Data 0.068 (0.110), Loss 5.322 (6.584), Prec 40.62% (16.97%), s_pid_loss: 3.1365, t_un_loss: 10.4213
Epoch: [0][59/101], Time 0.287 (0.329), Data 0.069 (0.109), Loss 5.588 (6.567), Prec 25.00% (17.11%), s_pid_loss: 3.5256, t_un_loss: 10.4009
Epoch: [0][60/101], Time 0.255 (0.328), Data 0.062 (0.108), Loss 5.151 (6.544), Prec 40.62% (17.50%), s_pid_loss: 2.9061, t_un_loss: 10.3905
Epoch: [0][61/101], Time 0.244 (0.327), Data 0.057 (0.107), Loss 5.229 (6.522), Prec 43.75% (17.93%), s_pid_loss: 3.0014, t_un_loss: 10.4276
Epoch: [0][62/101], Time 0.238 (0.325), Data 0.066 (0.107), Loss 5.125 (6.500), Prec 44.53% (18.36%), s_pid_loss: 2.8542, t_un_loss: 10.4235
Epoch: [0][63/101], Time 0.248 (0.324), Data 0.071 (0.106), Loss 5.144 (6.478), Prec 39.06% (18.69%), s_pid_loss: 2.8704, t_un_loss: 10.4478
Epoch: [0][64/101], Time 0.248 (0.323), Data 0.067 (0.105), Loss 5.311 (6.460), Prec 40.62% (19.03%), s_pid_loss: 3.1070, t_un_loss: 10.4554
Epoch: [0][65/101], Time 0.262 (0.322), Data 0.071 (0.105), Loss 5.037 (6.438), Prec 45.31% (19.44%), s_pid_loss: 2.7096, t_un_loss: 10.4676
Epoch: [0][66/101], Time 0.252 (0.321), Data 0.070 (0.104), Loss 5.405 (6.422), Prec 40.62% (19.76%), s_pid_loss: 3.2447, t_un_loss: 10.4464
Epoch: [0][67/101], Time 0.243 (0.320), Data 0.064 (0.104), Loss 5.205 (6.404), Prec 41.41% (20.08%), s_pid_loss: 2.9321, t_un_loss: 10.5081
Epoch: [0][68/101], Time 0.245 (0.319), Data 0.067 (0.103), Loss 5.079 (6.385), Prec 42.97% (20.42%), s_pid_loss: 2.7659, t_un_loss: 10.4752
Epoch: [0][69/101], Time 0.241 (0.317), Data 0.067 (0.103), Loss 5.001 (6.365), Prec 49.22% (20.83%), s_pid_loss: 2.6458, t_un_loss: 10.4975
Epoch: [0][70/101], Time 0.250 (0.317), Data 0.072 (0.102), Loss 5.182 (6.348), Prec 47.66% (21.22%), s_pid_loss: 2.9092, t_un_loss: 10.4862
Epoch: [0][71/101], Time 0.270 (0.316), Data 0.067 (0.102), Loss 4.934 (6.328), Prec 48.44% (21.60%), s_pid_loss: 2.5508, t_un_loss: 10.4955
Epoch: [0][72/101], Time 0.260 (0.315), Data 0.071 (0.101), Loss 5.033 (6.310), Prec 45.31% (21.93%), s_pid_loss: 2.6969, t_un_loss: 10.4853
Epoch: [0][73/101], Time 0.242 (0.314), Data 0.067 (0.101), Loss 5.149 (6.294), Prec 44.53% (22.24%), s_pid_loss: 2.8576, t_un_loss: 10.4970
Epoch: [0][74/101], Time 0.246 (0.313), Data 0.072 (0.100), Loss 4.907 (6.275), Prec 44.53% (22.54%), s_pid_loss: 2.5025, t_un_loss: 10.5179
Epoch: [0][75/101], Time 0.260 (0.312), Data 0.070 (0.100), Loss 5.384 (6.263), Prec 34.38% (22.70%), s_pid_loss: 3.1771, t_un_loss: 10.5320
Epoch: [0][76/101], Time 0.273 (0.312), Data 0.067 (0.100), Loss 5.095 (6.248), Prec 48.44% (23.04%), s_pid_loss: 2.7520, t_un_loss: 10.5610
Epoch: [0][77/101], Time 0.251 (0.311), Data 0.063 (0.099), Loss 5.206 (6.234), Prec 43.75% (23.31%), s_pid_loss: 2.9212, t_un_loss: 10.5358
Epoch: [0][78/101], Time 0.259 (0.310), Data 0.065 (0.099), Loss 5.375 (6.223), Prec 41.41% (23.54%), s_pid_loss: 3.1648, t_un_loss: 10.5335
Epoch: [0][79/101], Time 0.243 (0.310), Data 0.066 (0.098), Loss 4.781 (6.205), Prec 51.56% (23.89%), s_pid_loss: 2.3103, t_un_loss: 10.5462
Epoch: [0][80/101], Time 0.258 (0.309), Data 0.072 (0.098), Loss 4.863 (6.188), Prec 50.00% (24.22%), s_pid_loss: 2.4395, t_un_loss: 10.5169
Epoch: [0][81/101], Time 0.242 (0.308), Data 0.066 (0.098), Loss 4.764 (6.171), Prec 58.59% (24.64%), s_pid_loss: 2.2929, t_un_loss: 10.5297
Epoch: [0][82/101], Time 0.253 (0.307), Data 0.067 (0.097), Loss 4.865 (6.155), Prec 48.44% (24.93%), s_pid_loss: 2.4312, t_un_loss: 10.5425
Epoch: [0][83/101], Time 0.249 (0.307), Data 0.065 (0.097), Loss 5.117 (6.142), Prec 43.75% (25.16%), s_pid_loss: 2.7885, t_un_loss: 10.5502
Epoch: [0][84/101], Time 0.242 (0.306), Data 0.066 (0.096), Loss 4.995 (6.129), Prec 47.66% (25.43%), s_pid_loss: 2.6099, t_un_loss: 10.5619
