log_dir= /home/s3venkat/ECN/logs
Namespace(arch='resnet50', batch_size=128, data_dir='/home/s3venkat/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=0, include_mmd=1, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.3, lmd_ext=0.33, logs_dir='/home/s3venkat/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='market', target='duke', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   751 |    12936
  target train    | 'Unknown' |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
lmd: 0.3 lmd_ext: 0.33 include_mmd: 1 include_coral: 0
Epoch: [0][1/101], Time 4.756 (4.756), Data 2.129 (2.129), Loss 7.569 (7.569), Prec 0.00% (0.00%), s_pid_loss: 6.6326, t_un_loss: 9.7125
Epoch: [0][2/101], Time 0.334 (2.545), Data 0.064 (1.096), Loss 7.591 (7.580), Prec 0.78% (0.39%), s_pid_loss: 6.6536, t_un_loss: 9.7370
Epoch: [0][3/101], Time 0.404 (1.831), Data 0.123 (0.772), Loss 7.609 (7.590), Prec 0.00% (0.26%), s_pid_loss: 6.6755, t_un_loss: 9.7451
Epoch: [0][4/101], Time 0.412 (1.476), Data 0.123 (0.609), Loss 7.477 (7.562), Prec 0.78% (0.39%), s_pid_loss: 6.4788, t_un_loss: 9.7633
Epoch: [0][5/101], Time 0.414 (1.264), Data 0.117 (0.511), Loss 7.688 (7.587), Prec 1.56% (0.63%), s_pid_loss: 6.7643, t_un_loss: 9.7995
Epoch: [0][6/101], Time 0.414 (1.122), Data 0.123 (0.446), Loss 7.552 (7.581), Prec 3.12% (1.04%), s_pid_loss: 6.5725, t_un_loss: 9.7940
Epoch: [0][7/101], Time 0.408 (1.020), Data 0.112 (0.399), Loss 7.667 (7.593), Prec 1.56% (1.12%), s_pid_loss: 6.7301, t_un_loss: 9.8099
Epoch: [0][8/101], Time 0.435 (0.947), Data 0.124 (0.364), Loss 7.409 (7.570), Prec 2.34% (1.27%), s_pid_loss: 6.3521, t_un_loss: 9.8319
Epoch: [0][9/101], Time 0.453 (0.892), Data 0.123 (0.337), Loss 7.712 (7.586), Prec 3.91% (1.56%), s_pid_loss: 6.7885, t_un_loss: 9.8239
Epoch: [0][10/101], Time 0.446 (0.848), Data 0.123 (0.316), Loss 7.758 (7.603), Prec 1.56% (1.56%), s_pid_loss: 6.8459, t_un_loss: 9.8432
Epoch: [0][11/101], Time 0.453 (0.812), Data 0.117 (0.298), Loss 7.464 (7.591), Prec 3.12% (1.70%), s_pid_loss: 6.4178, t_un_loss: 9.8617
Epoch: [0][12/101], Time 0.448 (0.781), Data 0.116 (0.283), Loss 7.476 (7.581), Prec 5.47% (2.02%), s_pid_loss: 6.4359, t_un_loss: 9.8615
Epoch: [0][13/101], Time 0.448 (0.756), Data 0.122 (0.270), Loss 7.358 (7.564), Prec 5.47% (2.28%), s_pid_loss: 6.2658, t_un_loss: 9.8648
Epoch: [0][14/101], Time 0.422 (0.732), Data 0.122 (0.260), Loss 7.351 (7.549), Prec 7.81% (2.68%), s_pid_loss: 6.2495, t_un_loss: 9.8784
Epoch: [0][15/101], Time 0.419 (0.711), Data 0.122 (0.251), Loss 7.158 (7.523), Prec 8.59% (3.07%), s_pid_loss: 5.9719, t_un_loss: 9.8830
Epoch: [0][16/101], Time 0.427 (0.693), Data 0.124 (0.243), Loss 7.047 (7.493), Prec 10.94% (3.56%), s_pid_loss: 5.8043, t_un_loss: 9.9046
