log_dir= /home/sbvenkat/ECN/logs
Namespace(arch='resnet50', batch_size=128, data_dir='/home/sbvenkat/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=0, include_mmd=1, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.0, lmd_ext=0.33, logs_dir='/home/sbvenkat/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='duke', target='market', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   702 |    16522
  target train    | 'Unknown' |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
lmd: 0.0 lmd_ext: 0.33 include_mmd: 1 include_coral: 0
Epoch: [0][1/129], Time 7.338 (7.338), Data 3.322 (3.322), Loss 6.560 (6.560), Prec 0.00% (0.00%), s_pid_loss: 6.5469, t_un_loss: 9.4678
Epoch: [0][2/129], Time 0.737 (4.037), Data 0.127 (1.724), Loss 6.609 (6.584), Prec 3.12% (1.56%), s_pid_loss: 6.5958, t_un_loss: 9.4902
Epoch: [0][3/129], Time 0.808 (2.961), Data 0.207 (1.218), Loss 6.909 (6.692), Prec 2.34% (1.82%), s_pid_loss: 6.8958, t_un_loss: 9.5143
Epoch: [0][4/129], Time 0.801 (2.421), Data 0.207 (0.966), Loss 7.978 (7.014), Prec 2.34% (1.95%), s_pid_loss: 7.9648, t_un_loss: 9.5333
Epoch: [0][5/129], Time 0.790 (2.095), Data 0.206 (0.814), Loss 7.538 (7.119), Prec 4.69% (2.50%), s_pid_loss: 7.5257, t_un_loss: 9.5532
Epoch: [0][6/129], Time 0.808 (1.880), Data 0.207 (0.713), Loss 7.256 (7.142), Prec 1.56% (2.34%), s_pid_loss: 7.2432, t_un_loss: 9.5760
Epoch: [0][7/129], Time 0.792 (1.725), Data 0.206 (0.640), Loss 7.939 (7.256), Prec 3.12% (2.46%), s_pid_loss: 7.9265, t_un_loss: 9.6013
Epoch: [0][8/129], Time 0.806 (1.610), Data 0.207 (0.586), Loss 7.092 (7.235), Prec 4.69% (2.73%), s_pid_loss: 7.0794, t_un_loss: 9.6210
Epoch: [0][9/129], Time 0.815 (1.521), Data 0.208 (0.544), Loss 6.991 (7.208), Prec 3.91% (2.86%), s_pid_loss: 6.9777, t_un_loss: 9.6203
Epoch: [0][10/129], Time 0.843 (1.454), Data 0.206 (0.510), Loss 7.527 (7.240), Prec 3.12% (2.89%), s_pid_loss: 7.5136, t_un_loss: 9.6594
Epoch: [0][11/129], Time 0.824 (1.396), Data 0.207 (0.483), Loss 6.673 (7.188), Prec 9.38% (3.48%), s_pid_loss: 6.6601, t_un_loss: 9.7002
