log_dir= /home/s3venkat/ECN/logs
Namespace(arch='resnet50', batch_size=128, data_dir='/home/s3venkat/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=0, include_mmd=1, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.3, lmd_ext=0.33, logs_dir='/home/s3venkat/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='duke', target='market', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   702 |    16522
  target train    | 'Unknown' |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
lmd: 0.3 lmd_ext: 0.33 include_mmd: 1 include_coral: 0
Epoch: [0][1/129], Time 4.506 (4.506), Data 2.098 (2.098), Loss 7.442 (7.442), Prec 0.78% (0.78%), s_pid_loss: 6.5551, t_un_loss: 9.4678
Epoch: [0][2/129], Time 0.330 (2.418), Data 0.058 (1.078), Loss 7.371 (7.406), Prec 3.12% (1.95%), s_pid_loss: 6.4443, t_un_loss: 9.4903
Epoch: [0][3/129], Time 0.408 (1.748), Data 0.120 (0.759), Loss 7.481 (7.431), Prec 2.34% (2.08%), s_pid_loss: 6.5930, t_un_loss: 9.5105
Epoch: [0][4/129], Time 0.422 (1.416), Data 0.120 (0.599), Loss 7.808 (7.526), Prec 2.34% (2.15%), s_pid_loss: 7.0505, t_un_loss: 9.5327
Epoch: [0][5/129], Time 0.400 (1.213), Data 0.120 (0.503), Loss 7.670 (7.554), Prec 2.34% (2.19%), s_pid_loss: 6.8410, t_un_loss: 9.5607
Epoch: [0][6/129], Time 0.413 (1.080), Data 0.120 (0.439), Loss 7.749 (7.587), Prec 2.34% (2.21%), s_pid_loss: 6.9428, t_un_loss: 9.5858
Epoch: [0][7/129], Time 0.417 (0.985), Data 0.120 (0.394), Loss 7.752 (7.610), Prec 1.56% (2.12%), s_pid_loss: 6.9488, t_un_loss: 9.5821
Epoch: [0][8/129], Time 0.420 (0.915), Data 0.120 (0.359), Loss 7.367 (7.580), Prec 1.56% (2.05%), s_pid_loss: 6.3897, t_un_loss: 9.6052
Epoch: [0][9/129], Time 0.422 (0.860), Data 0.120 (0.333), Loss 7.432 (7.563), Prec 7.03% (2.60%), s_pid_loss: 6.4754, t_un_loss: 9.6210
Epoch: [0][10/129], Time 0.434 (0.817), Data 0.120 (0.312), Loss 7.437 (7.551), Prec 3.12% (2.66%), s_pid_loss: 6.4769, t_un_loss: 9.6335
Epoch: [0][11/129], Time 0.464 (0.785), Data 0.121 (0.294), Loss 7.215 (7.520), Prec 10.16% (3.34%), s_pid_loss: 6.1534, t_un_loss: 9.6504
