log_dir= /home/sbvenkat/ECN/logs
Namespace(arch='resnet50', batch_size=128, camstyle_type='cyclegan', data_dir='/home/sbvenkat/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=0, include_mmd=1, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.3, lmd_ext=0.0, logs_dir='/home/sbvenkat/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='duke', target='market', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   702 |    16522
  target train    | 'Unknown' |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
lmd: 0.3 lmd_ext: 0.0 include_mmd: 1 include_coral: 0
Epoch: [0][1/129], Time 5.897 (5.897), Data 3.231 (3.231), Loss 7.425 (7.425), Prec 0.00% (0.00%), s_pid_loss: 6.5489, t_un_loss: 9.4678
Epoch: [0][2/129], Time 0.319 (3.108), Data 0.043 (1.637), Loss 7.420 (7.422), Prec 0.78% (0.39%), s_pid_loss: 6.5316, t_un_loss: 9.4918
Epoch: [0][3/129], Time 0.428 (2.215), Data 0.119 (1.131), Loss 7.368 (7.404), Prec 3.12% (1.30%), s_pid_loss: 6.4451, t_un_loss: 9.5205
Epoch: [0][4/129], Time 0.400 (1.761), Data 0.120 (0.878), Loss 7.438 (7.412), Prec 1.56% (1.37%), s_pid_loss: 6.5355, t_un_loss: 9.5434
Epoch: [0][5/129], Time 0.444 (1.498), Data 0.119 (0.727), Loss 7.721 (7.474), Prec 3.12% (1.72%), s_pid_loss: 6.9302, t_un_loss: 9.5666
Epoch: [0][6/129], Time 0.404 (1.315), Data 0.119 (0.625), Loss 7.983 (7.559), Prec 0.78% (1.56%), s_pid_loss: 7.2981, t_un_loss: 9.5814
Epoch: [0][7/129], Time 0.436 (1.190), Data 0.120 (0.553), Loss 8.046 (7.629), Prec 0.78% (1.45%), s_pid_loss: 7.3861, t_un_loss: 9.5851
Epoch: [0][8/129], Time 0.400 (1.091), Data 0.119 (0.499), Loss 8.084 (7.686), Prec 3.12% (1.66%), s_pid_loss: 7.4292, t_un_loss: 9.6131
Epoch: [0][9/129], Time 0.445 (1.019), Data 0.120 (0.457), Loss 8.269 (7.750), Prec 4.69% (2.00%), s_pid_loss: 7.6877, t_un_loss: 9.6251
Epoch: [0][10/129], Time 0.412 (0.959), Data 0.129 (0.424), Loss 8.022 (7.778), Prec 7.81% (2.58%), s_pid_loss: 7.3319, t_un_loss: 9.6315
Epoch: [0][11/129], Time 0.402 (0.908), Data 0.120 (0.396), Loss 7.917 (7.790), Prec 3.91% (2.70%), s_pid_loss: 7.1822, t_un_loss: 9.6329
