log_dir= /home/sbvenkat/ECN/logs
Namespace(arch='resnet50', batch_size=128, data_dir='/home/sbvenkat/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=0, include_mmd=1, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.0, lmd_ext=0.0, logs_dir='/home/sbvenkat/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='market', target='duke', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   751 |    12936
  target train    | 'Unknown' |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
lmd: 0.0 lmd_ext: 0.0 include_mmd: 1 include_coral: 0
Epoch: [0][1/101], Time 5.454 (5.454), Data 2.593 (2.593), Loss 6.629 (6.629), Prec 0.00% (0.00%), s_pid_loss: 6.6289, t_un_loss: 9.7125
Epoch: [0][2/101], Time 0.320 (2.887), Data 0.043 (1.318), Loss 6.705 (6.667), Prec 0.00% (0.00%), s_pid_loss: 6.7047, t_un_loss: 9.7308
Epoch: [0][3/101], Time 0.419 (2.064), Data 0.112 (0.916), Loss 6.859 (6.731), Prec 0.00% (0.00%), s_pid_loss: 6.8588, t_un_loss: 9.7456
Epoch: [0][4/101], Time 0.416 (1.652), Data 0.112 (0.715), Loss 6.801 (6.748), Prec 1.56% (0.39%), s_pid_loss: 6.8009, t_un_loss: 9.7649
Epoch: [0][5/101], Time 0.417 (1.405), Data 0.113 (0.595), Loss 6.745 (6.748), Prec 2.34% (0.78%), s_pid_loss: 6.7450, t_un_loss: 9.7867
Epoch: [0][6/101], Time 0.399 (1.238), Data 0.116 (0.515), Loss 6.728 (6.744), Prec 1.56% (0.91%), s_pid_loss: 6.7278, t_un_loss: 9.8062
Epoch: [0][7/101], Time 0.421 (1.121), Data 0.115 (0.458), Loss 7.077 (6.792), Prec 3.91% (1.34%), s_pid_loss: 7.0768, t_un_loss: 9.8072
Epoch: [0][8/101], Time 0.421 (1.033), Data 0.115 (0.415), Loss 6.716 (6.782), Prec 0.78% (1.27%), s_pid_loss: 6.7156, t_un_loss: 9.8210
Epoch: [0][9/101], Time 0.424 (0.966), Data 0.115 (0.382), Loss 6.529 (6.754), Prec 3.12% (1.48%), s_pid_loss: 6.5289, t_un_loss: 9.8520
Epoch: [0][10/101], Time 0.418 (0.911), Data 0.115 (0.355), Loss 6.631 (6.742), Prec 2.34% (1.56%), s_pid_loss: 6.6307, t_un_loss: 9.8457
Epoch: [0][11/101], Time 0.398 (0.864), Data 0.115 (0.333), Loss 6.655 (6.734), Prec 7.03% (2.06%), s_pid_loss: 6.6555, t_un_loss: 9.8767
Epoch: [0][12/101], Time 0.439 (0.829), Data 0.115 (0.315), Loss 6.574 (6.721), Prec 5.47% (2.34%), s_pid_loss: 6.5741, t_un_loss: 9.8845
Epoch: [0][13/101], Time 0.403 (0.796), Data 0.112 (0.299), Loss 6.547 (6.707), Prec 5.47% (2.58%), s_pid_loss: 6.5466, t_un_loss: 9.8822
Epoch: [0][14/101], Time 0.414 (0.769), Data 0.109 (0.286), Loss 6.369 (6.683), Prec 7.03% (2.90%), s_pid_loss: 6.3694, t_un_loss: 9.9070
Epoch: [0][15/101], Time 0.398 (0.744), Data 0.113 (0.274), Loss 6.653 (6.681), Prec 5.47% (3.07%), s_pid_loss: 6.6530, t_un_loss: 9.9113
Epoch: [0][16/101], Time 0.410 (0.723), Data 0.110 (0.264), Loss 6.137 (6.647), Prec 7.81% (3.37%), s_pid_loss: 6.1374, t_un_loss: 9.9496
Epoch: [0][17/101], Time 0.420 (0.705), Data 0.116 (0.255), Loss 6.235 (6.623), Prec 10.16% (3.77%), s_pid_loss: 6.2348, t_un_loss: 9.9639
Epoch: [0][18/101], Time 0.421 (0.689), Data 0.115 (0.248), Loss 6.091 (6.593), Prec 10.94% (4.17%), s_pid_loss: 6.0906, t_un_loss: 9.9944
Epoch: [0][19/101], Time 0.428 (0.676), Data 0.116 (0.241), Loss 6.253 (6.575), Prec 9.38% (4.44%), s_pid_loss: 6.2530, t_un_loss: 10.0050
Epoch: [0][20/101], Time 0.397 (0.662), Data 0.115 (0.234), Loss 5.991 (6.546), Prec 10.16% (4.73%), s_pid_loss: 5.9910, t_un_loss: 10.0183
Epoch: [0][21/101], Time 0.441 (0.651), Data 0.116 (0.229), Loss 6.211 (6.530), Prec 9.38% (4.95%), s_pid_loss: 6.2112, t_un_loss: 10.0076
Epoch: [0][22/101], Time 0.396 (0.640), Data 0.117 (0.224), Loss 5.866 (6.500), Prec 14.06% (5.36%), s_pid_loss: 5.8656, t_un_loss: 10.0628
Epoch: [0][23/101], Time 0.450 (0.631), Data 0.116 (0.219), Loss 5.062 (6.437), Prec 17.97% (5.91%), s_pid_loss: 5.0622, t_un_loss: 10.0698
Epoch: [0][24/101], Time 0.394 (0.621), Data 0.116 (0.215), Loss 5.953 (6.417), Prec 13.28% (6.22%), s_pid_loss: 5.9534, t_un_loss: 10.1231
Epoch: [0][25/101], Time 0.440 (0.614), Data 0.116 (0.211), Loss 5.040 (6.362), Prec 17.97% (6.69%), s_pid_loss: 5.0402, t_un_loss: 10.0789
Epoch: [0][26/101], Time 0.395 (0.606), Data 0.113 (0.207), Loss 5.178 (6.317), Prec 15.62% (7.03%), s_pid_loss: 5.1779, t_un_loss: 10.1201
Epoch: [0][27/101], Time 0.416 (0.599), Data 0.116 (0.204), Loss 5.011 (6.268), Prec 17.19% (7.41%), s_pid_loss: 5.0112, t_un_loss: 10.1596
Epoch: [0][28/101], Time 0.406 (0.592), Data 0.116 (0.200), Loss 4.952 (6.221), Prec 26.56% (8.09%), s_pid_loss: 4.9518, t_un_loss: 10.1797
Epoch: [0][29/101], Time 0.421 (0.586), Data 0.116 (0.197), Loss 4.667 (6.168), Prec 21.09% (8.54%), s_pid_loss: 4.6668, t_un_loss: 10.2261
Epoch: [0][30/101], Time 0.396 (0.580), Data 0.116 (0.195), Loss 5.135 (6.133), Prec 22.66% (9.01%), s_pid_loss: 5.1353, t_un_loss: 10.2726
Epoch: [0][31/101], Time 0.416 (0.574), Data 0.116 (0.192), Loss 5.069 (6.099), Prec 28.91% (9.65%), s_pid_loss: 5.0685, t_un_loss: 10.2781
Epoch: [0][32/101], Time 0.390 (0.569), Data 0.112 (0.190), Loss 5.298 (6.074), Prec 17.19% (9.89%), s_pid_loss: 5.2979, t_un_loss: 10.3283
Epoch: [0][33/101], Time 0.457 (0.565), Data 0.116 (0.187), Loss 4.461 (6.025), Prec 28.91% (10.46%), s_pid_loss: 4.4615, t_un_loss: 10.3500
Epoch: [0][34/101], Time 0.376 (0.560), Data 0.116 (0.185), Loss 4.737 (5.987), Prec 23.44% (10.85%), s_pid_loss: 4.7372, t_un_loss: 10.4136
Epoch: [0][35/101], Time 0.410 (0.555), Data 0.116 (0.183), Loss 5.015 (5.959), Prec 21.09% (11.14%), s_pid_loss: 5.0150, t_un_loss: 10.4262
Epoch: [0][36/101], Time 0.402 (0.551), Data 0.116 (0.181), Loss 4.535 (5.920), Prec 28.12% (11.61%), s_pid_loss: 4.5349, t_un_loss: 10.4991
Epoch: [0][37/101], Time 0.411 (0.547), Data 0.109 (0.180), Loss 4.998 (5.895), Prec 22.66% (11.91%), s_pid_loss: 4.9979, t_un_loss: 10.6207
Epoch: [0][38/101], Time 0.402 (0.544), Data 0.116 (0.178), Loss 5.124 (5.875), Prec 29.69% (12.38%), s_pid_loss: 5.1235, t_un_loss: 10.5237
Epoch: [0][39/101], Time 0.415 (0.540), Data 0.116 (0.176), Loss 4.948 (5.851), Prec 25.78% (12.72%), s_pid_loss: 4.9477, t_un_loss: 10.5802
Epoch: [0][40/101], Time 0.394 (0.537), Data 0.114 (0.175), Loss 4.597 (5.819), Prec 25.78% (13.05%), s_pid_loss: 4.5968, t_un_loss: 10.6507
