log_dir= /home/s3venkat/ECN/logs
Namespace(arch='resnet50', batch_size=128, data_dir='/home/s3venkat/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=0, include_mmd=1, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.3, lmd_ext=0.66, logs_dir='/home/s3venkat/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='market', target='duke', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   751 |    12936
  target train    | 'Unknown' |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
lmd: 0.3 lmd_ext: 0.66 include_mmd: 1 include_coral: 0
Epoch: [0][1/101], Time 4.307 (4.307), Data 1.855 (1.855), Loss 7.578 (7.578), Prec 0.00% (0.00%), s_pid_loss: 6.6261, t_un_loss: 9.7125
Epoch: [0][2/101], Time 0.336 (2.321), Data 0.068 (0.961), Loss 7.593 (7.586), Prec 0.00% (0.00%), s_pid_loss: 6.6391, t_un_loss: 9.7341
Epoch: [0][3/101], Time 0.407 (1.683), Data 0.122 (0.682), Loss 7.577 (7.583), Prec 0.78% (0.26%), s_pid_loss: 6.6100, t_un_loss: 9.7485
Epoch: [0][4/101], Time 0.456 (1.377), Data 0.122 (0.542), Loss 7.525 (7.568), Prec 1.56% (0.59%), s_pid_loss: 6.5294, t_un_loss: 9.7627
Epoch: [0][5/101], Time 0.417 (1.185), Data 0.122 (0.458), Loss 7.629 (7.580), Prec 2.34% (0.94%), s_pid_loss: 6.6700, t_un_loss: 9.7797
Epoch: [0][6/101], Time 0.397 (1.053), Data 0.122 (0.402), Loss 7.559 (7.577), Prec 4.69% (1.56%), s_pid_loss: 6.5656, t_un_loss: 9.7909
Epoch: [0][7/101], Time 0.416 (0.962), Data 0.122 (0.362), Loss 7.632 (7.585), Prec 3.91% (1.90%), s_pid_loss: 6.6615, t_un_loss: 9.8092
Epoch: [0][8/101], Time 0.445 (0.898), Data 0.122 (0.332), Loss 7.763 (7.607), Prec 0.00% (1.66%), s_pid_loss: 6.8491, t_un_loss: 9.8114
Epoch: [0][9/101], Time 0.435 (0.846), Data 0.122 (0.309), Loss 7.492 (7.594), Prec 4.69% (2.00%), s_pid_loss: 6.4482, t_un_loss: 9.8425
Epoch: [0][10/101], Time 0.456 (0.807), Data 0.121 (0.290), Loss 7.660 (7.601), Prec 2.34% (2.03%), s_pid_loss: 6.6854, t_un_loss: 9.8476
Epoch: [0][11/101], Time 0.414 (0.771), Data 0.123 (0.275), Loss 7.477 (7.590), Prec 4.69% (2.27%), s_pid_loss: 6.4282, t_un_loss: 9.8389
