log_dir= /home/s3venkat/ECN/logs
Namespace(arch='resnet50', batch_size=128, data_dir='/home/s3venkat/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=0, include_mmd=1, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.3, lmd_ext=1.0, logs_dir='/home/s3venkat/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='market', target='duke', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   751 |    12936
  target train    | 'Unknown' |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
lmd: 0.3 lmd_ext: 1.0 include_mmd: 1 include_coral: 0
Epoch: [0][1/101], Time 4.822 (4.822), Data 1.919 (1.919), Loss 7.585 (7.585), Prec 0.00% (0.00%), s_pid_loss: 6.6181, t_un_loss: 9.7125
Epoch: [0][2/101], Time 0.358 (2.590), Data 0.061 (0.990), Loss 7.654 (7.620), Prec 1.56% (0.78%), s_pid_loss: 6.7092, t_un_loss: 9.7292
Epoch: [0][3/101], Time 0.417 (1.865), Data 0.123 (0.701), Loss 7.619 (7.619), Prec 0.00% (0.52%), s_pid_loss: 6.6509, t_un_loss: 9.7465
Epoch: [0][4/101], Time 0.398 (1.499), Data 0.124 (0.557), Loss 7.630 (7.622), Prec 0.00% (0.39%), s_pid_loss: 6.6613, t_un_loss: 9.7608
Epoch: [0][5/101], Time 0.395 (1.278), Data 0.123 (0.470), Loss 7.649 (7.628), Prec 0.78% (0.47%), s_pid_loss: 6.6804, t_un_loss: 9.7788
Epoch: [0][6/101], Time 0.409 (1.133), Data 0.124 (0.412), Loss 7.666 (7.634), Prec 0.78% (0.52%), s_pid_loss: 6.6954, t_un_loss: 9.8018
Epoch: [0][7/101], Time 0.418 (1.031), Data 0.115 (0.370), Loss 7.634 (7.634), Prec 0.00% (0.45%), s_pid_loss: 6.6492, t_un_loss: 9.8037
Epoch: [0][8/101], Time 0.396 (0.952), Data 0.124 (0.339), Loss 7.728 (7.646), Prec 4.69% (0.98%), s_pid_loss: 6.7729, t_un_loss: 9.8267
Epoch: [0][9/101], Time 0.419 (0.892), Data 0.124 (0.315), Loss 7.725 (7.655), Prec 1.56% (1.04%), s_pid_loss: 6.7651, t_un_loss: 9.8331
Epoch: [0][10/101], Time 0.408 (0.844), Data 0.124 (0.296), Loss 7.424 (7.631), Prec 3.91% (1.33%), s_pid_loss: 6.3289, t_un_loss: 9.8454
Epoch: [0][11/101], Time 0.395 (0.803), Data 0.124 (0.280), Loss 7.549 (7.624), Prec 3.91% (1.56%), s_pid_loss: 6.5052, t_un_loss: 9.8528
Epoch: [0][12/101], Time 0.406 (0.770), Data 0.124 (0.267), Loss 7.404 (7.606), Prec 6.25% (1.95%), s_pid_loss: 6.2966, t_un_loss: 9.8584
Epoch: [0][13/101], Time 0.410 (0.742), Data 0.124 (0.256), Loss 7.661 (7.610), Prec 5.47% (2.22%), s_pid_loss: 6.6618, t_un_loss: 9.8631
Epoch: [0][14/101], Time 0.397 (0.718), Data 0.119 (0.247), Loss 7.353 (7.592), Prec 6.25% (2.51%), s_pid_loss: 6.2168, t_un_loss: 9.8740
Epoch: [0][15/101], Time 0.407 (0.697), Data 0.123 (0.238), Loss 7.499 (7.585), Prec 5.47% (2.71%), s_pid_loss: 6.4211, t_un_loss: 9.8818
Epoch: [0][16/101], Time 0.408 (0.679), Data 0.124 (0.231), Loss 7.444 (7.577), Prec 4.69% (2.83%), s_pid_loss: 6.3305, t_un_loss: 9.9103
Epoch: [0][17/101], Time 0.402 (0.663), Data 0.119 (0.225), Loss 7.071 (7.547), Prec 11.72% (3.35%), s_pid_loss: 5.8003, t_un_loss: 9.9036
Epoch: [0][18/101], Time 0.426 (0.650), Data 0.119 (0.219), Loss 7.198 (7.527), Prec 7.03% (3.56%), s_pid_loss: 5.9771, t_un_loss: 9.9134
Epoch: [0][19/101], Time 0.411 (0.637), Data 0.124 (0.214), Loss 6.865 (7.492), Prec 13.28% (4.07%), s_pid_loss: 5.4981, t_un_loss: 9.9224
Epoch: [0][20/101], Time 0.409 (0.626), Data 0.122 (0.209), Loss 6.908 (7.463), Prec 16.41% (4.69%), s_pid_loss: 5.5528, t_un_loss: 9.9393
Epoch: [0][21/101], Time 0.400 (0.615), Data 0.123 (0.205), Loss 7.095 (7.446), Prec 14.84% (5.17%), s_pid_loss: 5.8013, t_un_loss: 9.9834
Epoch: [0][22/101], Time 0.403 (0.605), Data 0.128 (0.202), Loss 6.825 (7.418), Prec 16.41% (5.68%), s_pid_loss: 5.4258, t_un_loss: 9.9598
Epoch: [0][23/101], Time 0.415 (0.597), Data 0.124 (0.198), Loss 6.715 (7.387), Prec 14.06% (6.05%), s_pid_loss: 5.2537, t_un_loss: 9.9955
Epoch: [0][24/101], Time 0.413 (0.589), Data 0.124 (0.195), Loss 6.640 (7.356), Prec 12.50% (6.32%), s_pid_loss: 5.1377, t_un_loss: 10.0145
Epoch: [0][25/101], Time 0.409 (0.582), Data 0.124 (0.192), Loss 6.458 (7.320), Prec 16.41% (6.72%), s_pid_loss: 4.8793, t_un_loss: 10.0100
Epoch: [0][26/101], Time 0.400 (0.575), Data 0.124 (0.190), Loss 6.634 (7.294), Prec 17.19% (7.12%), s_pid_loss: 5.1038, t_un_loss: 10.0754
