log_dir= /home/s3venkat/ECN/logs
Namespace(arch='resnet34', batch_size=128, data_dir='/home/s3venkat/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=0, include_mmd=1, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.3, lmd_ext=0.33, logs_dir='/home/s3venkat/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='duke', target='market', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   702 |    16522
  target train    | 'Unknown' |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
lmd: 0.3 lmd_ext: 0.33 include_mmd: 1 include_coral: 0
Epoch: [0][1/129], Time 3.619 (3.619), Data 1.780 (1.780), Loss 7.442 (7.442), Prec 0.78% (0.78%), s_pid_loss: 6.5553, t_un_loss: 9.4678
Epoch: [0][2/129], Time 0.175 (1.897), Data 0.019 (0.900), Loss 7.362 (7.402), Prec 3.91% (2.34%), s_pid_loss: 6.4318, t_un_loss: 9.4887
Epoch: [0][3/129], Time 0.210 (1.335), Data 0.045 (0.615), Loss 7.552 (7.452), Prec 0.78% (1.82%), s_pid_loss: 6.6945, t_un_loss: 9.5104
Epoch: [0][4/129], Time 0.213 (1.054), Data 0.038 (0.471), Loss 7.603 (7.490), Prec 0.00% (1.37%), s_pid_loss: 6.7577, t_un_loss: 9.5323
Epoch: [0][5/129], Time 0.208 (0.885), Data 0.038 (0.384), Loss 7.597 (7.511), Prec 1.56% (1.41%), s_pid_loss: 6.7420, t_un_loss: 9.5496
Epoch: [0][6/129], Time 0.198 (0.771), Data 0.048 (0.328), Loss 7.524 (7.513), Prec 0.78% (1.30%), s_pid_loss: 6.6345, t_un_loss: 9.5570
Epoch: [0][7/129], Time 0.223 (0.692), Data 0.045 (0.288), Loss 7.629 (7.530), Prec 0.78% (1.23%), s_pid_loss: 6.7753, t_un_loss: 9.5781
Epoch: [0][8/129], Time 0.213 (0.632), Data 0.044 (0.257), Loss 7.514 (7.528), Prec 2.34% (1.37%), s_pid_loss: 6.6009, t_un_loss: 9.6011
Epoch: [0][9/129], Time 0.223 (0.587), Data 0.047 (0.234), Loss 7.591 (7.535), Prec 4.69% (1.74%), s_pid_loss: 6.7034, t_un_loss: 9.6187
Epoch: [0][10/129], Time 0.200 (0.548), Data 0.034 (0.214), Loss 7.536 (7.535), Prec 3.91% (1.95%), s_pid_loss: 6.6281, t_un_loss: 9.6123
Epoch: [0][11/129], Time 0.202 (0.517), Data 0.046 (0.199), Loss 7.309 (7.514), Prec 5.47% (2.27%), s_pid_loss: 6.2890, t_un_loss: 9.6456
Epoch: [0][12/129], Time 0.212 (0.491), Data 0.044 (0.186), Loss 7.444 (7.509), Prec 8.59% (2.80%), s_pid_loss: 6.4820, t_un_loss: 9.6462
Epoch: [0][13/129], Time 0.239 (0.472), Data 0.045 (0.175), Loss 7.126 (7.479), Prec 10.94% (3.43%), s_pid_loss: 6.0263, t_un_loss: 9.6483
Epoch: [0][14/129], Time 0.254 (0.456), Data 0.043 (0.165), Loss 7.137 (7.455), Prec 8.59% (3.79%), s_pid_loss: 6.0333, t_un_loss: 9.6678
Epoch: [0][15/129], Time 0.223 (0.441), Data 0.037 (0.157), Loss 7.093 (7.431), Prec 13.28% (4.43%), s_pid_loss: 5.9661, t_un_loss: 9.6780
Epoch: [0][16/129], Time 0.186 (0.425), Data 0.038 (0.149), Loss 7.206 (7.417), Prec 10.16% (4.79%), s_pid_loss: 6.1251, t_un_loss: 9.6842
Epoch: [0][17/129], Time 0.196 (0.411), Data 0.047 (0.143), Loss 6.868 (7.384), Prec 16.41% (5.47%), s_pid_loss: 5.6385, t_un_loss: 9.6932
Epoch: [0][18/129], Time 0.231 (0.401), Data 0.047 (0.138), Loss 7.216 (7.375), Prec 13.28% (5.90%), s_pid_loss: 6.1262, t_un_loss: 9.7162
Epoch: [0][19/129], Time 0.230 (0.392), Data 0.036 (0.133), Loss 7.097 (7.360), Prec 11.72% (6.21%), s_pid_loss: 5.9556, t_un_loss: 9.7188
Epoch: [0][20/129], Time 0.246 (0.385), Data 0.014 (0.127), Loss 6.741 (7.329), Prec 16.41% (6.72%), s_pid_loss: 5.4354, t_un_loss: 9.7459
Epoch: [0][21/129], Time 0.215 (0.377), Data 0.018 (0.122), Loss 6.737 (7.301), Prec 16.41% (7.18%), s_pid_loss: 5.4290, t_un_loss: 9.7448
Epoch: [0][22/129], Time 0.251 (0.371), Data 0.039 (0.118), Loss 6.754 (7.276), Prec 11.72% (7.39%), s_pid_loss: 5.4458, t_un_loss: 9.7641
Epoch: [0][23/129], Time 0.231 (0.365), Data 0.038 (0.114), Loss 6.440 (7.240), Prec 17.19% (7.81%), s_pid_loss: 4.9888, t_un_loss: 9.7830
Epoch: [0][24/129], Time 0.202 (0.358), Data 0.041 (0.111), Loss 6.827 (7.223), Prec 14.84% (8.11%), s_pid_loss: 5.5475, t_un_loss: 9.7690
Epoch: [0][25/129], Time 0.239 (0.354), Data 0.043 (0.109), Loss 6.522 (7.195), Prec 21.88% (8.66%), s_pid_loss: 5.1025, t_un_loss: 9.7902
Epoch: [0][26/129], Time 0.235 (0.349), Data 0.039 (0.106), Loss 6.725 (7.177), Prec 18.75% (9.04%), s_pid_loss: 5.3916, t_un_loss: 9.7930
Epoch: [0][27/129], Time 0.212 (0.344), Data 0.040 (0.104), Loss 6.697 (7.159), Prec 14.06% (9.23%), s_pid_loss: 5.3351, t_un_loss: 9.8329
Epoch: [0][28/129], Time 0.211 (0.339), Data 0.044 (0.101), Loss 6.715 (7.143), Prec 21.09% (9.65%), s_pid_loss: 5.3542, t_un_loss: 9.8474
Epoch: [0][29/129], Time 0.233 (0.335), Data 0.044 (0.099), Loss 6.188 (7.110), Prec 33.59% (10.48%), s_pid_loss: 4.5987, t_un_loss: 9.8536
Epoch: [0][30/129], Time 0.230 (0.332), Data 0.020 (0.097), Loss 6.617 (7.094), Prec 21.09% (10.83%), s_pid_loss: 5.1999, t_un_loss: 9.8783
Epoch: [0][31/129], Time 0.234 (0.329), Data 0.039 (0.095), Loss 6.151 (7.063), Prec 25.00% (11.29%), s_pid_loss: 4.5340, t_un_loss: 9.8823
Epoch: [0][32/129], Time 0.232 (0.326), Data 0.040 (0.093), Loss 6.702 (7.052), Prec 21.88% (11.62%), s_pid_loss: 5.3164, t_un_loss: 9.8920
Epoch: [0][33/129], Time 0.219 (0.323), Data 0.045 (0.092), Loss 6.358 (7.031), Prec 26.56% (12.07%), s_pid_loss: 4.8240, t_un_loss: 9.8930
Epoch: [0][34/129], Time 0.200 (0.319), Data 0.043 (0.090), Loss 6.207 (7.007), Prec 19.53% (12.29%), s_pid_loss: 4.5902, t_un_loss: 9.9367
Epoch: [0][35/129], Time 0.213 (0.316), Data 0.042 (0.089), Loss 5.973 (6.977), Prec 25.78% (12.68%), s_pid_loss: 4.2526, t_un_loss: 9.9434
Epoch: [0][36/129], Time 0.201 (0.313), Data 0.044 (0.088), Loss 6.263 (6.957), Prec 24.22% (13.00%), s_pid_loss: 4.6479, t_un_loss: 9.9889
Epoch: [0][37/129], Time 0.209 (0.310), Data 0.045 (0.087), Loss 6.180 (6.936), Prec 24.22% (13.30%), s_pid_loss: 4.5248, t_un_loss: 9.9991
Epoch: [0][38/129], Time 0.210 (0.307), Data 0.040 (0.085), Loss 6.015 (6.912), Prec 29.69% (13.73%), s_pid_loss: 4.2787, t_un_loss: 10.0237
Epoch: [0][39/129], Time 0.210 (0.305), Data 0.045 (0.084), Loss 6.330 (6.897), Prec 28.12% (14.10%), s_pid_loss: 4.7234, t_un_loss: 10.0351
Epoch: [0][40/129], Time 0.224 (0.303), Data 0.056 (0.084), Loss 5.962 (6.874), Prec 28.12% (14.45%), s_pid_loss: 4.1939, t_un_loss: 10.0433
Epoch: [0][41/129], Time 0.225 (0.301), Data 0.045 (0.083), Loss 5.928 (6.851), Prec 28.91% (14.81%), s_pid_loss: 4.1343, t_un_loss: 10.0689
Epoch: [0][42/129], Time 0.198 (0.298), Data 0.039 (0.082), Loss 6.196 (6.835), Prec 22.66% (14.99%), s_pid_loss: 4.5172, t_un_loss: 10.0710
Epoch: [0][43/129], Time 0.218 (0.297), Data 0.044 (0.081), Loss 6.081 (6.818), Prec 28.91% (15.32%), s_pid_loss: 4.3419, t_un_loss: 10.0953
Epoch: [0][44/129], Time 0.226 (0.295), Data 0.043 (0.080), Loss 5.877 (6.796), Prec 28.91% (15.62%), s_pid_loss: 4.0596, t_un_loss: 10.0744
Epoch: [0][45/129], Time 0.208 (0.293), Data 0.047 (0.079), Loss 5.841 (6.775), Prec 30.47% (15.95%), s_pid_loss: 3.9944, t_un_loss: 10.1075
Epoch: [0][46/129], Time 0.209 (0.291), Data 0.046 (0.078), Loss 5.804 (6.754), Prec 28.12% (16.22%), s_pid_loss: 3.9354, t_un_loss: 10.1195
Epoch: [0][47/129], Time 0.216 (0.290), Data 0.043 (0.078), Loss 5.560 (6.728), Prec 39.06% (16.71%), s_pid_loss: 3.5908, t_un_loss: 10.1125
Epoch: [0][48/129], Time 0.207 (0.288), Data 0.043 (0.077), Loss 5.757 (6.708), Prec 33.59% (17.06%), s_pid_loss: 3.8475, t_un_loss: 10.1702
Epoch: [0][49/129], Time 0.223 (0.287), Data 0.042 (0.076), Loss 5.594 (6.685), Prec 37.50% (17.47%), s_pid_loss: 3.6225, t_un_loss: 10.1497
Epoch: [0][50/129], Time 0.250 (0.286), Data 0.040 (0.076), Loss 5.817 (6.668), Prec 29.69% (17.72%), s_pid_loss: 3.9354, t_un_loss: 10.1643
Epoch: [0][51/129], Time 0.246 (0.285), Data 0.028 (0.075), Loss 6.083 (6.657), Prec 26.56% (17.89%), s_pid_loss: 4.3065, t_un_loss: 10.1837
Epoch: [0][52/129], Time 0.267 (0.285), Data 0.033 (0.074), Loss 5.405 (6.633), Prec 40.62% (18.33%), s_pid_loss: 3.3363, t_un_loss: 10.1890
Epoch: [0][53/129], Time 0.255 (0.284), Data 0.040 (0.073), Loss 5.517 (6.612), Prec 35.16% (18.65%), s_pid_loss: 3.4947, t_un_loss: 10.1915
Epoch: [0][54/129], Time 0.205 (0.283), Data 0.042 (0.073), Loss 5.451 (6.590), Prec 34.38% (18.94%), s_pid_loss: 3.3985, t_un_loss: 10.1977
Epoch: [0][55/129], Time 0.204 (0.281), Data 0.047 (0.072), Loss 5.641 (6.573), Prec 35.94% (19.25%), s_pid_loss: 3.6604, t_un_loss: 10.2178
Epoch: [0][56/129], Time 0.210 (0.280), Data 0.046 (0.072), Loss 5.481 (6.553), Prec 39.06% (19.60%), s_pid_loss: 3.4429, t_un_loss: 10.1934
Epoch: [0][57/129], Time 0.210 (0.279), Data 0.046 (0.071), Loss 5.650 (6.537), Prec 32.81% (19.83%), s_pid_loss: 3.6675, t_un_loss: 10.2318
Epoch: [0][58/129], Time 0.217 (0.278), Data 0.046 (0.071), Loss 5.634 (6.522), Prec 35.94% (20.11%), s_pid_loss: 3.6380, t_un_loss: 10.2474
Epoch: [0][59/129], Time 0.187 (0.276), Data 0.031 (0.070), Loss 5.506 (6.505), Prec 33.59% (20.34%), s_pid_loss: 3.4601, t_un_loss: 10.2372
Epoch: [0][60/129], Time 0.247 (0.276), Data 0.045 (0.070), Loss 5.362 (6.486), Prec 40.62% (20.68%), s_pid_loss: 3.2455, t_un_loss: 10.2555
Epoch: [0][61/129], Time 0.207 (0.274), Data 0.048 (0.069), Loss 5.470 (6.469), Prec 35.16% (20.91%), s_pid_loss: 3.3930, t_un_loss: 10.2721
Epoch: [0][62/129], Time 0.203 (0.273), Data 0.045 (0.069), Loss 5.604 (6.455), Prec 32.03% (21.09%), s_pid_loss: 3.5780, t_un_loss: 10.2883
Epoch: [0][63/129], Time 0.202 (0.272), Data 0.044 (0.069), Loss 5.081 (6.433), Prec 50.00% (21.55%), s_pid_loss: 2.8426, t_un_loss: 10.2600
Epoch: [0][64/129], Time 0.213 (0.271), Data 0.045 (0.068), Loss 5.608 (6.420), Prec 35.94% (21.78%), s_pid_loss: 3.5902, t_un_loss: 10.2731
Epoch: [0][65/129], Time 0.221 (0.271), Data 0.046 (0.068), Loss 5.196 (6.401), Prec 44.53% (22.13%), s_pid_loss: 3.0134, t_un_loss: 10.2458
Epoch: [0][66/129], Time 0.207 (0.270), Data 0.041 (0.067), Loss 5.561 (6.389), Prec 39.84% (22.40%), s_pid_loss: 3.5156, t_un_loss: 10.2906
Epoch: [0][67/129], Time 0.221 (0.269), Data 0.045 (0.067), Loss 5.334 (6.373), Prec 45.31% (22.74%), s_pid_loss: 3.1905, t_un_loss: 10.2917
Epoch: [0][68/129], Time 0.227 (0.268), Data 0.047 (0.067), Loss 5.385 (6.358), Prec 39.06% (22.98%), s_pid_loss: 3.2550, t_un_loss: 10.3127
Epoch: [0][69/129], Time 0.231 (0.268), Data 0.046 (0.066), Loss 5.272 (6.343), Prec 38.28% (23.20%), s_pid_loss: 3.0801, t_un_loss: 10.3422
Epoch: [0][70/129], Time 0.207 (0.267), Data 0.044 (0.066), Loss 5.086 (6.325), Prec 44.53% (23.50%), s_pid_loss: 2.8209, t_un_loss: 10.3291
Epoch: [0][71/129], Time 0.213 (0.266), Data 0.047 (0.066), Loss 5.050 (6.307), Prec 45.31% (23.81%), s_pid_loss: 2.7622, t_un_loss: 10.3463
Epoch: [0][72/129], Time 0.225 (0.265), Data 0.045 (0.066), Loss 4.974 (6.288), Prec 48.44% (24.15%), s_pid_loss: 2.6416, t_un_loss: 10.3730
Epoch: [0][73/129], Time 0.209 (0.265), Data 0.045 (0.065), Loss 5.160 (6.273), Prec 49.22% (24.50%), s_pid_loss: 2.9187, t_un_loss: 10.3454
Epoch: [0][74/129], Time 0.203 (0.264), Data 0.046 (0.065), Loss 5.469 (6.262), Prec 46.88% (24.80%), s_pid_loss: 3.3399, t_un_loss: 10.3943
Epoch: [0][75/129], Time 0.255 (0.264), Data 0.045 (0.065), Loss 5.259 (6.249), Prec 36.72% (24.96%), s_pid_loss: 3.0553, t_un_loss: 10.3572
Epoch: [0][76/129], Time 0.219 (0.263), Data 0.035 (0.064), Loss 5.160 (6.234), Prec 45.31% (25.23%), s_pid_loss: 2.8894, t_un_loss: 10.4125
Epoch: [0][77/129], Time 0.210 (0.262), Data 0.045 (0.064), Loss 4.937 (6.217), Prec 47.66% (25.52%), s_pid_loss: 2.5801, t_un_loss: 10.3909
Epoch: [0][78/129], Time 0.214 (0.262), Data 0.051 (0.064), Loss 5.112 (6.203), Prec 46.09% (25.78%), s_pid_loss: 2.8153, t_un_loss: 10.4263
