log_dir= /home/s3venkat/ECN/logs
Namespace(arch='resnet34', batch_size=128, data_dir='/home/s3venkat/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=0, include_mmd=1, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.3, lmd_ext=0.33, logs_dir='/home/s3venkat/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='market', target='duke', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   751 |    12936
  target train    | 'Unknown' |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
lmd: 0.3 lmd_ext: 0.33 include_mmd: 1 include_coral: 0
Epoch: [0][1/101], Time 4.098 (4.098), Data 2.140 (2.140), Loss 7.565 (7.565), Prec 0.00% (0.00%), s_pid_loss: 6.6255, t_un_loss: 9.7125
Epoch: [0][2/101], Time 0.230 (2.164), Data 0.023 (1.081), Loss 7.520 (7.542), Prec 0.00% (0.00%), s_pid_loss: 6.5555, t_un_loss: 9.7287
Epoch: [0][3/101], Time 0.288 (1.539), Data 0.070 (0.744), Loss 7.614 (7.566), Prec 0.78% (0.26%), s_pid_loss: 6.6847, t_un_loss: 9.7392
Epoch: [0][4/101], Time 0.305 (1.230), Data 0.077 (0.577), Loss 7.683 (7.596), Prec 0.78% (0.39%), s_pid_loss: 6.7749, t_un_loss: 9.7598
Epoch: [0][5/101], Time 0.277 (1.040), Data 0.067 (0.475), Loss 7.611 (7.599), Prec 0.78% (0.47%), s_pid_loss: 6.6581, t_un_loss: 9.7913
Epoch: [0][6/101], Time 0.286 (0.914), Data 0.067 (0.407), Loss 7.637 (7.605), Prec 3.91% (1.04%), s_pid_loss: 6.6911, t_un_loss: 9.8014
Epoch: [0][7/101], Time 0.301 (0.827), Data 0.059 (0.358), Loss 7.563 (7.599), Prec 3.91% (1.45%), s_pid_loss: 6.5817, t_un_loss: 9.8104
Epoch: [0][8/101], Time 0.291 (0.760), Data 0.058 (0.320), Loss 7.569 (7.595), Prec 1.56% (1.46%), s_pid_loss: 6.5850, t_un_loss: 9.8234
Epoch: [0][9/101], Time 0.294 (0.708), Data 0.067 (0.292), Loss 7.685 (7.605), Prec 3.91% (1.74%), s_pid_loss: 6.7498, t_un_loss: 9.8231
Epoch: [0][10/101], Time 0.265 (0.664), Data 0.059 (0.269), Loss 7.519 (7.597), Prec 3.12% (1.88%), s_pid_loss: 6.5119, t_un_loss: 9.8268
Epoch: [0][11/101], Time 0.291 (0.630), Data 0.071 (0.251), Loss 7.596 (7.597), Prec 4.69% (2.13%), s_pid_loss: 6.6132, t_un_loss: 9.8475
