log_dir= /home/ssreekri/ECN/logs
Namespace(arch='resnet50', batch_size=128, data_dir='/home/ssreekri/ECN/data', dist_metric='euclidean', dropout=0.5, epochs=60, epochs_decay=40, evaluate=False, features=4096, height=256, include_coral=1, include_mmd=0, inv_alpha=0.01, inv_beta=0.05, knn=6, lmd=0.0, lmd_ext=0.0, logs_dir='/home/ssreekri/ECN/logs', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='duke', target='market', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   702 |    16522
  target train    | 'Unknown' |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
lmd: 0.0 lmd_ext: 0.0 include_mmd: 0 include_coral: 1
Epoch: [0][1/129], Time 6.100 (6.100), Data 2.167 (2.167), Loss 6.553 (6.553), Prec 0.00% (0.00%), s_pid_loss: 6.5527, t_un_loss: 9.4678
Epoch: [0][2/129], Time 0.378 (3.239), Data 0.019 (1.093), Loss 6.595 (6.574), Prec 0.78% (0.39%), s_pid_loss: 6.5951, t_un_loss: 9.4926
Epoch: [0][3/129], Time 0.483 (2.320), Data 0.125 (0.770), Loss 6.554 (6.567), Prec 2.34% (1.04%), s_pid_loss: 6.5541, t_un_loss: 9.5196
Epoch: [0][4/129], Time 0.487 (1.862), Data 0.130 (0.610), Loss 6.454 (6.539), Prec 3.12% (1.56%), s_pid_loss: 6.4540, t_un_loss: 9.5452
Epoch: [0][5/129], Time 0.492 (1.588), Data 0.130 (0.514), Loss 7.209 (6.673), Prec 1.56% (1.56%), s_pid_loss: 7.2093, t_un_loss: 9.5588
Epoch: [0][6/129], Time 0.487 (1.404), Data 0.130 (0.450), Loss 7.764 (6.855), Prec 0.78% (1.43%), s_pid_loss: 7.7643, t_un_loss: 9.5743
Epoch: [0][7/129], Time 0.495 (1.274), Data 0.130 (0.405), Loss 7.686 (6.974), Prec 1.56% (1.45%), s_pid_loss: 7.6859, t_un_loss: 9.5849
Epoch: [0][8/129], Time 0.478 (1.175), Data 0.124 (0.369), Loss 6.951 (6.971), Prec 7.03% (2.15%), s_pid_loss: 6.9510, t_un_loss: 9.6063
Epoch: [0][9/129], Time 0.487 (1.098), Data 0.130 (0.343), Loss 7.886 (7.073), Prec 4.69% (2.43%), s_pid_loss: 7.8863, t_un_loss: 9.6355
Epoch: [0][10/129], Time 0.487 (1.037), Data 0.131 (0.322), Loss 7.677 (7.133), Prec 7.03% (2.89%), s_pid_loss: 7.6766, t_un_loss: 9.6635
Epoch: [0][11/129], Time 0.484 (0.987), Data 0.130 (0.304), Loss 7.799 (7.193), Prec 3.91% (2.98%), s_pid_loss: 7.7987, t_un_loss: 9.6715
Epoch: [0][12/129], Time 0.487 (0.945), Data 0.130 (0.290), Loss 6.372 (7.125), Prec 5.47% (3.19%), s_pid_loss: 6.3717, t_un_loss: 9.6745
Epoch: [0][13/129], Time 0.488 (0.910), Data 0.131 (0.277), Loss 6.326 (7.064), Prec 13.28% (3.97%), s_pid_loss: 6.3264, t_un_loss: 9.6925
Epoch: [0][14/129], Time 0.487 (0.880), Data 0.130 (0.267), Loss 6.617 (7.032), Prec 4.69% (4.02%), s_pid_loss: 6.6166, t_un_loss: 9.7276
Epoch: [0][15/129], Time 0.488 (0.854), Data 0.131 (0.258), Loss 6.354 (6.986), Prec 7.03% (4.22%), s_pid_loss: 6.3536, t_un_loss: 9.7659
Epoch: [0][16/129], Time 0.488 (0.831), Data 0.131 (0.250), Loss 6.852 (6.978), Prec 9.38% (4.54%), s_pid_loss: 6.8524, t_un_loss: 9.8051
Epoch: [0][17/129], Time 0.485 (0.811), Data 0.128 (0.243), Loss 6.443 (6.947), Prec 7.03% (4.69%), s_pid_loss: 6.4432, t_un_loss: 9.8702
Epoch: [0][18/129], Time 0.487 (0.793), Data 0.131 (0.237), Loss 6.133 (6.901), Prec 13.28% (5.16%), s_pid_loss: 6.1325, t_un_loss: 9.8584
Epoch: [0][19/129], Time 0.492 (0.777), Data 0.131 (0.231), Loss 6.101 (6.859), Prec 12.50% (5.55%), s_pid_loss: 6.1013, t_un_loss: 9.8644
